index;x;y;z
0;-0.004486;-0.011978;-1.011826
1;-0.004089;-0.012543;-1.007004
2;-0.004150;-0.011505;-1.007843
3;-0.004211;-0.012421;-1.007019
4;0.422836;-0.276016;-0.917496
5;0.132980;-0.640060;-0.545731
6;0.069824;-0.750031;-0.627472
7;0.078339;-0.754532;-0.613937
8;0.101669;-0.735535;-0.552307
9;0.013229;-0.788589;-0.708801
10;0.107239;-0.774567;-0.444336
11;0.072861;-0.752502;-0.586411
12;0.139893;-0.746170;-0.669785
13;-0.450867;-0.089111;-0.982742
14;-0.005341;-0.012039;-1.008392
15;-0.004974;-0.012360;-1.006943
16;-0.005005;-0.012482;-1.007416
17;-0.004257;-0.013123;-1.007782
18;-0.003967;-0.012817;-1.007782
19;-0.003845;-0.013260;-1.008072
