index;x;y;z
0;0.163818;-0.384918;-0.762329
1;0.122452;-0.363678;-0.964844
2;0.029434;-0.349335;-1.090179
3;-0.013351;-0.287949;-1.144760
4;0.088730;-0.255859;-0.991867
5;0.027908;-0.374847;-0.894455
6;-0.106003;-0.420090;-1.106720
7;0.244171;-0.498596;-1.527863
8;0.153717;-0.676208;-1.398453
9;-0.034821;-0.791733;-1.270416
10;0.209885;-0.472443;-0.782700
11;0.091171;-0.661774;-0.746262
12;0.313904;-0.617477;-0.673920
13;0.358017;-0.519379;-0.534988
14;0.455231;-0.629669;-0.467468
15;0.204987;-0.555435;-0.593765
16;0.331116;-0.532578;-0.367203
17;0.410248;-0.625412;-0.132187
18;0.548859;-0.656921;-0.120651
19;0.593704;-0.656693;-0.063416
20;0.565430;-0.659821;-0.071579
21;0.576950;-0.682327;0.018738
22;0.640137;-0.731369;0.036758
23;0.652863;-0.746002;0.049103
24;0.619492;-0.768356;0.046524
25;0.587509;-0.784821;0.021774
26;0.613388;-0.817459;-0.009720
27;0.573471;-0.822601;0.001984
28;0.549149;-0.808350;0.014175
29;0.576782;-0.804596;0.025864
30;0.619904;-0.785263;0.008804
31;0.627319;-0.757706;0.007599
32;0.620819;-0.732941;0.040329
33;0.690552;-0.719421;0.069824
34;0.711914;-0.694931;0.106003
35;0.694305;-0.694931;0.122070
36;0.683121;-0.709122;0.131485
37;0.690170;-0.727371;0.119492
38;0.656738;-0.722900;0.087662
39;0.636185;-0.727615;0.092636
40;0.659897;-0.745300;0.082840
41;0.653961;-0.746658;0.093124
42;0.672989;-0.742538;0.082077
43;0.671112;-0.746918;0.079666
44;0.657501;-0.744873;0.091644
45;0.665329;-0.744934;0.080673
46;0.676483;-0.727280;0.072586
47;0.675781;-0.717178;0.077118
48;0.675919;-0.723663;0.070480
49;0.659073;-0.724182;0.090775
50;0.649506;-0.723602;0.117081
51;0.696548;-0.727219;0.109634
52;0.696381;-0.718094;0.099518
53;0.679443;-0.708969;0.080322
54;0.692184;-0.715973;0.066483
55;0.684906;-0.726517;0.081635
56;0.668610;-0.723282;0.098541
57;0.670776;-0.726959;0.112473
58;0.684036;-0.719254;0.107956
59;0.688812;-0.711853;0.099503
60;0.685654;-0.709091;0.091751
61;0.684494;-0.712509;0.098419
62;0.697006;-0.710114;0.087051
63;0.704712;-0.711899;0.084976
64;0.690109;-0.720917;0.083740
65;0.676559;-0.729462;0.081604
66;0.666885;-0.728897;0.091553
67;0.686859;-0.723587;0.097443
68;0.686325;-0.715790;0.093765
69;0.690994;-0.703537;0.091492
70;0.703186;-0.698944;0.097717
71;0.677689;-0.710693;0.105148
72;0.676041;-0.726486;0.101395
73;0.675964;-0.727142;0.098587
74;0.685715;-0.711945;0.103439
75;0.687988;-0.706436;0.104172
76;0.700806;-0.704926;0.097763
77;0.698029;-0.704086;0.101471
78;0.704346;-0.703903;0.099426
79;0.698395;-0.718048;0.085663
80;0.668259;-0.727844;0.082565
81;0.666199;-0.720367;0.098831
82;0.682404;-0.705383;0.108444
83;0.710800;-0.706085;0.112839
84;0.717361;-0.704163;0.111038
85;0.691223;-0.699814;0.098236
86;0.676254;-0.707932;0.103836
87;0.690063;-0.721008;0.106308
88;0.682602;-0.720840;0.096008
89;0.662918;-0.714340;0.121155
90;0.699142;-0.712326;0.111053
91;0.705139;-0.694733;0.098175
92;0.697281;-0.691299;0.104370
93;0.683289;-0.708984;0.102341
94;0.673935;-0.716919;0.126770
95;0.692703;-0.704712;0.142471
96;0.706802;-0.711502;0.153870
97;0.695343;-0.707108;0.133469
98;0.699432;-0.704758;0.100037
99;0.684341;-0.693848;0.106735
100;0.700943;-0.699997;0.108368
101;0.682159;-0.701630;0.100449
102;0.694260;-0.702698;0.110718
103;0.704483;-0.715622;0.124924
104;0.674820;-0.714523;0.114944
105;0.689651;-0.711792;0.117828
106;0.691040;-0.697556;0.124985
107;0.694336;-0.697617;0.108307
108;0.701569;-0.702545;0.114456
109;0.695694;-0.704269;0.141357
110;0.702225;-0.696518;0.125885
111;0.700363;-0.692612;0.112656
112;0.703384;-0.697906;0.090271
113;0.678940;-0.711929;0.093185
114;0.662262;-0.722092;0.111771
115;0.697647;-0.708832;0.113174
116;0.724792;-0.689865;0.106125
117;0.731491;-0.687592;0.127029
118;0.727463;-0.697937;0.144730
119;0.716537;-0.701599;0.138107
120;0.701767;-0.700699;0.117081
121;0.677429;-0.696777;0.108749
122;0.694183;-0.695801;0.086975
123;0.682434;-0.691437;0.076645
124;0.654755;-0.698456;0.102844
125;0.699905;-0.710861;0.143646
126;0.714600;-0.697388;0.150558
127;0.719193;-0.681793;0.143356
128;0.725754;-0.683197;0.164658
129;0.735352;-0.694946;0.137207
130;0.700668;-0.693253;0.115005
131;0.691666;-0.677307;0.113419
132;0.719345;-0.668701;0.130325
133;0.727585;-0.679367;0.133224
134;0.702286;-0.689865;0.140686
135;0.685257;-0.692215;0.141479
136;0.703796;-0.704468;0.122543
137;0.701370;-0.712341;0.114349
138;0.702377;-0.704651;0.101196
139;0.692184;-0.688782;0.122070
140;0.732727;-0.674271;0.115356
141;0.727081;-0.684235;0.110153
142;0.679276;-0.704407;0.158600
143;0.669495;-0.710953;0.163223
144;0.699356;-0.686722;0.133209
145;0.747345;-0.670517;0.117188
146;0.739334;-0.666367;0.111450
147;0.718445;-0.676010;0.111252
148;0.704666;-0.683517;0.118576
149;0.697540;-0.692139;0.133728
150;0.706314;-0.702209;0.145508
151;0.701035;-0.706512;0.154236
152;0.674088;-0.696960;0.151703
153;0.707092;-0.685486;0.104568
154;0.716003;-0.685165;0.088547
155;0.714203;-0.685318;0.089462
156;0.708084;-0.686600;0.108200
157;0.723999;-0.681732;0.109680
158;0.760910;-0.667694;0.109802
159;0.702011;-0.669189;0.146835
160;0.673523;-0.708344;0.154785
161;0.653656;-0.733704;0.126572
162;0.660614;-0.733612;0.100494
163;0.692032;-0.709366;0.108154
164;0.730850;-0.693558;0.103516
165;0.768860;-0.682739;0.100296
166;0.709457;-0.682724;0.108582
167;0.694321;-0.703674;0.118149
168;0.679184;-0.706223;0.131912
169;0.689148;-0.688675;0.119888
