index;x;y;z
0;0.098953;-0.690765;-0.724686
1;-0.006180;-0.678009;-0.640976
2;-0.054092;-0.709732;-0.610855
3;-0.019241;-0.634399;-0.549286
4;-0.030869;-0.559204;-0.731964
5;-0.046677;-0.504898;-1.189209
6;-0.024094;-0.442078;-1.196640
7;0.018539;-0.421021;-1.078384
8;0.061508;-0.566132;-0.979675
9;-0.036606;-0.579330;-1.309509
10;0.031311;-0.613327;-1.111755
11;0.058350;-0.553833;-1.005768
12;0.094467;-0.613831;-0.999359
13;-0.196640;-0.813095;-1.119553
14;-0.123642;-0.833282;-0.930527
15;0.066956;-0.748215;-0.683609
16;0.127304;-0.737061;-0.511536
17;0.136383;-0.674530;-0.492401
18;0.318405;-0.580826;-0.101440
19;0.532425;-0.512421;-0.044922
20;0.555389;-0.565109;0.051651
21;0.381470;-0.574402;0.075226
22;0.586746;-0.584259;0.138382
23;0.532349;-0.613937;0.171951
24;0.608322;-0.698959;0.276779
25;0.678711;-0.756729;0.047424
26;0.536957;-0.754791;0.058975
27;0.729980;-0.775146;0.184738
28;0.712494;-0.761032;0.248535
29;0.645905;-0.798660;0.153870
30;0.668762;-0.789810;0.147476
31;0.659775;-0.731277;0.037140
32;0.664169;-0.735474;0.021942
33;0.624374;-0.777924;0.066299
34;0.561798;-0.755859;0.076462
35;0.599335;-0.720047;0.025421
36;0.721710;-0.761154;0.007401
37;0.738129;-0.783966;-0.018677
38;0.668289;-0.769562;-0.037689
39;0.611725;-0.765137;-0.018219
40;0.650192;-0.769913;0.036072
41;0.682251;-0.746124;0.036316
42;0.746246;-0.709885;0.018188
43;0.737350;-0.673538;-0.004013
44;0.708038;-0.660446;-0.037903
45;0.749573;-0.654648;-0.071594
46;0.662796;-0.645187;0.063187
47;0.660431;-0.705276;0.094772
48;0.734085;-0.748077;-0.030945
49;0.721420;-0.736496;-0.024155
50;0.700302;-0.703369;-0.050323
51;0.715530;-0.698486;-0.078934
52;0.728622;-0.682739;-0.041763
53;0.725845;-0.665604;-0.001022
54;0.731903;-0.652008;0.016739
55;0.781509;-0.657776;0.003952
56;0.792007;-0.682144;-0.034668
57;0.707443;-0.680222;-0.031281
58;0.696793;-0.667297;-0.058975
59;0.723129;-0.663971;-0.095093
60;0.707153;-0.672409;-0.040833
61;0.751068;-0.663803;-0.003510
62;0.823547;-0.626953;0.027161
63;0.865906;-0.609482;0.010590
64;0.802353;-0.586685;-0.023514
65;0.736298;-0.618179;-0.072800
66;0.720474;-0.653534;-0.072769
67;0.726074;-0.679169;-0.088501
68;0.741989;-0.659256;-0.099274
69;0.743332;-0.635223;-0.108322
70;0.751053;-0.628616;-0.100006
71;0.752625;-0.650269;-0.073944
72;0.773727;-0.653793;-0.026871
73;0.783127;-0.623245;-0.007919
74;0.784103;-0.587585;-0.031815
75;0.842361;-0.561630;-0.097382
76;0.827896;-0.556671;-0.070862
77;0.799133;-0.590775;-0.006256
78;0.782623;-0.624847;-0.007751
79;0.764038;-0.635117;-0.024124
80;0.785507;-0.619370;-0.026108
81;0.803940;-0.602814;-0.053284
82;0.813995;-0.592438;-0.073929
83;0.799500;-0.590378;-0.066879
84;0.795593;-0.598602;-0.067307
85;0.778351;-0.604919;-0.047348
86;0.758438;-0.616913;-0.022827
87;0.785934;-0.622513;-0.040894
88;0.814301;-0.605469;-0.048309
89;0.814255;-0.581772;-0.046051
90;0.800613;-0.589157;-0.011475
91;0.799240;-0.606796;-0.002060
92;0.800522;-0.618790;0.008652
93;0.783539;-0.606384;0.002045
94;0.788361;-0.591904;-0.019516
95;0.821075;-0.587936;-0.027222
96;0.821945;-0.584229;-0.045349
97;0.779785;-0.587936;-0.034210
98;0.777100;-0.605606;-0.025925
99;0.791275;-0.608093;-0.010757
100;0.803680;-0.604492;-0.029816
101;0.814102;-0.607895;-0.036407
102;0.792603;-0.597656;-0.019104
103;0.788300;-0.609192;-0.005173
104;0.800964;-0.607346;-0.004761
105;0.799225;-0.586899;-0.038742
106;0.798447;-0.581116;-0.036667
107;0.800705;-0.601562;-0.025070
108;0.788223;-0.612549;-0.020187
109;0.776794;-0.607437;-0.013550
110;0.779312;-0.606186;0.000534
111;0.797668;-0.605499;0.004456
112;0.796036;-0.593094;0.004150
113;0.804657;-0.595886;-0.001358
114;0.825974;-0.611542;-0.008438
