index;x;y;z
0;-0.007141;-0.010269;-1.010071
1;-0.007217;-0.010468;-1.007370
2;-0.006500;-0.010513;-1.007156
3;-0.007446;-0.009918;-1.007523
4;-0.007080;-0.010071;-1.007385
5;-0.006638;-0.009552;-1.008667
6;-0.007721;-0.010529;-1.008423
7;-0.006790;-0.010773;-1.008362
8;-0.007538;-0.010468;-1.008255
9;-0.007126;-0.009613;-1.008316
10;-0.007355;-0.010315;-1.007690
11;-0.008041;-0.010605;-1.007492
12;-0.006409;-0.010864;-1.007812
13;-0.006805;-0.011536;-1.008316
14;-0.007507;-0.010361;-1.007614
15;-0.007126;-0.010742;-1.008606
16;-0.007111;-0.011047;-1.008072
17;-0.007004;-0.010468;-1.008392
18;-0.006424;-0.010269;-1.007568
19;-0.008072;-0.009521;-1.007462
20;-0.007385;-0.010254;-1.007339
21;-0.007446;-0.010696;-1.007751
22;-0.006622;-0.010727;-1.008972
23;-0.007156;-0.010056;-1.008331
24;-0.007095;-0.010391;-1.006775
25;-0.007339;-0.010345;-1.008331
26;-0.006897;-0.009811;-1.007599
27;-0.007294;-0.010300;-1.008148
28;-0.007812;-0.010849;-1.009369
29;-0.003830;-0.011200;-1.011627
30;0.002441;-0.113724;-0.972122
31;0.004059;0.108475;-1.025955
32;-0.028397;-0.027176;-1.043457
33;-0.109436;-0.044662;-1.447540
34;-0.128677;-0.042419;-0.851974
35;-0.032166;-0.247574;-0.381195
36;-0.357834;0.209503;-1.559082
37;0.183701;-0.413864;-0.715637
38;-0.302368;-0.102036;-0.989410
39;-0.357208;0.156815;-0.795532
40;-0.441101;0.016251;-1.214066
41;-0.459320;-0.019119;-1.378342
42;-0.190506;0.038086;-1.117706
43;-0.016815;-0.160553;-0.949402
44;-0.057236;0.120560;-0.916946
45;0.072556;0.033661;-1.027054
46;0.226288;-0.205734;-1.110413
47;0.136490;-0.266251;-0.936081
48;0.024536;-0.217712;-0.977524
49;0.435394;-0.156082;-0.604797
50;0.740372;-0.291412;-0.724075
51;0.373520;-0.120865;-0.870087
52;0.345810;-0.038544;-0.845306
53;0.198746;-0.201065;-0.946289
54;0.149872;-0.099457;-1.175278
55;0.199326;-0.002731;-0.918839
56;0.286133;-0.174622;-1.098206
57;0.196152;-0.228821;-0.898575
58;0.200851;-0.140854;-0.922226
59;0.264923;-0.261856;-1.091934
60;0.320969;-0.272552;-0.934860
61;0.180099;-0.312897;-1.016647
