index;x;y;z
0;-0.005936;-0.011215;-1.010330
1;-0.005646;-0.012146;-1.007217
2;-0.006927;-0.011444;-1.008667
3;-0.004715;-0.011688;-1.008881
4;-0.007553;-0.011230;-1.008713
5;-0.005630;-0.011948;-1.009079
6;-0.006241;-0.011734;-1.007919
7;-0.006165;-0.012939;-1.008362
8;-0.005966;-0.011078;-1.008850
9;-0.007141;-0.012115;-1.008408
10;-0.005798;-0.011673;-1.008682
11;-0.006622;-0.012451;-1.007446
12;-0.006577;-0.011246;-1.009186
13;-0.005875;-0.011765;-1.008713
14;-0.006714;-0.012161;-1.007797
15;-0.005600;-0.011963;-1.007904
16;-0.007828;-0.011719;-1.009430
17;-0.005585;-0.011414;-1.008179
18;-0.007217;-0.011368;-1.007935
19;-0.006454;-0.011505;-1.007965
20;-0.005737;-0.011017;-1.008484
21;-0.007065;-0.011871;-1.008377
22;-0.005844;-0.011276;-1.008148
23;-0.006607;-0.011002;-1.009064
24;-0.006897;-0.011429;-1.007782
25;-0.006195;-0.011459;-1.007690
26;-0.006363;-0.011703;-1.008682
27;-0.005630;-0.010864;-1.007858
28;-0.006210;-0.011383;-1.008331
29;-0.006165;-0.011490;-1.009323
30;-0.006088;-0.010971;-1.008484
31;-0.006622;-0.011093;-1.007858
32;-0.006195;-0.011902;-1.007889
33;-0.006317;-0.010757;-1.008606
34;-0.006088;-0.011841;-1.008102
35;-0.006302;-0.010925;-1.008209
36;-0.007004;-0.011658;-1.008698
37;-0.006485;-0.011246;-1.008698
38;-0.006638;-0.011246;-1.009171
39;-0.005646;-0.011353;-1.008392
40;-0.005875;-0.010544;-1.008408
41;-0.005966;-0.010269;-1.009094
42;-0.006287;-0.011505;-1.008118
43;-0.005905;-0.011749;-1.008438
44;-0.005341;-0.010788;-1.008987
45;-0.005920;-0.011124;-1.009644
46;-0.006866;-0.011490;-1.007874
47;-0.006317;-0.011551;-1.008301
48;-0.005646;-0.011276;-1.008575
49;-0.005936;-0.012100;-1.008316
50;-0.006760;-0.011734;-1.008255
51;-0.006393;-0.012146;-1.008636
52;-0.006287;-0.011551;-1.008698
53;-0.006592;-0.011154;-1.007401
54;-0.005768;-0.011688;-1.005035
55;-0.004898;-0.012817;-1.008041
56;-0.017288;-0.016891;-0.976044
57;0.070816;0.055969;-1.078140
58;-0.096680;-0.014435;-1.276962
59;-0.069519;-0.090378;-1.510025
60;-0.268646;-0.089539;-0.558304
61;-0.196518;-0.077393;-0.346344
62;-0.361343;0.455124;-1.390121
63;-0.003723;-0.113663;-0.623825
64;-0.046875;0.192764;-0.869995
65;-0.539047;0.050201;-1.643814
66;-0.345810;0.145264;-1.466660
67;-0.127060;0.090683;-0.828506
68;0.033798;-0.350189;-0.891907
69;0.010147;0.128937;-1.146118
70;0.365799;-0.175903;-0.880081
71;0.324326;-0.371414;-0.837753
72;-0.054138;0.063553;-0.516785
73;0.056244;-0.359497;-1.459991
74;0.204208;-0.085251;-1.061493
75;0.080368;-0.053726;-1.041702
76;-0.062149;-0.101929;-0.970505
77;0.046494;-0.265900;-1.028366
78;0.081253;-0.226822;-0.716171
79;0.179016;-0.294357;-1.127121
80;0.191711;-0.204941;-0.843002
81;0.230392;-0.202927;-1.017685
82;0.140091;-0.275024;-0.987473
83;0.255600;-0.128265;-0.943100
84;0.415771;-0.402390;-1.037827
85;0.298080;-0.253464;-0.866486
86;0.374847;-0.220169;-0.872726
87;0.397369;-0.340668;-0.880432
88;0.451202;-0.293274;-0.933548
89;0.420517;-0.162903;-0.922775
90;0.313995;-0.135498;-0.949890
91;0.637466;-0.632309;-0.759445
92;0.339432;-0.415909;-0.933823
93;0.168564;-0.364914;-0.846695
94;0.114075;-0.562714;-0.914185
95;0.169739;-0.536942;-0.832367
96;0.174393;-0.551987;-0.742035
97;0.127991;-0.549438;-0.830292
98;0.090851;-0.618088;-0.834930
99;0.073700;-0.671753;-0.781296
100;0.072708;-0.704071;-0.768051
101;0.053421;-0.691711;-0.794418
102;-0.047607;-0.649658;-0.821960
103;0.097946;-0.821182;-0.690933
104;-0.045380;-0.711655;-0.661392
105;0.117477;-0.881134;-0.517517
106;0.015335;-0.821365;-0.555801
107;0.036667;-0.822998;-0.571411
108;-0.028473;-0.844742;-0.531693
109;0.006958;-0.836670;-0.420181
110;-0.017487;-0.816635;-0.415024
111;0.013809;-0.812180;-0.425308
112;0.038116;-0.815521;-0.409576
113;0.046005;-0.842178;-0.334091
114;0.013092;-0.865250;-0.369507
115;-0.003479;-0.889542;-0.415955
116;0.014847;-0.898239;-0.434723
117;0.016830;-0.885620;-0.433731
118;0.009232;-0.889328;-0.490021
119;0.114609;-0.935623;-0.453964
120;0.036957;-0.896103;-0.465866
121;0.054611;-0.870300;-0.420654
122;0.014038;-0.870941;-0.475983
123;0.000900;-0.891815;-0.423401
124;0.019440;-0.891083;-0.450958
125;0.009476;-0.880569;-0.476212
126;0.004593;-0.898132;-0.509415
127;0.010864;-0.896393;-0.448059
128;0.037109;-0.890793;-0.457062
129;0.006119;-0.867737;-0.407349
130;0.015106;-0.872696;-0.431625
