index;x;y;z
0;-0.003418;-0.012314;-1.008896
1;-0.007065;-0.011856;-1.008423
2;-0.004822;-0.012741;-1.008591
3;-0.005905;-0.012085;-1.009781
4;-0.006561;-0.011856;-1.009491
5;-0.003174;-0.011063;-1.009293
6;-0.008286;-0.012741;-1.008972
7;-0.004654;-0.012253;-1.008575
8;-0.006500;-0.011856;-1.009354
9;-0.006073;-0.012161;-1.008881
10;-0.004013;-0.012238;-1.009247
11;-0.006393;-0.012299;-1.008743
12;-0.004105;-0.011414;-1.007828
13;-0.007019;-0.012512;-1.008148
14;-0.004776;-0.011887;-1.008377
15;-0.005997;-0.012360;-1.009735
16;-0.005005;-0.011703;-1.009079
17;-0.004776;-0.012741;-1.009232
18;-0.006241;-0.011414;-1.009415
19;-0.004776;-0.011810;-1.008286
20;-0.006073;-0.011444;-1.008209
21;-0.005661;-0.011185;-1.009048
22;-0.005447;-0.011993;-1.008530
23;-0.006042;-0.011948;-1.008163
24;-0.005493;-0.012314;-1.008286
25;-0.006210;-0.012375;-1.009445
26;-0.005356;-0.011612;-1.008316
27;-0.005310;-0.011734;-1.008560
28;-0.005676;-0.012543;-1.008789
29;-0.007019;-0.012085;-1.009644
30;-0.004562;-0.011337;-1.007858
31;-0.006210;-0.011322;-1.009796
32;-0.005325;-0.011505;-1.008575
33;-0.006363;-0.011749;-1.014938
34;-0.008545;-0.012009;-0.999741
35;-0.003006;-0.010864;-1.007278
36;-0.006775;-0.013031;-1.010696
37;-0.006485;-0.011627;-1.009247
38;-0.002396;-0.011566;-0.999329
39;-0.009308;-0.013260;-1.008499
40;-0.003189;-0.010925;-1.011948
41;-0.006775;-0.012726;-1.010437
42;-0.004425;-0.011765;-1.007309
43;-0.006500;-0.013000;-1.013519
44;-0.007492;-0.012680;-1.007370
45;-0.002228;-0.012192;-1.007233
46;-0.008392;-0.011932;-1.010300
47;-0.003418;-0.012756;-1.009842
48;-0.005066;-0.013443;-1.006042
49;-0.006653;-0.012604;-1.013641
50;-0.003281;-0.012054;-1.009445
51;-0.008942;-0.012878;-1.008850
52;-0.001404;-0.011597;-1.008438
53;-0.008484;-0.014053;-1.009903
54;-0.007172;-0.012955;-1.006592
55;-0.003113;-0.011536;-1.010193
56;-0.009155;-0.012238;-1.010071
57;-0.001511;-0.011734;-1.008682
58;-0.007996;-0.013306;-1.013367
59;-0.007736;-0.013412;-1.004181
60;-0.001022;-0.011215;-1.008011
61;-0.009995;-0.012787;-1.011276
62;0.000778;-0.012985;-0.988388
63;-0.006500;-0.012299;-1.008102
64;-0.007874;-0.012772;-1.017517
