index;x;y;z
0;-0.003204;-0.011826;-1.010986
1;-0.006897;-0.011276;-1.008682
2;-0.007141;-0.011536;-1.008179
3;-0.002686;-0.012054;-1.009247
4;-0.007568;-0.012009;-1.009537
5;-0.005783;-0.012344;-1.008698
6;-0.005356;-0.011871;-1.007919
7;-0.005905;-0.012070;-1.009613
8;-0.004395;-0.012192;-1.009796
9;-0.006516;-0.012314;-1.010284
10;-0.006287;-0.014038;-1.014252
11;-0.005692;-0.012558;-1.008362
12;-0.006027;-0.012665;-1.007263
13;-0.003677;-0.011414;-1.007996
14;-0.006516;-0.012375;-1.008911
15;-0.005386;-0.011200;-1.008072
16;-0.004776;-0.011429;-1.008270
17;-0.006042;-0.012070;-1.009842
18;-0.005600;-0.010788;-1.008148
19;-0.005875;-0.011337;-1.008957
20;-0.004501;-0.011902;-1.007126
21;-0.006104;-0.012070;-1.008041
22;-0.005844;-0.012207;-1.009003
23;-0.005493;-0.012329;-1.008377
24;-0.005463;-0.011917;-1.008316
25;-0.005692;-0.012161;-1.009399
26;-0.006012;-0.012192;-1.008575
27;-0.003036;-0.014130;-0.987350
28;-0.005203;-0.012634;-1.012329
29;-0.007278;-0.011871;-1.012436
30;-0.001556;-0.011459;-1.009262
31;-0.008942;-0.011383;-1.009293
32;-0.004883;-0.010818;-1.009598
33;-0.004959;-0.010498;-1.029175
34;-0.010178;-0.011124;-1.004074
35;-0.002686;-0.010941;-1.006287
36;-0.007721;-0.011688;-1.008255
37;-0.005249;-0.011597;-1.010315
38;-0.003784;-0.011322;-1.011520
39;-0.010040;-0.011337;-1.011795
40;-0.001343;-0.011642;-1.007034
41;-0.008728;-0.011108;-1.009323
42;-0.002975;-0.012436;-1.008804
43;-0.006104;-0.013092;-1.012024
44;-0.009232;-0.013718;-1.006516
45;0.000565;-0.012497;-1.006836
46;-0.010834;-0.012787;-1.009872
47;-0.001862;-0.012039;-1.007401
48;-0.004318;-0.012451;-1.008408
49;-0.011536;-0.012833;-1.002380
50;0.001083;-0.012405;-1.009369
51;-0.010910;-0.013351;-1.010025
52;-0.004105;-0.011948;-1.008865
53;-0.003387;-0.011200;-1.016968
54;-0.013123;-0.012985;-1.011948
55;-0.000626;-0.011810;-1.008682
56;-0.005981;-0.012360;-1.008514
57;-0.008621;-0.012573;-1.009598
58;-0.000824;-0.011993;-1.009750
59;-0.008286;-0.011566;-1.009109
60;-0.004822;-0.011337;-1.008133
61;-0.005188;-0.012711;-1.009979
62;-0.007889;-0.011993;-1.008636
63;-0.003632;-0.011963;-1.009567
64;-0.006500;-0.013107;-1.010162
65;-0.004501;-0.011963;-1.008362
66;-0.006317;-0.011765;-1.009476
67;-0.005447;-0.011322;-1.009018
68;-0.004532;-0.012131;-1.009476
69;-0.006653;-0.011627;-1.009125
70;-0.002808;-0.012787;-1.003616
71;-0.006470;-0.011993;-1.008972
72;-0.005096;-0.012711;-1.014267
73;-0.004242;-0.011719;-1.009369
74;-0.007874;-0.012100;-1.010071
75;-0.001862;-0.011719;-1.009369
76;-0.007538;-0.011353;-1.018509
77;-0.008575;-0.011078;-1.012192
78;-0.002884;-0.011932;-1.007629
79;-0.008850;-0.012146;-1.007721
80;-0.003952;-0.011002;-1.009506
81;0.001663;-0.012665;-1.009598
82;-0.012421;-0.011597;-1.002960
83;-0.000854;-0.010529;-1.010696
84;-0.004547;-0.010895;-1.008743
85;-0.009567;-0.012405;-1.008499
86;0.001007;-0.012161;-1.008591
87;-0.008469;-0.011261;-1.007599
88;-0.009018;-0.012329;-1.014481
89;-0.000717;-0.012314;-1.012314
90;-0.009354;-0.012665;-1.008209
91;-0.004593;-0.011948;-1.008438
92;-0.005325;-0.010666;-1.022781
93;-0.010864;-0.011215;-1.013138
94;-0.000565;-0.011612;-1.007843
95;-0.006088;-0.012329;-1.006500
96;-0.008514;-0.011810;-1.008759
97;-0.000488;-0.012253;-1.010315
98;-0.009140;-0.011795;-1.009109
99;-0.003128;-0.012497;-1.009033
100;-0.005478;-0.011551;-1.009262
101;-0.006866;-0.012222;-1.007980
102;-0.003677;-0.012283;-1.008957
103;-0.006989;-0.012955;-1.009506
104;-0.004166;-0.012421;-1.008118
105;-0.007004;-0.012177;-1.008255
106;-0.005478;-0.012146;-1.009460
