index;x;y;z
0;-0.001495;-0.012115;-1.005569
1;-0.003189;-0.013000;-1.009079
2;-0.002304;-0.012329;-1.009323
3;-0.002274;-0.012436;-1.008118
4;-0.003021;-0.012726;-1.007965
5;-0.001190;-0.012634;-1.009705
6;-0.003265;-0.012421;-1.009857
7;-0.001694;-0.012650;-1.008392
8;0.000168;-0.010712;-1.042709
9;-0.000137;-0.011292;-0.996338
10;-0.005707;-0.013351;-1.004715
11;-0.000412;-0.012543;-1.014252
12;-0.003326;-0.013382;-1.007706
13;-0.001480;-0.013275;-1.018906
14;0.003113;-0.011154;-1.007965
15;-0.007507;-0.014771;-1.002502
16;0.000702;-0.010757;-1.009842
17;-0.008347;-0.011414;-1.018890
18;-0.001022;-0.012772;-1.005020
19;-0.001801;-0.012115;-1.008789
20;-0.004303;-0.013351;-1.009003
21;-0.005844;-0.013809;-0.977051
22;-0.001846;-0.011536;-1.048798
23;-0.003098;-0.012421;-1.006775
24;-0.002548;-0.011673;-0.997543
25;-0.002090;-0.013031;-1.015900
26;-0.007645;-0.011520;-1.033020
27;0.001862;-0.010040;-1.003265
28;-0.006744;-0.012817;-1.024765
29;-0.000031;-0.010941;-0.998856
30;-0.003876;-0.011780;-1.007385
31;-0.005814;-0.011566;-1.039383
32;0.004471;-0.009750;-1.016220
33;-0.008957;-0.014023;-1.011169
34;0.000534;-0.010010;-1.015900
35;-0.003967;-0.011490;-1.003342
36;-0.003479;-0.014847;-0.992310
37;0.001801;-0.012177;-1.012955
38;-0.008453;-0.015640;-1.016495
39;0.002823;-0.009964;-0.998810
40;-0.011917;-0.017014;-0.969421
41;0.002747;-0.010788;-1.034897
42;-0.004211;-0.012589;-0.983688
43;-0.004272;-0.013138;-1.018906
44;0.001007;-0.010895;-1.007065
45;-0.006241;-0.013550;-1.005463
46;0.000580;-0.012207;-1.012085
47;-0.004715;-0.013641;-0.988663
48;-0.003250;-0.014160;-1.000641
49;-0.000519;-0.012573;-1.020981
50;-0.005630;-0.014069;-1.004990
51;0.001007;-0.012283;-1.009003
52;-0.004669;-0.015564;-0.965576
53;-0.003647;-0.013016;-1.031128
54;-0.000351;-0.012238;-1.007355
55;-0.005112;-0.013870;-1.001068
56;-0.000656;-0.012772;-1.007538
57;-0.002289;-0.010681;-1.026566
58;-0.006256;-0.014572;-1.003845
59;0.001266;-0.011932;-1.015442
60;-0.004639;-0.010498;-1.056320
61;0.003174;-0.008652;-0.994003
62;-0.005371;-0.012375;-1.001724
63;-0.001541;-0.012299;-1.012146
64;0.000381;-0.010971;-1.011368
65;-0.007401;-0.011002;-1.040375
66;0.009018;-0.012131;-0.996918
67;-0.010406;-0.013779;-1.033524
68;0.000778;-0.010468;-1.013458
69;-0.002655;-0.011520;-0.998779
70;-0.015427;-0.016251;-0.984131
71;0.007339;-0.006821;-1.064301
72;-0.013260;-0.014740;-0.997604
73;0.004013;-0.008972;-1.001923
74;-0.004837;-0.013382;-1.012772
75;-0.011520;-0.015762;-0.966461
76;0.006134;-0.009003;-1.033142
77;-0.011368;-0.014297;-1.008301
78;0.006577;-0.008575;-1.002441
79;-0.010880;-0.015808;-1.010620
80;0.001007;-0.010468;-1.030838
81;-0.002121;-0.013138;-0.997940
82;-0.005264;-0.013992;-1.007172
83;0.002792;-0.010696;-1.013168
84;-0.008102;-0.014709;-1.002808
85;0.001251;-0.011215;-1.008347
86;-0.004456;-0.012894;-1.013412
87;-0.001419;-0.013031;-1.008438
88;-0.001328;-0.011688;-1.003983
89;-0.006332;-0.013641;-1.007050
90;0.000809;-0.011459;-1.011017
