index;x;y;z
0;0.069855;-0.227341;-0.964737
1;0.062546;-0.271225;-0.961914
2;0.055832;-0.304825;-0.926102
3;0.087128;-0.264511;-0.939865
4;0.100876;-0.260300;-1.001114
5;0.101822;-0.250702;-0.952530
6;0.054947;-0.258942;-0.922714
7;0.004608;-0.224426;-0.930267
8;0.021851;-0.272232;-1.058365
9;-0.014160;-0.296234;-1.018967
10;0.037552;-0.267471;-0.995087
11;0.069504;-0.260849;-0.992065
12;0.056885;-0.280212;-0.979858
13;0.020203;-0.329178;-0.963455
14;0.082153;-0.339630;-0.940033
15;0.066772;-0.343979;-0.982651
16;0.060089;-0.346985;-0.989151
17;0.050568;-0.352341;-0.981369
18;0.019287;-0.351883;-1.045700
19;0.014084;-0.365738;-1.029922
20;0.027206;-0.401932;-0.949417
21;0.001587;-0.427277;-0.873642
22;-0.007675;-0.432724;-0.878479
23;0.000534;-0.449921;-0.836823
24;0.001053;-0.453873;-0.857040
25;-0.014908;-0.452072;-0.874664
26;0.015442;-0.461945;-0.880615
27;0.036987;-0.489487;-0.869507
28;0.031296;-0.488449;-0.874344
29;0.076660;-0.496506;-0.904907
30;0.126877;-0.543564;-0.891739
31;0.113190;-0.552765;-0.853943
32;0.024048;-0.461945;-0.861618
33;-0.020187;-0.389465;-0.939514
34;0.021011;-0.361969;-0.938110
35;0.020859;-0.407227;-0.828262
36;0.046295;-0.411560;-0.755157
37;0.088181;-0.395020;-0.773788
38;0.125229;-0.391098;-0.795395
39;0.161362;-0.394928;-0.793335
40;0.196136;-0.402008;-0.799530
41;0.235123;-0.412949;-0.854828
42;0.201691;-0.412354;-0.908615
43;0.185455;-0.407288;-0.936829
44;0.186890;-0.393265;-0.967484
45;0.145523;-0.350784;-1.039810
46;0.098297;-0.338760;-1.064240
47;0.063065;-0.374878;-0.973175
48;0.084106;-0.408676;-0.829910
49;0.126770;-0.441528;-0.786758
50;0.130737;-0.439056;-0.829071
51;0.130386;-0.442322;-0.898666
52;0.133667;-0.436096;-0.957748
53;0.149841;-0.412567;-1.016159
54;0.135208;-0.424667;-1.025711
55;0.111771;-0.458710;-0.980652
56;0.081528;-0.475388;-0.940125
57;0.092102;-0.470764;-0.944672
58;0.090118;-0.453735;-0.965698
59;0.046600;-0.448349;-0.964920
60;0.088760;-0.471756;-0.952347
61;0.146500;-0.475037;-0.892136
62;0.094559;-0.421356;-0.922440
63;0.069504;-0.379425;-0.985062
64;0.033478;-0.384857;-0.919769
65;-0.016418;-0.370804;-0.823563
66;-0.036636;-0.357910;-0.828949
67;-0.030853;-0.350830;-0.864136
68;-0.074005;-0.372757;-0.872421
69;-0.093811;-0.356354;-0.898911
70;-0.080963;-0.338257;-0.957230
71;-0.052841;-0.362900;-0.906387
72;-0.043472;-0.422195;-0.810440
73;-0.029007;-0.469467;-0.774033
74;-0.064835;-0.503479;-0.817917
75;-0.101456;-0.500412;-0.878983
76;-0.055573;-0.485733;-0.932861
77;-0.024078;-0.481796;-0.939728
78;-0.023773;-0.486832;-0.936874
79;-0.008331;-0.480682;-0.924820
80;0.004715;-0.471069;-0.895798
81;0.010056;-0.445236;-0.925247
82;-0.011612;-0.421570;-0.973694
83;0.009796;-0.424683;-0.954422
