index;x;y;z
0;-0.005356;-0.010529;-1.007248
1;-0.006927;-0.009995;-1.007248
2;-0.005264;-0.011459;-1.007462
3;-0.006012;-0.011139;-1.008316
4;-0.006317;-0.010651;-1.007294
5;-0.005692;-0.011292;-1.006943
6;-0.006134;-0.011475;-1.006927
7;-0.005997;-0.011032;-1.007599
8;-0.005844;-0.011200;-1.007751
9;-0.005920;-0.010864;-1.007401
10;-0.006866;-0.010971;-1.007019
11;-0.005859;-0.010895;-1.006500
12;-0.006897;-0.010666;-1.007431
13;-0.006744;-0.011475;-1.007141
14;-0.005188;-0.011948;-1.007248
15;-0.006790;-0.010986;-1.006485
16;-0.005554;-0.010910;-1.006989
17;-0.006714;-0.010895;-1.007050
18;-0.005692;-0.011093;-1.007095
19;-0.006699;-0.010468;-1.006958
20;-0.006683;-0.011597;-1.007294
21;-0.005798;-0.011429;-1.007401
22;-0.007095;-0.010635;-1.006287
23;-0.006195;-0.010849;-1.006897
24;-0.007050;-0.011093;-1.007309
25;-0.006287;-0.010605;-1.007584
26;-0.005936;-0.010696;-1.007401
27;-0.006973;-0.010681;-1.006866
28;-0.007278;-0.009171;-1.006958
29;-0.007095;-0.010406;-1.003372
30;-0.006256;-0.010895;-1.007324
31;-0.005905;-0.010406;-1.008057
32;-0.006821;-0.010223;-1.006439
33;-0.036850;-0.002304;-1.008408
34;0.008621;-0.031799;-1.009033
35;-0.015823;0.014374;-1.030716
36;-0.025391;-0.045731;-1.045212
37;0.047302;-0.006439;-1.235046
38;-0.043640;0.061203;-1.023300
39;-0.207352;-0.085556;-0.959717
40;-0.020355;-0.301849;-0.411713
41;-0.074585;0.051651;-1.312836
42;-0.227127;0.088928;-1.088562
43;-0.108200;-0.138626;-0.808716
44;-0.340134;0.251617;-0.951462
45;-0.127136;0.039749;-0.817673
46;-0.153564;0.205963;-1.065979
47;-0.207550;0.084473;-0.795776
48;-0.217606;-0.122269;-1.285660
49;-0.340790;0.162262;-1.181747
50;-0.143372;-0.096420;-0.951080
51;-0.146149;-0.119995;-0.928787
52;-0.142044;-0.086914;-1.069046
53;-0.168900;-0.241257;-1.091980
54;-0.280762;-0.291763;-1.078873
55;-0.217361;-0.305481;-1.139267
56;-0.170975;-0.352234;-0.915070
57;-0.057571;-0.465790;-0.878159
58;-0.059692;-0.464340;-0.865723
59;0.004868;-0.482773;-0.788956
60;-0.045868;-0.522827;-0.748077
61;-0.033920;-0.567612;-0.790146
62;0.024368;-0.558228;-0.893753
63;-0.041946;-0.588470;-0.827576
64;-0.036942;-0.593155;-0.734909
65;-0.019165;-0.628738;-0.682877
66;-0.062012;-0.648468;-0.660370
67;-0.047043;-0.661057;-0.689957
68;-0.007339;-0.643143;-0.607758
69;0.005600;-0.672546;-0.675018
70;0.100006;-0.718140;-0.698837
71;0.058105;-0.670166;-0.688690
72;0.027313;-0.682693;-0.813889
73;0.071854;-0.746918;-0.724243
74;0.231857;-0.755707;-0.672195
75;0.073105;-0.640549;-0.586624
76;0.019775;-0.857346;-0.594971
77;0.028961;-0.799789;-0.745850
78;0.111298;-0.712814;-0.643570
79;0.111679;-0.835495;-0.596756
80;0.100372;-0.810013;-0.631195
81;-0.182877;-0.770508;-0.457016
82;-0.103363;-0.830353;-0.555786
83;-0.081909;-0.866745;-0.477859
84;-0.080383;-0.849625;-0.468796
85;0.175354;-1.002640;-0.351562
86;0.337631;-1.001251;-0.629700
87;0.063217;-0.925385;-0.939560
88;-0.250519;-0.690643;-0.136703
89;0.003922;-0.950165;-0.377884
90;0.055969;-0.868576;-0.452393
91;-0.193268;-0.782822;-0.228470
92;0.104706;-0.901901;-0.425858
93;0.145096;-0.876144;-0.547089
94;0.162415;-0.884888;-0.425674
95;0.207260;-0.928741;-0.095261
96;0.011292;-1.034531;-0.329544
97;-0.033539;-1.005432;-0.266312
98;0.014679;-1.009659;-0.485443
99;0.074539;-0.968002;-0.416992
100;0.131958;-0.936737;-0.285294
101;0.072952;-0.961563;-0.143326
102;0.143417;-0.940598;-0.292267
103;0.091400;-0.952576;-0.145203
104;0.069824;-0.939331;-0.102341
105;0.085892;-0.948898;-0.143890
106;0.101517;-0.899719;-0.245209
107;0.123474;-0.880692;-0.116913
108;0.120926;-0.876984;-0.091171
109;0.063980;-0.923355;-0.068649
110;-0.001556;-0.945251;-0.063248
111;0.057877;-0.949829;-0.076477
112;0.097931;-1.049728;-0.199905
113;0.047775;-0.951355;-0.221008
114;0.022888;-0.964600;-0.224869
115;-0.052765;-0.985291;-0.268738
116;-0.063812;-0.981293;-0.303360
117;-0.007309;-1.018982;-0.193741
118;0.019424;-0.996368;-0.175278
119;0.074982;-0.959412;-0.262070
120;0.129684;-0.941483;-0.283600
121;0.100677;-0.915329;-0.281189
122;0.080185;-0.951630;-0.307037
123;0.036423;-0.964630;-0.350540
124;0.070404;-0.971817;-0.299393
125;0.038620;-0.971680;-0.304047
126;0.054016;-0.972519;-0.286148
127;0.069107;-0.959915;-0.271729
128;0.067139;-0.958954;-0.270203
129;0.056580;-0.969818;-0.283981
130;0.002533;-0.955948;-0.264984
131;0.088089;-0.955902;-0.275436
132;0.077896;-0.932877;-0.297012
133;0.043427;-0.953476;-0.252762
134;0.071136;-0.954178;-0.272644
135;0.059418;-0.957535;-0.307373
136;0.073029;-0.967438;-0.252304
137;0.058838;-0.966782;-0.276932
138;0.055969;-0.961960;-0.281860
139;0.060898;-0.955185;-0.303146
140;0.073715;-0.970398;-0.267822
141;0.065720;-0.978378;-0.258469
142;0.085236;-0.954529;-0.282150
143;0.085739;-0.946442;-0.291550
