index;x;y;z
0;0.065659;-0.554993;-0.773331
1;0.055252;-0.544617;-0.870682
2;0.064911;-0.508530;-0.885193
3;0.060852;-0.522797;-0.851288
4;0.055496;-0.541458;-0.842316
5;0.052505;-0.537018;-0.844360
6;0.061066;-0.523636;-0.863846
7;0.062485;-0.531372;-0.840820
8;0.054214;-0.538071;-0.842987
9;0.057388;-0.533890;-0.846756
10;0.061417;-0.535675;-0.847168
11;0.063171;-0.539017;-0.842300
12;0.052795;-0.540024;-0.846344
13;0.052887;-0.539261;-0.848129
14;0.048782;-0.544174;-0.843018
15;0.051743;-0.546326;-0.852661
16;0.059814;-0.543762;-0.842422
17;0.046524;-0.559494;-0.824570
18;0.050903;-0.561478;-0.832840
19;0.050705;-0.551788;-0.839371
20;0.046463;-0.557983;-0.836655
21;0.031601;-0.574402;-0.817261
22;0.036804;-0.566025;-0.832443
23;0.055313;-0.553223;-0.840958
24;0.047745;-0.564880;-0.823853
25;0.033768;-0.578583;-0.856384
26;0.008530;-0.598892;-0.959030
27;0.032257;-0.613373;-0.731812
28;0.085571;-0.671021;-0.713470
29;0.159698;-0.693176;-0.537781
30;0.160583;-0.664948;-0.478149
31;0.058975;-0.471786;-0.434875
32;0.167770;-0.098923;-1.286423
33;-0.072647;-0.161514;-1.195816
34;0.047821;-0.205460;-1.117538
35;0.090515;-0.228745;-0.967575
36;0.065643;-0.203354;-1.012802
37;0.059036;-0.225067;-1.100830
38;-0.034409;-0.353531;-1.091919
39;0.100739;-0.495285;-0.791641
40;0.066254;-0.551910;-0.617950
41;0.078140;-0.580963;-0.690079
42;0.037796;-0.634109;-0.611526
43;0.080002;-0.510132;-0.473007
44;0.155334;-0.163757;-1.151642
45;-0.000931;-0.043732;-1.648254
46;0.087784;-0.140518;-1.072906
47;0.070740;-0.274261;-0.882004
48;0.060715;-0.295166;-0.827728
49;0.056946;-0.255386;-0.857986
50;0.046402;-0.258942;-0.931244
51;0.055176;-0.268906;-1.021591
52;0.042786;-0.312454;-0.998215
53;0.022934;-0.377594;-0.953186
54;0.045929;-0.413773;-0.943634
55;-0.003387;-0.482513;-0.902863
56;0.054947;-0.520981;-0.817337
57;0.080292;-0.535141;-0.809464
58;0.040344;-0.569397;-0.776321
59;0.036194;-0.586227;-0.825775
60;0.038223;-0.601120;-0.774429
61;0.038345;-0.590210;-0.783173
62;0.028900;-0.580444;-0.802994
63;0.034271;-0.583786;-0.798264
64;0.024246;-0.536179;-0.836227
65;0.061234;-0.523712;-0.738525
66;0.034729;-0.617493;-0.916687
67;0.020325;-0.544922;-0.932587
68;0.032913;-0.530807;-0.765610
69;0.005341;-0.534943;-0.868958
70;0.006378;-0.532211;-0.908218
71;0.034500;-0.510681;-0.856171
72;0.031479;-0.517014;-0.862579
73;0.028992;-0.503281;-0.910187
74;0.061935;-0.490677;-0.841782
75;0.040359;-0.509354;-0.846497
76;-0.013214;-0.535278;-0.868546
77;0.070724;-0.489700;-0.959106
78;0.105209;-0.449738;-0.906464
