index;x;y;z
0;0.060349;-0.413086;-0.889709
1;0.037643;-0.432770;-0.751907
2;-0.049103;-0.410934;-0.919800
3;-0.053116;-0.379364;-0.987045
4;0.002930;-0.387756;-0.968643
5;0.016159;-0.390244;-0.923386
6;-0.002869;-0.389816;-0.942444
7;-0.028763;-0.424835;-0.960007
8;-0.022446;-0.447189;-0.942917
9;-0.004776;-0.417084;-0.902451
10;-0.098709;-0.477768;-0.934677
11;-0.127106;-0.537170;-1.154282
12;-0.153534;-0.392120;-0.872086
13;0.012527;-0.946045;-1.004288
14;-0.328018;-0.768066;-1.359467
15;-0.314133;-0.796494;-1.298676
16;-0.337784;-0.781555;-1.237427
17;-0.309509;-0.736923;-0.799194
18;-0.019363;-0.665192;-0.843109
19;0.145020;-0.546783;-0.688766
20;0.210693;-0.460022;-0.400269
21;0.336639;-0.426102;-0.167191
22;0.561356;-0.426773;0.020004
23;0.683380;-0.472839;0.129364
24;0.716339;-0.478592;0.099838
25;0.734802;-0.526413;0.141983
26;0.723618;-0.591934;0.107834
27;0.712036;-0.615036;0.109329
28;0.719864;-0.665497;0.097412
29;0.656876;-0.720703;0.133362
30;0.652817;-0.730026;0.103088
31;0.660599;-0.710831;0.072113
32;0.708725;-0.711227;0.056793
33;0.681183;-0.701004;0.036255
34;0.704132;-0.681091;0.009186
35;0.730392;-0.691986;0.002594
36;0.735504;-0.683914;0.002899
37;0.716537;-0.677063;0.029419
38;0.719711;-0.685913;0.045410
39;0.751389;-0.687454;0.081345
40;0.733231;-0.649521;0.036377
41;0.695435;-0.642792;0.015320
42;0.762131;-0.665802;0.041229
43;0.735703;-0.674057;0.090927
44;0.741455;-0.679047;0.030792
45;0.771362;-0.667328;0.011093
46;0.783051;-0.655716;0.007050
47;0.763367;-0.615952;-0.007324
48;0.794937;-0.592300;-0.031693
49;0.830948;-0.572830;0.018158
50;0.858459;-0.577576;0.035492
51;0.818619;-0.586578;0.027298
52;0.787872;-0.567230;0.026031
53;0.779587;-0.503983;0.060135
54;0.833908;-0.522095;0.031250
55;0.886749;-0.585342;0.059860
56;0.828201;-0.641190;0.116180
57;0.769684;-0.657211;0.142960
58;0.747665;-0.648926;0.072159
59;0.758850;-0.615341;0.104782
60;0.819443;-0.594864;0.080032
61;0.762970;-0.575775;0.055130
62;0.755310;-0.569672;0.054214
63;0.770416;-0.576523;0.079391
64;0.796616;-0.579712;0.042572
65;0.808548;-0.577454;0.036896
66;0.797256;-0.589737;0.096252
67;0.828247;-0.612854;0.099152
68;0.858749;-0.618637;0.058929
69;0.849182;-0.617416;0.062683
70;0.774261;-0.601028;0.064667
71;0.780869;-0.562180;0.007904
72;0.824570;-0.526321;0.050385
73;0.867859;-0.500061;0.087616
74;0.851074;-0.479187;0.065155
75;0.857513;-0.468643;0.074692
76;0.884689;-0.471939;0.049530
77;0.879532;-0.467834;0.025711
78;0.879456;-0.437973;0.047546
79;0.858475;-0.426544;0.019974
80;0.851685;-0.450272;0.029160
81;0.855698;-0.499893;0.157410
82;0.887314;-0.527664;0.216446
83;0.828720;-0.529297;0.185059
84;0.820480;-0.509476;0.112930
85;0.889465;-0.496048;0.026840
86;0.874634;-0.478622;-0.018600
87;0.868149;-0.490814;-0.013748
88;0.884216;-0.514816;-0.012543
89;0.829651;-0.519562;0.006363
90;0.825531;-0.507416;0.057022
91;0.847443;-0.485611;0.009354
92;0.844894;-0.457718;0.032974
93;0.884476;-0.484283;0.068329
94;0.907242;-0.523972;0.085724
95;0.884644;-0.534286;0.048203
96;0.892532;-0.535614;0.031601
