index;x;y;z
0;0.098572;-0.793228;-0.622894
1;0.081085;-0.795410;-0.614487
2;0.098709;-0.790985;-0.599457
3;0.057983;-0.783005;-0.591660
4;0.075378;-0.783142;-0.646484
5;0.064774;-0.782074;-0.595596
6;0.044296;-0.792587;-0.649216
7;0.027710;-0.772812;-0.743652
8;-0.061523;-0.837082;-0.769165
9;-0.086807;-0.845169;-0.831223
10;-0.059143;-0.867340;-0.729645
11;0.016266;-0.802246;-0.744110
12;0.171555;-0.834366;-0.379639
13;0.342087;-0.797775;-0.436325
14;0.357376;-0.807053;-0.303177
15;0.370178;-0.779678;-0.343704
16;0.490265;-0.739792;-0.049881
17;0.572296;-0.716827;0.056229
18;0.661011;-0.661163;0.094437
19;0.841248;-0.596756;0.171860
20;0.850586;-0.654846;0.211853
21;0.814774;-0.666458;0.089264
22;0.708908;-0.601639;0.100723
23;0.694290;-0.570877;0.095200
24;0.817520;-0.711288;0.098999
25;0.732651;-0.777451;0.135696
26;0.783829;-0.728424;-0.066086
27;0.727875;-0.657288;0.019791
28;0.691162;-0.594727;0.111847
29;0.719803;-0.557877;0.109818
30;0.750763;-0.614563;0.089828
31;0.784073;-0.621017;-0.016602
32;0.768600;-0.637344;0.020233
33;0.807312;-0.663315;0.111938
34;0.752274;-0.636536;0.128357
35;0.767532;-0.614899;0.095566
36;0.754883;-0.615585;0.040634
37;0.754166;-0.641220;0.047791
38;0.749893;-0.665833;0.028656
39;0.731522;-0.680145;0.084274
40;0.740250;-0.683777;0.102097
41;0.757782;-0.639786;0.008118
42;0.771835;-0.626678;0.062073
43;0.749771;-0.650192;0.104050
44;0.736847;-0.673080;0.068466
45;0.737396;-0.653687;0.052902
46;0.761078;-0.665390;0.052521
47;0.741562;-0.667862;0.070938
48;0.739120;-0.649796;0.084656
49;0.697479;-0.637375;0.047775
50;0.771271;-0.623077;0.050369
51;0.768997;-0.625107;0.084595
52;0.791275;-0.641220;0.108688
53;0.777939;-0.651871;0.081543
54;0.750168;-0.648453;0.088730
55;0.757919;-0.643600;0.070175
56;0.748001;-0.646072;0.077713
57;0.768997;-0.646332;0.073395
58;0.761230;-0.643921;0.046158
59;0.743332;-0.651733;0.078232
60;0.731491;-0.649612;0.097275
61;0.759201;-0.649460;0.079681
62;0.749817;-0.647263;0.066025
63;0.760681;-0.642563;0.030380
64;0.752975;-0.649384;0.059189
65;0.743484;-0.651138;0.087585
66;0.779053;-0.661377;0.076813
67;0.718597;-0.648285;0.052475
68;0.753433;-0.651367;0.074722
69;0.766113;-0.637039;0.066330
70;0.767548;-0.645966;0.073853
71;0.741257;-0.665436;0.048843
72;0.716110;-0.665833;0.084305
73;0.779144;-0.670975;0.072510
74;0.728210;-0.652512;0.056747
75;0.734695;-0.655090;0.072281
76;0.757568;-0.642151;0.061951
77;0.744690;-0.645966;0.075562
78;0.741638;-0.648636;0.084503
79;0.767853;-0.659851;0.057816
80;0.745026;-0.663345;0.066742
81;0.727295;-0.661194;0.060852
82;0.754959;-0.644913;0.061279
83;0.752045;-0.647018;0.068680
84;0.745346;-0.660965;0.055298
85;0.740921;-0.663025;0.078979
86;0.754486;-0.660614;0.062653
87;0.766541;-0.651581;0.063293
88;0.734924;-0.651550;0.047394
89;0.743881;-0.638077;0.061066
90;0.749710;-0.613861;0.095123
91;0.737183;-0.634094;0.111191
92;0.784958;-0.660202;0.066071
93;0.768539;-0.667877;0.037933
94;0.748016;-0.671768;0.038651
95;0.737411;-0.653610;0.032135
96;0.752167;-0.648727;0.068726
97;0.764404;-0.641663;0.079971
98;0.749893;-0.657532;0.087158
99;0.741028;-0.641281;0.068344
100;0.758102;-0.628433;0.068985
101;0.804153;-0.607895;0.079498
102;0.810532;-0.572174;0.151398
103;0.818451;-0.560242;0.191330
104;0.870071;-0.503799;0.105499
105;0.822754;-0.550598;0.055450
106;0.708130;-0.556168;-0.082672
107;0.568344;-0.595291;-0.354660
108;0.241669;-0.651596;-0.546921
109;0.213715;-0.656036;-0.738464
110;0.053680;-0.708984;-0.829407
111;0.067184;-0.623062;-0.725067
112;0.159836;-0.660355;-0.791718
113;0.025909;-0.642990;-0.930115
114;0.079910;-0.651169;-0.779541
115;0.050705;-0.641479;-0.944885
116;0.059113;-0.660675;-0.884384
117;0.108536;-0.680817;-0.823502
118;0.096008;-0.665237;-0.797424
119;0.135178;-0.601746;-0.824432
120;0.126984;-0.607117;-0.765884
121;0.123749;-0.571075;-0.842834
122;0.135834;-0.582825;-0.835556
123;0.170624;-0.633972;-0.701538
124;0.138138;-0.603485;-0.819168
