index;x;y;z
0;0.050903;-0.843033;-0.504745
1;0.026550;-0.838837;-0.538239
2;0.039459;-0.841736;-0.491470
3;-0.005768;-0.858261;-0.555603
4;0.048141;-0.835297;-0.503983
5;0.038025;-0.832535;-0.503952
6;-0.081192;-0.873199;-0.681427
7;-0.094391;-0.668716;-0.573486
8;-0.078644;-0.875916;-0.714325
9;-0.088562;-0.832092;-0.736725
10;-0.248383;-0.805634;-0.797058
11;-0.082947;-0.799515;-1.052124
12;0.002182;-0.757965;-0.626251
13;0.127045;-0.782425;-0.432877
14;0.294342;-0.747375;-0.382812
15;0.445755;-0.714691;-0.260849
16;0.549591;-0.668686;-0.131592
17;0.706970;-0.677261;0.009399
18;0.769958;-0.602905;-0.010681
19;0.843765;-0.545471;0.092331
20;0.942688;-0.536163;0.084015
21;0.891266;-0.495285;0.102234
22;0.821579;-0.549026;0.103485
23;0.773575;-0.618759;0.034424
24;0.717194;-0.668274;0.072296
25;0.743774;-0.677795;0.000214
26;0.725601;-0.659363;0.027039
27;0.750076;-0.658417;0.023331
28;0.779892;-0.657608;0.011124
29;0.725449;-0.656952;0.045273
30;0.751968;-0.672333;0.002029
31;0.759171;-0.669266;0.014908
32;0.756256;-0.653320;0.022308
33;0.755005;-0.649338;0.024307
34;0.763901;-0.642639;0.002182
35;0.755768;-0.642960;0.011078
36;0.743164;-0.647690;0.013580
37;0.754105;-0.658463;0.044922
38;0.744171;-0.647476;0.012436
39;0.754379;-0.633514;0.023773
40;0.775375;-0.645172;-0.003555
41;0.762833;-0.653244;0.031677
42;0.738739;-0.637924;0.051407
43;0.756882;-0.631134;0.028961
44;0.770508;-0.627899;0.038727
45;0.761047;-0.638336;0.051682
46;0.786423;-0.662491;0.006592
47;0.736435;-0.641541;0.031509
48;0.773560;-0.653580;-0.005066
49;0.778580;-0.631348;-0.034897
50;0.785431;-0.619339;0.037582
51;0.788254;-0.621109;0.004684
52;0.752350;-0.617050;0.044571
53;0.753571;-0.620224;0.019821
54;0.779282;-0.644287;0.016617
55;0.776428;-0.674530;-0.005890
56;0.735413;-0.678314;0.011383
57;0.753906;-0.674728;-0.020706
58;0.733795;-0.643906;0.005035
59;0.772202;-0.618652;0.010452
60;0.784912;-0.597046;0.030624
61;0.816696;-0.601410;0.037201
62;0.790054;-0.601624;0.003830
63;0.774643;-0.617264;0.010666
64;0.757339;-0.619431;-0.029480
65;0.763718;-0.624954;0.013046
66;0.820404;-0.638641;0.027557
67;0.767670;-0.610245;0.016647
68;0.787567;-0.614807;0.036758
69;0.783295;-0.614304;0.012421
70;0.779419;-0.615723;0.015244
71;0.763947;-0.631989;0.009506
72;0.760681;-0.654129;0.006439
73;0.739258;-0.648819;0.010498
74;0.788055;-0.641174;0.013046
75;0.811646;-0.643845;0.002686
76;0.733856;-0.608246;-0.030075
77;0.796631;-0.624634;-0.024872
78;0.770889;-0.622650;0.032822
79;0.762756;-0.651611;0.033966
80;0.739487;-0.639328;-0.003052
81;0.756943;-0.608322;-0.007538
82;0.820297;-0.607407;-0.009140
83;0.810074;-0.613098;0.042160
84;0.787567;-0.630005;0.031052
85;0.774750;-0.634750;0.007965
86;0.737900;-0.607254;0.004303
87;0.797775;-0.623291;0.011047
88;0.787277;-0.608994;-0.007278
89;0.794617;-0.624420;0.019470
90;0.759888;-0.646729;0.008636
91;0.727753;-0.642136;0.026672
92;0.783798;-0.632675;0.031464
93;0.798981;-0.609970;0.034210
94;0.787262;-0.627182;0.014954
95;0.738052;-0.636200;-0.022629
96;0.732925;-0.643936;0.032745
97;0.779419;-0.634232;0.027298
98;0.767334;-0.666534;0.003769
99;0.743896;-0.688995;-0.013519
100;0.707672;-0.693954;0.003067
101;0.724609;-0.692520;-0.030777
102;0.733826;-0.653137;0.000381
103;0.767914;-0.630676;0.011520
104;0.769241;-0.648834;0.006546
105;0.732834;-0.658829;0.032608
106;0.729996;-0.661194;0.002548
107;0.763290;-0.652390;0.013565
108;0.771317;-0.648911;-0.005753
109;0.758774;-0.665588;-0.008774
110;0.737320;-0.663422;0.027267
111;0.730972;-0.649567;0.018356
112;0.768127;-0.637100;0.002640
113;0.751282;-0.660004;0.029236
114;0.732590;-0.641586;-0.006851
115;0.767731;-0.643616;0.014313
116;0.783005;-0.655212;0.023987
117;0.749237;-0.639771;0.026062
118;0.786469;-0.645782;0.018295
119;0.747742;-0.655029;0.076355
120;0.733154;-0.665985;-0.011124
121;0.732758;-0.672012;-0.016800
122;0.772842;-0.638550;0.022537
123;0.828064;-0.579086;0.048035
124;0.890167;-0.528183;0.148849
125;0.793442;-0.531097;0.016510
126;0.680588;-0.578934;-0.097733
127;0.635864;-0.590637;-0.128632
128;0.526199;-0.610947;-0.405075
129;0.326782;-0.625076;-0.594589
130;0.326385;-0.660980;-0.776917
131;0.163177;-0.645828;-0.766800
132;0.060257;-0.664307;-1.009018
133;0.089645;-0.650009;-0.922119
134;0.056091;-0.642044;-1.028473
135;0.120544;-0.678894;-0.855057
136;-0.016907;-0.678116;-0.915054
137;0.061203;-0.687912;-0.885925
138;0.087128;-0.687302;-0.767487
139;0.069717;-0.652603;-0.750137
140;0.126938;-0.628281;-0.779037
141;0.103699;-0.650116;-0.744171
