index;x;y;z
0;0.079132;-0.666260;-0.744293
1;0.086517;-0.634842;-0.799606
2;0.043488;-0.666611;-0.734787
3;0.048706;-0.674011;-0.748749
4;0.042130;-0.675552;-0.763321
5;0.002106;-0.686844;-0.683502
6;-0.102982;-0.725128;-0.969025
7;-0.011475;-0.715240;-0.776016
8;-0.123779;-0.730881;-0.806702
9;0.008347;-0.653107;-0.882416
10;-0.103409;-0.733154;-0.691483
11;0.022934;-0.710068;-0.908905
12;0.259933;-0.889496;-0.447235
13;-0.051910;-0.827621;-0.692551
14;0.016174;-0.752502;-0.979797
15;0.037415;-0.781723;-0.465561
16;0.460022;-0.772400;-0.358566
17;0.306091;-0.749329;-0.322769
18;0.597382;-0.780182;-0.072906
19;0.606857;-0.736282;0.050262
20;0.702362;-0.719589;0.073471
21;0.677490;-0.725296;0.057281
22;0.694962;-0.763199;-0.001846
23;0.574463;-0.794128;-0.071640
24;0.611923;-0.795258;-0.023712
25;0.646774;-0.771973;-0.037216
26;0.591019;-0.774841;0.048080
27;0.689911;-0.741333;0.021210
28;0.678101;-0.708252;0.092422
29;0.686447;-0.715744;0.023788
30;0.675766;-0.729187;0.017853
31;0.668167;-0.746536;0.024353
32;0.712769;-0.681931;0.042831
33;0.741882;-0.674866;0.058243
34;0.764801;-0.650269;0.040070
35;0.793228;-0.616760;0.091965
36;0.790024;-0.638443;0.070938
37;0.773575;-0.651627;0.019592
38;0.704712;-0.625458;0.104935
39;0.795639;-0.581253;0.022141
40;0.819427;-0.542587;0.063263
41;0.827057;-0.578033;0.062866
42;0.784592;-0.603455;0.086380
43;0.782761;-0.582626;0.101471
44;0.817047;-0.546661;-0.009964
45;0.787338;-0.531570;0.036041
46;0.851990;-0.530304;0.071915
47;0.848907;-0.495514;0.117371
48;0.921371;-0.471588;0.080292
49;0.869629;-0.499680;0.060989
50;0.831924;-0.560654;0.032745
51;0.772919;-0.586182;0.006424
52;0.808319;-0.578247;-0.055038
53;0.827942;-0.528397;0.022354
54;0.871475;-0.489990;-0.023682
55;0.893967;-0.470551;-0.002274
56;0.870407;-0.472412;-0.040421
57;0.875488;-0.495865;-0.037064
58;0.871140;-0.495834;-0.012848
59;0.904343;-0.488525;-0.020569
60;0.873901;-0.495392;-0.029800
61;0.833801;-0.490540;-0.015228
62;0.872345;-0.486053;-0.038315
63;0.876678;-0.490494;0.018875
64;0.868851;-0.508789;0.039062
65;0.862854;-0.519043;-0.010910
66;0.860138;-0.538269;0.020142
67;0.834946;-0.543198;-0.002029
68;0.854858;-0.514542;0.029663
69;0.866440;-0.494751;0.022507
70;0.826416;-0.518250;0.045441
71;0.850479;-0.535797;0.039764
72;0.810059;-0.513031;0.058395
73;0.885269;-0.491821;0.043320
74;0.897888;-0.475967;0.050705
75;0.885468;-0.537918;0.097595
76;0.827881;-0.548203;0.069290
77;0.821228;-0.512863;0.020996
78;0.900772;-0.409729;0.096771
79;0.934525;-0.397720;0.104263
80;0.915390;-0.452332;0.142929
81;0.840836;-0.500015;0.143616
82;0.818695;-0.499023;0.149918
83;0.906403;-0.495682;0.168060
84;0.898438;-0.483871;0.062073
85;0.730515;-0.541794;0.055252
86;0.613907;-0.571228;-0.109360
87;0.488800;-0.533188;-0.271820
88;0.310532;-0.568512;-0.507584
89;0.238022;-0.598251;-0.825211
90;0.182800;-0.578186;-0.880951
91;0.092819;-0.684158;-1.007477
92;0.091766;-0.551712;-1.155243
93;0.120087;-0.604019;-1.000763
94;0.103928;-0.605591;-0.895798
95;0.017395;-0.566452;-0.793549
96;-0.024567;-0.453842;-1.052872
97;-0.004440;-0.459885;-1.036392
98;0.057877;-0.522232;-0.890640
99;0.082764;-0.510941;-0.867599
100;0.057404;-0.514664;-0.875259
101;0.077087;-0.530121;-0.818451
102;0.097427;-0.540741;-0.777878
103;0.065552;-0.528824;-0.821030
104;0.105606;-0.523590;-0.868286
105;0.064850;-0.535828;-0.824982
