index;x;y;z
0;0.004166;-0.743637;-0.747345
1;0.025406;-0.716782;-0.629105
2;-0.034637;-0.766891;-0.676025
3;0.030548;-0.729889;-0.440155
4;0.186356;-0.746704;-0.851791
5;0.044281;-0.487076;-0.698257
6;-0.038696;-0.532196;-0.871933
7;-0.135437;-0.597870;-0.894073
8;0.233032;-0.640625;-1.195099
9;0.361664;-1.361389;-1.426193
10;0.011154;-0.571655;-1.128616
11;0.302475;-0.532928;-0.800476
12;0.204453;-0.629669;-0.537445
13;0.489441;-0.578918;-0.358734
14;0.524139;-0.500534;-0.311676
15;0.689331;-0.560989;0.149887
16;0.692520;-0.640335;0.179138
17;0.555862;-0.661667;0.076584
18;0.644318;-0.720108;0.111313
19;0.662262;-0.773376;0.187134
20;0.523697;-0.809341;0.077133
21;0.514694;-0.842056;-0.033646
22;0.465683;-0.859177;-0.073563
23;0.500748;-0.880295;-0.041214
24;0.578537;-0.889450;0.036377
25;0.555725;-0.837616;-0.019348
26;0.562744;-0.802017;-0.031403
27;0.579437;-0.819992;-0.006058
28;0.569046;-0.816849;-0.011230
29;0.521072;-0.838287;0.007996
30;0.545914;-0.838791;0.030853
31;0.567322;-0.816589;0.006393
32;0.555557;-0.811050;0.020309
33;0.614120;-0.799454;0.055298
34;0.636154;-0.780746;0.017059
35;0.596130;-0.778687;0.042877
36;0.598648;-0.798752;0.012924
37;0.560806;-0.832977;0.034409
38;0.555801;-0.835892;0.040985
39;0.517380;-0.836319;0.011230
40;0.519043;-0.841812;0.024292
41;0.553757;-0.830750;0.002518
42;0.560883;-0.811920;0.000504
43;0.548935;-0.797058;0.012482
44;0.616043;-0.790573;0.065323
45;0.688248;-0.755295;0.066162
46;0.669662;-0.752197;0.066772
47;0.615356;-0.790375;0.107651
48;0.619064;-0.790176;0.091309
49;0.593918;-0.782578;0.056976
50;0.604797;-0.786575;0.042618
51;0.633255;-0.781052;0.072479
52;0.639786;-0.758820;0.062912
53;0.642136;-0.738678;0.068207
54;0.672348;-0.730209;0.097961
55;0.679703;-0.713013;0.129150
56;0.658524;-0.712036;0.116196
57;0.652008;-0.731400;0.100006
58;0.633820;-0.768295;0.077698
59;0.609818;-0.777451;0.062256
60;0.601135;-0.799149;0.066574
61;0.614349;-0.806259;0.059570
62;0.604004;-0.795044;0.057037
63;0.619904;-0.793228;0.072403
64;0.629074;-0.775223;0.076447
65;0.637833;-0.725113;0.090958
66;0.674057;-0.688843;0.107330
67;0.742294;-0.722488;0.076233
68;0.703873;-0.742081;0.052368
69;0.599976;-0.778183;0.032074
70;0.555817;-0.816315;0.032166
71;0.522659;-0.847000;0.038040
72;0.535431;-0.862473;0.077545
73;0.598740;-0.839325;0.108139
74;0.660629;-0.768646;0.078323
75;0.710556;-0.703461;0.071671
76;0.789810;-0.661438;0.082611
77;0.805252;-0.624680;0.106110
78;0.735260;-0.618393;0.112411
79;0.718933;-0.637253;0.100281
80;0.733398;-0.641037;0.102753
81;0.733429;-0.647598;0.094162
82;0.698257;-0.679459;0.110458
83;0.690903;-0.708633;0.115906
84;0.678040;-0.718994;0.084595
85;0.650085;-0.723679;0.083084
86;0.664551;-0.732162;0.101669
87;0.682587;-0.712753;0.096649
88;0.721451;-0.696655;0.085739
89;0.726868;-0.690201;0.088608
90;0.720596;-0.688034;0.099808
91;0.711136;-0.698608;0.087296
92;0.686035;-0.705353;0.066910
93;0.674835;-0.729553;0.056015
94;0.657944;-0.753143;0.039413
95;0.681091;-0.751404;0.048233
96;0.691116;-0.719009;0.073105
97;0.705841;-0.692993;0.092880
98;0.700165;-0.665405;0.121399
99;0.683472;-0.666260;0.144516
100;0.709869;-0.696762;0.139954
101;0.716217;-0.709091;0.106079
102;0.693878;-0.727188;0.054916
103;0.662476;-0.739944;0.040421
104;0.640793;-0.736771;0.041336
105;0.649719;-0.729843;0.056396
106;0.659164;-0.725800;0.071869
107;0.673782;-0.726852;0.089432
108;0.715195;-0.727081;0.082062
109;0.730560;-0.733551;0.083115
110;0.688293;-0.738419;0.061691
111;0.649429;-0.744949;0.052719
112;0.645981;-0.751755;0.060928
113;0.655319;-0.746048;0.054306
114;0.646988;-0.729431;0.047058
115;0.657852;-0.730408;0.076874
116;0.688782;-0.734802;0.087494
117;0.659210;-0.732407;0.051636
118;0.672775;-0.746414;0.064011
119;0.671585;-0.737839;0.067429
120;0.632584;-0.709137;0.045105
121;0.640884;-0.694702;0.069748
122;0.651871;-0.723709;0.111298
123;0.652603;-0.742630;0.104858
124;0.683441;-0.772339;0.061340
125;0.699387;-0.794846;0.011322
126;0.676498;-0.795456;-0.012360
127;0.646240;-0.778519;-0.042557
128;0.631165;-0.759903;-0.072601
129;0.639328;-0.750961;-0.018112
130;0.640930;-0.750046;0.068146
131;0.697357;-0.747543;0.114105
132;0.768753;-0.743469;0.194962
133;0.845474;-0.703506;0.309814
134;0.790970;-0.661469;0.251648
135;0.734985;-0.718964;0.279831
136;0.689041;-0.676529;0.190475
137;0.436081;-0.702225;-0.035950
138;0.283035;-0.694046;-0.311279
139;0.418884;-0.854584;-0.427795
140;0.311813;-0.777466;-0.355133
141;0.296921;-0.818146;-0.440109
142;0.307144;-0.789993;-0.413086
143;0.156128;-0.744614;-0.565460
144;0.214935;-0.796875;-0.443253
145;0.408768;-0.811630;-0.609207
146;0.185471;-0.693100;-0.562439
147;0.318863;-0.644913;-0.720306
148;0.089371;-0.608307;-0.823227
149;-0.136536;-0.508041;-0.846909
150;-0.028427;-0.525848;-0.970383
151;-0.020111;-0.534760;-0.867050
152;0.042389;-0.511154;-0.861694
153;0.015228;-0.394608;-0.998611
154;-0.087830;-0.382278;-1.110565
155;-0.014328;-0.373764;-0.908096
156;0.106934;-0.382538;-0.880417
157;0.013535;-0.404678;-0.923065
158;-0.035141;-0.440948;-0.932312
159;0.085785;-0.447159;-0.984543
160;0.154892;-0.455139;-0.935669
161;0.098404;-0.475525;-0.822876
