index;x;y;z
0;0.090881;-0.727280;-0.729004
1;0.043762;-0.748535;-0.687164
2;0.044388;-0.745941;-0.695953
3;0.037628;-0.760849;-0.657959
4;0.036148;-0.763580;-0.680069
5;0.020447;-0.781891;-0.668442
6;0.025360;-0.786423;-0.656433
7;0.003189;-0.824982;-0.693344
8;0.051987;-0.821198;-0.667786
9;0.026199;-0.794174;-0.724701
10;-0.075302;-0.856934;-0.741028
11;-0.032822;-0.818176;-0.812347
12;-0.125046;-0.874069;-0.568069
13;0.094055;-0.876114;-0.711349
14;0.086700;-0.809814;-0.673904
15;0.155746;-0.894852;-0.411758
16;0.202744;-0.856506;-0.373917
17;0.181335;-0.783875;-0.467468
18;0.368439;-0.777664;-0.168442
19;0.343277;-0.796936;-0.059494
20;0.401245;-0.805481;-0.151550
21;0.445953;-0.809692;-0.124451
22;0.488861;-0.794952;-0.020767
23;0.525650;-0.775330;0.155777
24;0.653214;-0.756790;0.051132
25;0.689117;-0.683701;0.067886
26;0.725998;-0.662277;0.101486
27;0.706207;-0.696823;0.159454
28;0.702499;-0.741058;0.123322
29;0.630005;-0.773346;0.089432
30;0.594559;-0.760345;0.034424
31;0.615829;-0.771957;0.033157
32;0.617355;-0.783188;0.061798
33;0.668671;-0.734482;0.059082
34;0.766922;-0.692184;0.069427
35;0.797333;-0.659149;0.114395
36;0.763885;-0.656662;0.155426
37;0.740051;-0.670303;0.129333
38;0.708572;-0.672684;0.100555
39;0.696716;-0.652847;0.097641
40;0.701035;-0.642090;0.122101
41;0.735016;-0.652771;0.116104
42;0.740555;-0.657715;0.102692
43;0.720108;-0.672638;0.092972
44;0.723923;-0.704529;0.099182
45;0.702499;-0.709061;0.094696
46;0.699158;-0.687378;0.081894
47;0.737991;-0.672333;0.085953
48;0.761963;-0.663818;0.075180
49;0.732910;-0.652191;0.075653
50;0.732376;-0.665253;0.082840
51;0.738419;-0.683777;0.095032
52;0.721237;-0.696884;0.091232
53;0.711624;-0.703842;0.087540
54;0.715088;-0.691498;0.080368
55;0.724594;-0.664246;0.057175
56;0.731735;-0.612808;0.034760
57;0.739044;-0.600662;0.075500
58;0.750244;-0.632248;0.119507
59;0.767792;-0.683960;0.133438
60;0.727814;-0.716537;0.101852
61;0.671448;-0.734390;0.051666
62;0.687790;-0.741882;0.016983
63;0.680939;-0.735870;0.011246
64;0.677307;-0.717926;0.034225
65;0.657257;-0.707306;0.081329
66;0.685898;-0.703110;0.144867
67;0.774582;-0.681137;0.120926
68;0.785172;-0.644852;0.062775
69;0.771942;-0.645950;0.072357
70;0.732727;-0.665131;0.061722
71;0.701691;-0.680618;0.055237
72;0.688034;-0.666962;0.065323
73;0.753510;-0.663544;0.065628
74;0.790512;-0.678314;0.071457
75;0.706970;-0.690033;0.085236
76;0.662201;-0.729477;0.076797
77;0.656418;-0.738205;0.042664
78;0.657761;-0.721268;0.033905
79;0.712372;-0.696274;0.051071
80;0.748810;-0.674774;0.064224
81;0.748581;-0.669266;0.062637
82;0.750214;-0.672226;0.080063
83;0.748001;-0.666321;0.078323
84;0.740433;-0.664017;0.063278
85;0.743301;-0.659424;0.078415
86;0.752502;-0.648895;0.072449
87;0.742355;-0.641663;0.076752
88;0.742523;-0.656311;0.062790
89;0.716843;-0.672882;0.065414
90;0.717819;-0.687271;0.069916
91;0.724823;-0.681702;0.064117
92;0.739441;-0.677032;0.062622
93;0.747131;-0.672379;0.061035
94;0.748322;-0.659225;0.065048
95;0.753220;-0.648499;0.072968
96;0.746674;-0.662674;0.083466
97;0.706238;-0.698502;0.085175
98;0.667877;-0.721695;0.069595
99;0.679810;-0.709030;0.039307
100;0.740692;-0.690048;0.019089
101;0.774689;-0.652145;0.061890
102;0.743149;-0.655533;0.102325
103;0.689011;-0.690964;0.097076
104;0.658340;-0.713547;0.069839
105;0.689911;-0.726379;0.041519
106;0.707840;-0.727417;0.040955
107;0.705948;-0.729996;0.032913
108;0.700226;-0.723282;0.008850
109;0.688400;-0.713303;0.020905
110;0.665421;-0.717377;0.060043
111;0.671036;-0.716980;0.067520
112;0.695404;-0.702209;0.072250
113;0.717804;-0.683182;0.088150
114;0.741699;-0.673813;0.101883
115;0.761505;-0.665756;0.068665
116;0.733643;-0.661591;0.065948
117;0.719971;-0.669937;0.064346
118;0.713684;-0.677109;0.068146
119;0.708130;-0.691956;0.059753
120;0.704529;-0.701889;0.041534
121;0.700195;-0.701004;0.041885
122;0.690948;-0.708969;0.057129
123;0.688553;-0.715958;0.054352
124;0.689926;-0.724289;0.051727
125;0.695786;-0.740738;0.042404
126;0.681946;-0.743729;0.048370
127;0.661789;-0.761841;0.028473
128;0.634979;-0.759933;0.031891
129;0.660217;-0.741913;0.058441
130;0.657272;-0.739090;0.054825
131;0.656250;-0.738770;0.044052
132;0.681992;-0.725464;0.052094
133;0.695450;-0.716553;0.090912
134;0.701691;-0.713486;0.096786
135;0.735413;-0.724503;0.086273
136;0.713669;-0.731064;0.109985
137;0.702347;-0.730530;0.112366
138;0.622940;-0.750488;0.043762
139;0.583038;-0.779831;-0.011978
140;0.555710;-0.791824;-0.032837
141;0.546783;-0.797134;-0.063614
142;0.540115;-0.811401;-0.080902
143;0.545059;-0.820526;-0.052383
144;0.566467;-0.824417;-0.074234
145;0.557144;-0.825714;-0.033264
146;0.542313;-0.819321;-0.038147
147;0.579742;-0.819290;-0.031052
148;0.552551;-0.827728;-0.047638
149;0.501617;-0.778564;-0.106583
150;0.422745;-0.799713;-0.211472
151;0.176697;-0.602676;-0.204819
152;0.444687;-1.012741;-0.326340
153;0.286118;-0.845963;-0.500412
154;0.213135;-0.781158;-0.717361
155;0.243973;-0.839478;-0.586624
156;0.290222;-0.815659;-0.656647
157;0.300018;-0.765488;-0.562210
158;0.157898;-0.733948;-0.688797
159;0.227188;-0.754150;-0.756287
160;0.207687;-0.752625;-0.668442
161;0.262405;-0.757339;-0.569839
162;0.253815;-0.748764;-0.594971
163;0.252502;-0.749710;-0.734711
164;0.216141;-0.756912;-0.638306
165;0.247406;-0.795319;-0.612457
