index;x;y;z
0;0.096649;-0.684906;-0.742233
1;0.062347;-0.689484;-0.726135
2;0.072830;-0.687973;-0.718918
3;0.049698;-0.708282;-0.689362
4;0.035889;-0.701340;-0.669861
5;-0.021378;-0.724533;-0.697525
6;0.029984;-0.681625;-0.721695
7;-0.091461;-0.711319;-0.856308
8;-0.031036;-0.633072;-0.849899
9;-0.139603;-0.846451;-0.821594
10;-0.137390;-0.740891;-1.009430
11;-0.041046;-0.776260;-0.678467
12;0.083450;-0.796280;-0.926163
13;0.040512;-0.776016;-0.798141
14;0.295898;-0.676910;-0.545029
15;0.371658;-0.655746;-0.428421
16;0.506287;-0.616623;-0.229111
17;0.555130;-0.591171;-0.041702
18;0.748428;-0.586136;0.087967
19;0.783386;-0.531403;0.153839
20;0.899292;-0.525070;0.246521
21;0.930176;-0.513550;0.194305
22;0.855362;-0.518051;0.128708
23;0.784042;-0.525604;0.180023
24;0.782669;-0.548019;0.176788
25;0.839966;-0.547363;0.056488
26;0.825882;-0.534653;0.126282
27;0.787796;-0.561981;0.147064
28;0.845505;-0.577072;0.146500
29;0.812790;-0.554321;0.140945
30;0.815231;-0.562622;0.123459
31;0.803802;-0.565109;0.125137
32;0.818817;-0.572906;0.114944
33;0.770584;-0.569565;0.150497
34;0.798782;-0.594742;0.156754
35;0.782547;-0.570496;0.169174
36;0.798294;-0.492859;0.110168
37;0.863876;-0.495941;0.138855
38;0.910446;-0.615204;0.179871
39;0.766907;-0.661331;0.074310
40;0.636383;-0.647507;0.082336
41;0.739166;-0.662704;0.064667
42;0.794113;-0.636429;0.065720
43;0.827179;-0.602036;0.117188
44;0.807281;-0.590500;0.187378
45;0.761917;-0.604401;0.195007
46;0.756577;-0.582901;0.138153
47;0.763596;-0.591080;0.100281
48;0.808823;-0.600281;0.094238
49;0.791855;-0.591736;0.129486
50;0.800613;-0.596695;0.135880
51;0.779480;-0.562317;0.108582
52;0.801376;-0.529434;0.114716
53;0.862823;-0.513687;0.102310
54;0.862625;-0.533829;0.113113
55;0.867004;-0.615128;0.079803
56;0.696091;-0.603165;0.093216
57;0.760376;-0.569321;0.092850
58;0.875809;-0.578247;0.106003
59;0.808151;-0.594467;0.124161
60;0.783752;-0.624893;0.077606
61;0.748764;-0.633606;0.087875
62;0.793610;-0.628677;0.081879
63;0.784088;-0.597229;0.104019
64;0.801758;-0.585617;0.103439
65;0.831207;-0.596161;0.101562
66;0.801819;-0.619675;0.112701
67;0.713470;-0.609619;0.106842
68;0.748154;-0.583420;0.093445
69;0.830078;-0.561813;0.111740
70;0.847351;-0.590668;0.065170
71;0.805862;-0.633621;0.088348
72;0.744904;-0.615891;0.084671
73;0.762711;-0.564407;0.071747
74;0.810715;-0.554016;0.101761
75;0.827652;-0.600204;0.087967
76;0.796265;-0.657166;0.052277
77;0.707138;-0.657181;0.090591
78;0.833908;-0.665222;0.069717
79;0.716278;-0.559799;0.078613
80;0.804245;-0.497650;0.104614
81;0.885818;-0.538864;0.095612
82;0.846832;-0.614349;0.142441
83;0.726212;-0.669617;0.060959
84;0.680634;-0.685349;0.019760
85;0.722900;-0.684586;0.026947
86;0.736816;-0.661316;0.066544
87;0.771149;-0.645844;0.103943
88;0.783173;-0.619156;0.084732
89;0.781387;-0.612473;0.080368
90;0.787613;-0.585968;0.059265
91;0.815201;-0.599991;0.049179
92;0.815155;-0.694687;0.086426
93;0.672943;-0.722260;0.091049
94;0.639709;-0.704086;0.065125
95;0.733444;-0.659134;0.063766
96;0.790833;-0.584930;0.091263
97;0.842514;-0.572769;0.088898
98;0.802917;-0.582901;0.129562
99;0.747375;-0.604385;0.129639
100;0.766449;-0.618271;0.124573
101;0.759171;-0.619781;0.103378
102;0.785706;-0.669891;0.015472
103;0.707642;-0.699463;0.040100
104;0.690628;-0.666641;0.039581
105;0.768600;-0.619019;0.081039
106;0.826492;-0.608597;0.132095
107;0.810883;-0.616486;0.097122
108;0.742828;-0.622574;0.100174
109;0.751617;-0.633713;0.069641
110;0.796066;-0.617416;0.041809
111;0.815323;-0.575638;0.059128
112;0.767242;-0.570007;0.141495
113;0.801224;-0.582642;0.142059
114;0.817825;-0.585464;0.117371
115;0.814423;-0.600616;0.058395
116;0.770355;-0.588654;0.136078
117;0.836319;-0.585602;0.155807
118;0.827896;-0.564041;0.146881
119;0.855438;-0.575317;0.208221
120;0.837509;-0.604523;0.087540
121;0.716354;-0.679886;-0.051254
122;0.633286;-0.709274;-0.017929
123;0.728485;-0.688980;-0.055847
124;0.630859;-0.666946;0.017563
125;0.630753;-0.599762;-0.103210
126;0.564880;-0.617264;-0.252167
127;0.369858;-0.576065;-0.371292
128;0.306198;-0.627670;-0.535645
129;0.332336;-0.676025;-0.668839
130;0.155472;-0.848984;-0.730896
131;-0.050339;-0.635056;-0.976868
132;0.007599;-0.676926;-0.986282
133;0.035538;-0.657471;-0.804520
134;-0.027527;-0.600540;-0.966370
135;-0.058243;-0.622284;-0.927475
136;-0.030930;-0.582123;-0.860611
137;-0.096619;-0.675873;-0.861984
138;0.073685;-0.623489;-0.877182
139;0.061554;-0.631042;-0.771744
140;0.081619;-0.619110;-0.789993
141;0.110428;-0.615967;-0.755249
142;0.080002;-0.604996;-0.722275
143;0.168793;-0.580826;-0.851196
144;0.101151;-0.627686;-0.709686
