index;x;y;z
0;-0.030701;-0.680542;-0.818359
1;-0.129456;-0.731216;-0.862305
2;-0.049484;-0.796814;-0.680145
3;-0.087265;-0.706833;-0.808395
4;0.048141;-0.700378;-0.880325
5;-0.109161;-0.714813;-1.188507
6;-0.027817;-0.676483;-0.666107
7;0.195862;-0.762054;-0.538879
8;0.246292;-0.710236;-0.651077
9;0.285522;-0.815704;-0.389938
10;0.231155;-0.787125;-0.202667
11;0.291748;-0.812500;-0.216324
12;0.379684;-0.794052;-0.191589
13;0.384766;-0.773270;-0.185928
14;0.693893;-0.782700;0.070786
15;0.624084;-0.747650;0.067719
16;0.634979;-0.778381;0.099289
17;0.642136;-0.796844;0.155563
18;0.583984;-0.790115;0.125778
19;0.591476;-0.792618;0.041641
20;0.650330;-0.784760;0.040131
21;0.617477;-0.745743;0.021729
22;0.687576;-0.751038;0.037628
23;0.639450;-0.751343;0.084686
24;0.626633;-0.784027;0.044601
25;0.617615;-0.769974;0.069153
26;0.660095;-0.744736;0.084930
27;0.690720;-0.710541;0.106735
28;0.688736;-0.673859;0.077225
29;0.735229;-0.678253;0.079559
30;0.685791;-0.657333;0.143631
31;0.757538;-0.671646;0.124588
32;0.724884;-0.672134;0.137711
33;0.718933;-0.680847;0.112747
34;0.724625;-0.674133;0.106720
35;0.716507;-0.639008;0.153397
36;0.783112;-0.615768;0.089752
37;0.729202;-0.603531;0.144226
38;0.744400;-0.628891;0.089890
39;0.735382;-0.643448;0.100708
40;0.730438;-0.650192;0.061768
41;0.747818;-0.648224;0.060608
42;0.765671;-0.704025;0.155731
43;0.775757;-0.717712;0.144211
44;0.697845;-0.651535;0.070068
45;0.727615;-0.574356;0.046036
46;0.767654;-0.549667;0.086365
47;0.821259;-0.611847;0.145782
48;0.785538;-0.654175;0.097397
49;0.772903;-0.697784;0.048660
50;0.739136;-0.707626;0.056625
51;0.692017;-0.668701;0.058105
52;0.727646;-0.670715;0.075516
53;0.705032;-0.649780;0.073746
54;0.698837;-0.643982;0.125275
55;0.734848;-0.665451;0.017639
56;0.672363;-0.705292;0.026321
57;0.680832;-0.768234;0.015823
58;0.711334;-0.765930;0.023163
59;0.688492;-0.775635;0.025833
60;0.640167;-0.724533;0.020584
61;0.695282;-0.690964;-0.016663
62;0.750351;-0.702271;0.006470
63;0.701797;-0.728699;0.043182
64;0.624176;-0.745850;0.024841
65;0.643463;-0.742813;0.046005
66;0.717941;-0.705872;0.010132
67;0.743713;-0.701111;-0.003876
68;0.684616;-0.689102;0.008408
69;0.707809;-0.691238;0.023834
70;0.712799;-0.715271;0.018616
71;0.710175;-0.751602;0.053329
72;0.658386;-0.666107;0.003571
73;0.777283;-0.620850;0.089554
74;0.835052;-0.681686;0.094193
75;0.654190;-0.767502;0.101212
76;0.600647;-0.797775;0.024017
77;0.554001;-0.656128;0.001175
78;0.742249;-0.597641;0.113251
79;0.939957;-0.669937;0.150497
80;0.709473;-0.726395;0.110382
81;0.626526;-0.692215;0.069595
82;0.816406;-0.603195;0.077530
83;0.745346;-0.604202;0.133484
84;0.649063;-0.677368;0.011612
85;0.575943;-0.752731;-0.028900
86;0.440292;-0.833054;-0.206467
87;0.397598;-0.814011;-0.316025
88;0.407059;-0.761368;-0.386917
89;0.402328;-0.759399;-0.532333
90;0.237061;-0.521729;-0.430038
91;0.218185;-0.719360;-0.544327
92;0.236023;-0.682755;-0.658356
93;0.302353;-0.676468;-0.798691
94;0.077515;-0.555618;-0.799561
95;0.080185;-0.609787;-0.987915
96;0.105560;-0.610596;-0.967270
97;0.179916;-0.595505;-0.858841
98;0.134766;-0.554657;-0.903763
99;0.134903;-0.564178;-0.809540
100;0.090897;-0.590225;-0.861328
