index;x;y;z
0;-0.004181;-0.010345;-1.007278
1;-0.005096;-0.011002;-1.009048
2;-0.005264;-0.010529;-1.010056
3;-0.004349;-0.010254;-1.009277
4;-0.004959;-0.011505;-1.008530
5;-0.005737;-0.010788;-1.009781
6;-0.005936;-0.010803;-1.009567
7;-0.005524;-0.011673;-1.008636
8;-0.004990;-0.010849;-1.008835
9;-0.004715;-0.010559;-1.009216
10;-0.005707;-0.011353;-1.009857
11;-0.005005;-0.010834;-1.009888
12;-0.005417;-0.010971;-1.008820
13;-0.005295;-0.011795;-1.009506
14;-0.005676;-0.010117;-1.008514
15;-0.004868;-0.010574;-1.009171
16;-0.005905;-0.010559;-1.008820
17;-0.004745;-0.011063;-1.009964
18;-0.004990;-0.011215;-1.008926
19;-0.004776;-0.010788;-1.009460
20;-0.004349;-0.011169;-1.009705
21;-0.005417;-0.010788;-1.008102
22;-0.004776;-0.011032;-1.009109
23;-0.005066;-0.011185;-1.009857
24;-0.005173;-0.011337;-1.009277
25;-0.005508;-0.011139;-1.009949
26;-0.005203;-0.010300;-1.009201
27;-0.005432;-0.010788;-1.009171
28;-0.005249;-0.010452;-1.009415
29;-0.005127;-0.010757;-1.008652
30;-0.005417;-0.011490;-1.009216
31;-0.005325;-0.010986;-1.009491
32;-0.005112;-0.010880;-1.008606
33;-0.006042;-0.011032;-1.010254
34;-0.005249;-0.011078;-1.008789
35;-0.004807;-0.010544;-1.010086
36;-0.005493;-0.010788;-1.009323
37;-0.004974;-0.011368;-1.009109
38;-0.005951;-0.010681;-1.008331
39;-0.005020;-0.011337;-1.009613
40;-0.004868;-0.011215;-1.008865
41;-0.005112;-0.010483;-1.010925
42;-0.005585;-0.011612;-1.008896
43;-0.004456;-0.010910;-1.009521
44;-0.005203;-0.011887;-1.009308
45;-0.004730;-0.011246;-1.009827
46;-0.005310;-0.010544;-1.009399
47;-0.005493;-0.011978;-1.010056
48;-0.005051;-0.010925;-1.009399
49;-0.004822;-0.010757;-1.010056
50;-0.005539;-0.011292;-1.009354
51;-0.004929;-0.011124;-1.008606
52;-0.004639;-0.011063;-1.009506
53;-0.005020;-0.011063;-1.008789
54;-0.004517;-0.010895;-1.008636
55;-0.006180;-0.010239;-1.009491
56;-0.006012;-0.011398;-1.008713
57;-0.004242;-0.010605;-1.009430
58;-0.005219;-0.010712;-1.009171
59;-0.005707;-0.010803;-1.008865
60;-0.005402;-0.010651;-1.009293
61;-0.006042;-0.011063;-1.009796
62;-0.004684;-0.011703;-1.001221
63;-0.005646;-0.011871;-1.010300
