index;x;y;z
0;-0.003403;-0.012543;-1.007263
1;-0.007278;-0.014008;-1.008514
2;-0.007034;-0.013763;-1.006577
3;-0.006058;-0.013443;-1.009125
4;-0.008163;-0.013260;-1.007278
5;-0.006027;-0.013474;-1.007584
6;-0.006409;-0.012939;-1.007294
7;-0.006195;-0.013016;-1.008133
8;-0.005600;-0.012924;-1.008545
9;-0.006302;-0.012787;-1.006470
10;-0.006668;-0.013565;-1.007996
11;-0.007156;-0.013123;-1.007416
12;-0.006500;-0.013626;-1.006927
13;-0.007935;-0.013672;-1.007401
14;-0.005768;-0.012787;-1.007401
15;-0.007126;-0.014038;-1.008179
16;-0.005890;-0.013672;-1.008133
17;-0.006546;-0.012543;-1.007645
18;-0.007141;-0.012802;-1.008148
19;-0.005630;-0.014206;-1.008301
20;-0.006348;-0.013611;-1.007614
21;-0.006592;-0.013519;-1.008194
22;-0.006653;-0.013214;-1.007202
23;-0.006119;-0.012863;-1.007156
24;-0.006042;-0.013931;-1.007675
25;-0.006958;-0.013474;-1.008194
26;-0.005524;-0.012482;-1.006851
27;-0.006485;-0.013733;-1.007233
28;-0.006348;-0.012726;-1.008423
29;-0.006531;-0.013794;-1.007996
30;-0.007050;-0.013229;-1.008850
31;-0.006332;-0.012802;-1.006699
32;-0.006363;-0.012955;-1.007812
33;-0.007111;-0.013596;-1.008224
34;-0.005447;-0.012650;-1.007675
35;-0.006027;-0.013443;-1.008301
36;-0.005142;-0.012466;-1.007233
37;-0.014297;-0.014191;-1.003098
38;0.002594;-0.010147;-1.012543
39;-0.009750;-0.014435;-1.006729
40;-0.008713;-0.014343;-1.008194
41;-0.003021;-0.011673;-1.008453
42;-0.009216;-0.013626;-1.007462
43;-0.005142;-0.013214;-1.008026
44;-0.006470;-0.013046;-1.007309
45;-0.006317;-0.013367;-1.007202
46;-0.006149;-0.013168;-1.008057
47;-0.007050;-0.013657;-1.008026
48;-0.003036;-0.018356;-1.035065
49;-0.009445;-0.018631;-1.003357
50;-0.005173;-0.014938;-1.006332
51;-0.007965;-0.015671;-1.012253
52;-0.006897;-0.012909;-1.005096
53;-0.006714;-0.013702;-1.008942
54;-0.005692;-0.014755;-1.007004
