index;x;y;z
0;-0.004318;-0.011017;-1.007706
1;-0.006500;-0.011124;-1.011154
2;-0.004608;-0.010315;-1.009918
3;-0.004913;-0.011292;-1.007782
4;-0.005127;-0.011383;-1.009415
5;-0.004974;-0.010971;-1.009247
6;-0.005432;-0.011230;-1.009857
7;-0.005371;-0.010513;-1.008713
8;-0.005447;-0.011322;-1.008591
9;-0.004852;-0.011475;-1.008911
10;-0.005692;-0.011688;-1.008606
11;-0.005417;-0.010849;-1.010162
12;-0.005127;-0.010925;-1.009445
13;-0.005814;-0.011703;-1.009293
14;-0.004578;-0.011047;-1.008972
15;-0.005966;-0.010864;-1.009811
16;-0.005280;-0.010986;-1.009186
17;-0.004044;-0.010834;-1.009613
18;-0.005493;-0.010529;-1.009384
19;-0.005920;-0.010605;-1.009705
20;-0.005020;-0.010895;-1.009232
21;-0.005356;-0.010620;-1.009933
22;-0.004974;-0.009918;-1.009125
23;-0.005920;-0.010742;-1.009171
24;-0.005096;-0.010498;-1.009705
25;-0.004776;-0.010971;-1.009155
26;-0.005142;-0.011475;-1.009659
27;-0.005356;-0.010605;-1.010132
28;-0.005661;-0.011490;-1.008759
29;-0.005798;-0.011566;-1.009521
30;-0.005310;-0.010773;-1.009201
31;-0.005356;-0.009995;-1.008896
32;-0.004852;-0.011536;-1.010208
33;-0.005142;-0.011444;-1.008911
34;-0.005325;-0.011734;-1.009186
35;-0.005371;-0.010269;-1.009155
36;-0.005463;-0.011200;-1.010162
37;-0.005554;-0.011322;-1.009293
38;-0.005142;-0.011139;-1.009323
39;-0.005051;-0.010559;-1.009445
40;-0.005890;-0.010452;-1.009888
41;-0.005264;-0.011047;-1.009293
42;-0.005569;-0.011444;-1.008530
43;-0.004929;-0.010925;-1.009933
44;-0.004974;-0.011169;-1.009537
45;-0.005295;-0.011795;-1.007797
46;-0.005524;-0.010712;-1.010361
47;-0.005798;-0.010300;-1.008560
48;-0.005646;-0.010864;-1.008270
49;-0.005829;-0.010529;-1.009186
50;-0.005569;-0.010117;-1.009277
51;-0.004150;-0.011429;-1.010742
52;-0.005051;-0.010880;-1.010010
53;-0.005508;-0.011002;-1.009918
54;-0.004837;-0.011093;-1.008545
55;-0.004944;-0.010880;-1.010300
56;-0.005798;-0.010986;-1.010040
57;-0.005920;-0.011505;-1.010406
58;-0.004929;-0.010666;-1.009140
59;-0.005295;-0.010971;-1.008957
60;-0.005173;-0.010513;-1.009933
61;-0.005463;-0.011383;-1.008713
62;-0.005997;-0.011261;-1.009323
63;-0.005875;-0.010391;-1.011810
64;-0.006042;-0.010422;-1.005981
