index;x;y;z
0;-0.004303;-0.010925;-1.007309
1;-0.006424;-0.011215;-1.010239
2;-0.003967;-0.011520;-1.009232
3;-0.006989;-0.010910;-1.009995
4;-0.003952;-0.010834;-1.009705
5;-0.005295;-0.011368;-1.010666
6;-0.005035;-0.011444;-1.008804
7;-0.004288;-0.010345;-1.009766
8;-0.005081;-0.011658;-1.009705
9;-0.005936;-0.011185;-1.009415
10;-0.005219;-0.011459;-1.009613
11;-0.005692;-0.010727;-1.008438
12;-0.004822;-0.011597;-1.009521
13;-0.010544;-0.013367;-0.999023
14;-0.004913;-0.009476;-1.004654
15;-0.003601;-0.011993;-1.014160
16;-0.004349;-0.009842;-1.007217
17;-0.004013;-0.010880;-1.011063
18;-0.007141;-0.010544;-1.007904
19;-0.003113;-0.011032;-1.010040
20;-0.008209;-0.010757;-1.009018
21;-0.002960;-0.010254;-1.008789
22;-0.007339;-0.011459;-1.009399
23;-0.003128;-0.011322;-1.009598
24;-0.006256;-0.011368;-1.010391
25;-0.003952;-0.010239;-1.009552
26;-0.005493;-0.010620;-1.011169
27;-0.004700;-0.010010;-1.010818
28;-0.005096;-0.011368;-1.010773
29;-0.005020;-0.011261;-1.010422
30;-0.005310;-0.010956;-1.009048
31;-0.005112;-0.011139;-1.010147
32;-0.004593;-0.011597;-1.010300
33;-0.005997;-0.011948;-1.010818
34;-0.004395;-0.010864;-1.010223
35;-0.005188;-0.010773;-1.009354
36;-0.004944;-0.010895;-1.010086
37;-0.004929;-0.009811;-1.010483
38;-0.005020;-0.010834;-1.010239
39;-0.005829;-0.011230;-1.009766
40;-0.005127;-0.011749;-1.010101
41;-0.005325;-0.011276;-1.009689
42;-0.004608;-0.010925;-1.008957
43;-0.006516;-0.013412;-1.010208
44;-0.004501;-0.009445;-1.008636
45;-0.005859;-0.012192;-1.010208
46;-0.005127;-0.009781;-1.009567
47;-0.005188;-0.010971;-1.009277
48;-0.004440;-0.011383;-1.010117
49;-0.005447;-0.011353;-1.008789
50;-0.004959;-0.010788;-1.009445
51;-0.004837;-0.011703;-1.008987
52;-0.004898;-0.011322;-1.009705
53;-0.004532;-0.011230;-1.009750
54;-0.005981;-0.010986;-1.009583
55;-0.005142;-0.010666;-1.010193
56;-0.005829;-0.010574;-1.009491
57;-0.004837;-0.011261;-1.009613
58;-0.005325;-0.010986;-1.009033
59;-0.005661;-0.010818;-1.008865
60;-0.005020;-0.011841;-1.009918
61;-0.004761;-0.011047;-1.008759
62;-0.004974;-0.011246;-1.009430
63;-0.005188;-0.010468;-1.009552
64;-0.006042;-0.010635;-1.009583
65;-0.005203;-0.010834;-1.009277
66;-0.005478;-0.010895;-1.009705
67;-0.005783;-0.011108;-1.009644
68;-0.005325;-0.010803;-1.009918
69;-0.005234;-0.010712;-1.010239
70;-0.004944;-0.010757;-1.019623
71;-0.006042;-0.011505;-1.005661
