index;x;y;z
0;-0.004837;-0.010773;-1.010361
1;-0.005859;-0.011215;-1.010086
2;-0.004562;-0.010056;-1.007828
3;-0.006378;-0.010910;-1.010101
4;-0.005310;-0.010574;-1.008835
5;-0.005264;-0.010269;-1.008942
6;-0.004471;-0.011337;-1.009842
7;-0.005569;-0.010941;-1.008652
8;-0.004684;-0.011230;-1.009262
9;-0.004868;-0.011169;-1.008179
10;-0.005936;-0.011551;-1.010406
11;-0.004837;-0.010254;-1.008926
12;-0.005203;-0.010941;-1.008286
13;-0.005554;-0.010071;-1.010361
14;-0.005630;-0.010757;-1.010071
15;-0.005463;-0.010666;-1.009354
16;-0.005676;-0.010513;-1.008789
17;-0.005005;-0.011383;-1.009674
18;-0.005737;-0.010880;-1.009171
19;-0.005005;-0.010803;-1.009979
20;-0.006180;-0.009903;-1.009384
21;-0.005890;-0.011246;-1.011398
22;-0.005081;-0.011215;-1.009048
23;-0.004974;-0.012070;-1.010345
24;-0.005814;-0.011246;-1.009705
25;-0.004913;-0.011063;-1.008804
26;-0.005203;-0.011520;-1.008972
27;-0.005478;-0.011215;-1.009644
28;-0.005661;-0.010895;-1.009995
29;-0.005585;-0.010254;-1.009689
30;-0.004974;-0.012558;-1.008514
31;-0.004791;-0.010864;-1.009048
32;-0.005676;-0.011047;-1.009262
33;-0.005630;-0.011002;-1.009933
34;-0.004822;-0.011185;-1.009598
35;-0.005402;-0.010803;-1.009048
36;-0.005386;-0.011353;-1.008896
37;-0.005798;-0.010834;-1.008881
38;-0.005234;-0.010712;-1.009903
39;-0.005295;-0.011490;-1.009308
40;-0.005310;-0.009949;-1.009918
41;-0.005707;-0.010315;-1.009262
42;-0.004974;-0.012405;-1.010040
43;-0.005829;-0.011810;-1.009354
44;-0.005295;-0.010452;-1.008759
45;-0.005402;-0.009796;-1.009903
46;-0.005035;-0.011490;-1.009521
47;-0.005295;-0.010666;-1.008881
48;-0.003769;-0.010880;-1.008865
