index;x;y;z
0;-0.007095;-0.011459;-1.008209
1;-0.004211;-0.011032;-1.011200
2;-0.005783;-0.012558;-1.009903
3;-0.005722;-0.011902;-1.008026
4;-0.004562;-0.011383;-1.009521
5;-0.006180;-0.010742;-1.009079
6;-0.004883;-0.011185;-1.008896
7;-0.004700;-0.011185;-1.008911
8;-0.005463;-0.011520;-1.009216
9;-0.004913;-0.011429;-1.009247
10;-0.005157;-0.011093;-1.009155
11;-0.005630;-0.012070;-1.008484
12;-0.004822;-0.011429;-1.010056
13;-0.005676;-0.011978;-1.009201
14;-0.004745;-0.010986;-1.008682
15;-0.004669;-0.011383;-1.010345
16;-0.006073;-0.010742;-1.009689
17;-0.005219;-0.009995;-1.008911
18;-0.005722;-0.012344;-1.009155
19;-0.006012;-0.011887;-1.009781
20;-0.004456;-0.011032;-1.009323
21;-0.005432;-0.011429;-1.009933
22;-0.005310;-0.011887;-1.008789
23;-0.004837;-0.010757;-1.008896
24;-0.005676;-0.011597;-1.009628
25;-0.005295;-0.010986;-1.008682
26;-0.006104;-0.010696;-1.010071
27;-0.005859;-0.011627;-1.009277
28;-0.005478;-0.010910;-1.008667
29;-0.006073;-0.011993;-1.009048
30;-0.005005;-0.011429;-1.009674
31;-0.005020;-0.011185;-1.008896
32;-0.005310;-0.010727;-1.009094
33;-0.005768;-0.011688;-1.009232
34;-0.005692;-0.011185;-1.008957
35;-0.005539;-0.011505;-1.009354
36;-0.004623;-0.011383;-1.009491
37;-0.005402;-0.010559;-1.008682
38;-0.004929;-0.010635;-1.008606
39;-0.005295;-0.011154;-1.009048
40;-0.005859;-0.011383;-1.009720
41;-0.005157;-0.010864;-1.009796
42;-0.005676;-0.010223;-1.009171
43;-0.006165;-0.011337;-1.009415
44;-0.005051;-0.010208;-1.009354
45;-0.005142;-0.011215;-1.009384
46;-0.005676;-0.010590;-1.009064
47;-0.005508;-0.011566;-1.008499
48;-0.005615;-0.010818;-1.008942
49;-0.004410;-0.011261;-1.009857
50;-0.006149;-0.010376;-1.008682
51;-0.005692;-0.010635;-1.008835
52;-0.005020;-0.011673;-1.008133
53;-0.005402;-0.011642;-1.009781
54;-0.004929;-0.010849;-1.009384
55;-0.005493;-0.011749;-1.008972
56;-0.005173;-0.010971;-1.008881
57;-0.005707;-0.011093;-1.009613
58;-0.005737;-0.011475;-1.008575
59;-0.005127;-0.011459;-1.009064
60;-0.005554;-0.011047;-1.009232
61;-0.005508;-0.011444;-1.008591
62;-0.005203;-0.011292;-1.010468
63;-0.005783;-0.011078;-1.009689
64;-0.005249;-0.010956;-1.009018
65;-0.006119;-0.010666;-1.008743
66;-0.005096;-0.011627;-1.008698
67;-0.005371;-0.011368;-1.010269
68;-0.004959;-0.011566;-1.009308
69;-0.004837;-0.012115;-1.008606
70;-0.004990;-0.011353;-1.009369
71;-0.005737;-0.011429;-1.009460
72;-0.005539;-0.011337;-1.008698
73;-0.005707;-0.010635;-1.009781
74;-0.005234;-0.011597;-1.009216
75;-0.005859;-0.010498;-1.009506
76;-0.004669;-0.010513;-1.009613
77;-0.005768;-0.011261;-1.009476
78;-0.005768;-0.011139;-1.009644
79;-0.004456;-0.010406;-1.008896
80;-0.006165;-0.010910;-1.009766
81;-0.005737;-0.010956;-1.009705
82;-0.005783;-0.010910;-1.009384
83;-0.004898;-0.011444;-1.009842
84;-0.005478;-0.011246;-1.009277
85;-0.005936;-0.011108;-1.009277
86;-0.004211;-0.011093;-1.008957
87;-0.006042;-0.011353;-1.009018
88;-0.005447;-0.010956;-1.009293
89;-0.005463;-0.010818;-1.008957
90;-0.005371;-0.011673;-1.010147
91;-0.005646;-0.010696;-1.009216
92;-0.005493;-0.011032;-1.009659
93;-0.005707;-0.010452;-1.008865
94;-0.005508;-0.011948;-1.009888
95;-0.005630;-0.011383;-1.008881
96;-0.005173;-0.010757;-1.009476
97;-0.005035;-0.010941;-1.010193
98;-0.005157;-0.010910;-1.008911
99;-0.005386;-0.011353;-1.009827
100;-0.005096;-0.011230;-1.009979
101;-0.005432;-0.010315;-1.009354
102;-0.005035;-0.011017;-1.010666
103;-0.006653;-0.011673;-1.010483
