index;x;y;z
0;-0.005829;-0.010544;-1.010269
1;-0.005341;-0.010376;-1.007294
2;-0.005493;-0.011032;-1.007324
3;-0.004547;-0.011261;-1.009628
4;-0.005020;-0.010681;-1.008911
5;-0.004959;-0.011536;-1.008652
6;-0.004944;-0.011871;-1.009415
7;-0.005600;-0.011017;-1.009125
8;-0.005203;-0.011276;-1.009338
9;-0.005203;-0.011353;-1.009079
10;-0.005493;-0.011902;-1.009354
11;-0.006317;-0.011703;-1.008972
12;-0.005447;-0.010834;-1.009064
13;-0.005402;-0.011429;-1.008575
14;-0.004944;-0.011292;-1.009033
15;-0.005737;-0.010651;-1.008743
16;-0.005417;-0.012360;-1.009369
17;-0.004715;-0.011353;-1.010284
18;-0.004913;-0.011688;-1.009048
19;-0.005310;-0.010986;-1.009399
20;-0.005203;-0.010681;-1.008606
21;-0.005722;-0.010757;-1.009201
22;-0.005737;-0.010986;-1.009354
23;-0.005371;-0.012222;-1.008392
24;-0.006516;-0.011673;-1.009766
25;-0.005600;-0.010590;-1.009003
26;-0.005264;-0.011108;-1.009323
27;-0.005219;-0.011215;-1.008560
28;-0.005447;-0.010941;-1.008133
29;-0.005341;-0.011337;-1.009552
30;-0.005188;-0.011368;-1.008316
31;-0.005814;-0.011368;-1.009216
32;-0.005676;-0.010437;-1.008545
33;-0.005493;-0.010895;-1.008392
34;-0.004868;-0.011246;-1.009262
35;-0.005157;-0.011002;-1.008545
36;-0.005493;-0.011292;-1.008133
37;-0.004684;-0.011475;-1.008942
38;-0.005768;-0.011566;-1.008850
39;-0.005753;-0.011078;-1.009506
40;-0.005753;-0.011200;-1.009979
41;-0.005402;-0.011108;-1.008362
42;-0.004440;-0.011307;-1.009003
43;-0.004974;-0.011230;-1.009689
44;-0.005325;-0.011292;-1.008896
45;-0.004852;-0.010666;-1.009262
46;-0.005432;-0.011658;-1.008759
47;-0.006195;-0.011093;-1.009521
48;-0.005676;-0.011398;-1.008835
49;-0.005768;-0.010971;-1.008835
50;-0.005112;-0.011063;-1.009354
51;-0.005859;-0.011185;-1.009583
52;-0.005035;-0.011230;-1.009491
53;-0.004684;-0.010437;-1.009750
54;-0.004715;-0.010559;-1.010040
55;-0.006485;-0.011551;-1.009171
56;-0.004608;-0.011307;-1.009308
57;-0.005341;-0.011444;-1.009445
58;-0.005661;-0.010880;-1.009003
59;-0.005020;-0.011444;-1.010010
60;-0.005829;-0.011368;-1.009277
61;-0.005081;-0.011215;-1.009521
62;-0.005478;-0.011749;-1.011063
63;-0.004333;-0.011459;-1.009949
64;-0.005249;-0.011078;-1.009796
65;-0.005859;-0.010620;-1.009262
66;-0.005035;-0.011566;-1.008286
67;-0.005859;-0.011475;-1.008240
68;-0.005539;-0.011093;-1.009262
69;-0.005753;-0.011658;-1.009232
70;-0.005661;-0.011185;-1.010208
71;-0.004333;-0.012299;-1.013626
72;-0.005371;-0.011108;-1.007706
