index;x;y;z
0;-0.007843;-0.014130;-1.007767
1;-0.004944;-0.013229;-1.007614
2;-0.006912;-0.014175;-1.007690
3;-0.005737;-0.013901;-1.008301
4;-0.006760;-0.013733;-1.008423
5;-0.006332;-0.013016;-1.008545
6;-0.005722;-0.012970;-1.008514
7;-0.006821;-0.012970;-1.007614
8;-0.005676;-0.013611;-1.007919
9;-0.006851;-0.013443;-1.007645
10;-0.006653;-0.013290;-1.008301
11;-0.006073;-0.013672;-1.008820
12;-0.006744;-0.013245;-1.007965
13;-0.006470;-0.012589;-1.007614
14;-0.006790;-0.013702;-1.007095
15;-0.006454;-0.013657;-1.007889
16;-0.006134;-0.013443;-1.008575
17;-0.005936;-0.013062;-1.007523
18;-0.006332;-0.013458;-1.008102
19;-0.006058;-0.013138;-1.008072
20;-0.006058;-0.013489;-1.007767
21;-0.006104;-0.012466;-1.008118
22;-0.006638;-0.013718;-1.008804
23;-0.006165;-0.014343;-1.008072
24;-0.006302;-0.013504;-1.008163
25;-0.006638;-0.013107;-1.008652
26;-0.005737;-0.012894;-1.007858
27;-0.007019;-0.013107;-1.007050
28;-0.007050;-0.013931;-1.008881
29;-0.006195;-0.013016;-1.008102
30;-0.006973;-0.013885;-1.008453
31;-0.006088;-0.012970;-1.008865
32;-0.006149;-0.013687;-1.007904
33;-0.006134;-0.013550;-1.007828
34;-0.005997;-0.012695;-1.007660
35;-0.005936;-0.013519;-1.007935
36;-0.005966;-0.013321;-1.007401
37;-0.006241;-0.013718;-1.007874
38;-0.006744;-0.013718;-1.008575
39;-0.005676;-0.014099;-1.008545
40;-0.005981;-0.012970;-1.007324
41;-0.005341;-0.013748;-1.008774
42;-0.006958;-0.012939;-1.007538
43;-0.006042;-0.013504;-1.007507
44;-0.006302;-0.012848;-1.009338
45;-0.007156;-0.013535;-1.007645
46;-0.006195;-0.013550;-1.008957
47;-0.006027;-0.013718;-1.008209
48;-0.006729;-0.013382;-1.009094
49;-0.006531;-0.012756;-1.008087
50;-0.005615;-0.013031;-1.007095
51;-0.006363;-0.013580;-1.008148
52;-0.007004;-0.014160;-1.007889
53;-0.005920;-0.013077;-1.008209
54;-0.006500;-0.013489;-1.008881
55;-0.006378;-0.013947;-1.008713
56;-0.005859;-0.012833;-1.007584
57;-0.007721;-0.013367;-1.008087
58;-0.006805;-0.013123;-1.008789
59;-0.006271;-0.013138;-1.009308
60;-0.006531;-0.012878;-1.008377
61;-0.006638;-0.013168;-1.007965
62;-0.006516;-0.013763;-1.009247
63;-0.005814;-0.013763;-1.008835
64;-0.006500;-0.013672;-1.008743
65;-0.005646;-0.014282;-1.008316
66;-0.006104;-0.013031;-1.007690
67;-0.007050;-0.012939;-1.008621
68;-0.006561;-0.013641;-1.008255
69;-0.006485;-0.013931;-1.008148
70;-0.006454;-0.012695;-1.007965
71;-0.006500;-0.013535;-1.009277
72;-0.006561;-0.013580;-1.008438
73;-0.005493;-0.013016;-1.008377
74;-0.006302;-0.013504;-1.008255
75;-0.005951;-0.012085;-1.008148
76;-0.006348;-0.013901;-1.008591
77;-0.006454;-0.014069;-1.007889
78;-0.006027;-0.012741;-1.008850
79;-0.007095;-0.013428;-1.007843
80;-0.005234;-0.012680;-1.008774
81;-0.006393;-0.013123;-1.008209
82;-0.005829;-0.013794;-1.008530
83;-0.005829;-0.012878;-1.008224
84;-0.006500;-0.012802;-1.007980
85;-0.005630;-0.013199;-1.009018
86;-0.006607;-0.014069;-1.009262
87;-0.005188;-0.014114;-1.008804
88;-0.006287;-0.012741;-1.009003
89;-0.006485;-0.013458;-1.008163
90;-0.006470;-0.012741;-1.009247
91;-0.006699;-0.012939;-1.007721
92;-0.005859;-0.013046;-1.008575
93;-0.006149;-0.013504;-1.008499
94;-0.006668;-0.012894;-1.008591
95;-0.006714;-0.012619;-1.008728
96;-0.006073;-0.012772;-1.008011
97;-0.006393;-0.014008;-1.008362
98;-0.005554;-0.012787;-1.008011
99;-0.005539;-0.012634;-1.009247
100;-0.006027;-0.014160;-1.008698
101;-0.006317;-0.013184;-1.008942
102;-0.006317;-0.013367;-1.008057
103;-0.006149;-0.014282;-1.008270
104;-0.006546;-0.012207;-1.008957
105;-0.006866;-0.012985;-1.007767
106;-0.006622;-0.013275;-1.007889
107;-0.006226;-0.013077;-1.008224
108;-0.005920;-0.013275;-1.008957
109;-0.006485;-0.013962;-1.008820
110;-0.006287;-0.013657;-1.008728
111;-0.006485;-0.013580;-1.008835
112;-0.006317;-0.013367;-1.008698
113;-0.006241;-0.012726;-1.008682
114;-0.005920;-0.013306;-1.008652
115;-0.006119;-0.013062;-1.013321
116;-0.006577;-0.013245;-1.007553
117;-0.008743;-0.013245;-1.006989
