index;x;y;z
0;-0.003220;-0.012909;-1.004486
1;-0.004471;-0.012695;-1.009552
2;-0.004120;-0.012970;-1.006744
3;-0.002319;-0.012650;-1.007950
4;-0.004883;-0.013382;-1.007568
5;-0.003036;-0.013336;-1.007355
6;-0.004532;-0.013153;-1.007202
7;-0.004044;-0.012177;-1.008194
8;-0.003128;-0.013672;-1.006058
9;-0.004608;-0.013611;-1.007431
10;-0.004013;-0.012222;-1.006607
11;-0.003967;-0.013107;-1.006989
12;-0.003845;-0.012894;-1.008255
13;-0.004074;-0.012436;-1.007095
14;-0.004089;-0.011475;-1.006989
15;-0.003952;-0.012894;-1.007339
16;-0.003586;-0.012238;-1.007797
17;-0.003723;-0.013138;-1.007751
18;-0.004013;-0.012390;-1.007568
19;-0.004150;-0.012741;-1.007553
20;-0.004135;-0.012497;-1.007996
21;-0.003693;-0.012711;-1.006882
22;-0.004211;-0.013596;-1.006531
23;-0.003433;-0.012497;-1.007797
24;-0.004456;-0.013275;-1.007248
25;-0.003616;-0.011932;-1.007996
26;-0.004135;-0.012405;-1.007050
27;-0.004150;-0.012589;-1.008102
28;-0.003860;-0.012177;-1.007996
29;-0.004578;-0.012329;-1.006226
30;-0.004211;-0.011398;-1.007523
31;-0.004791;-0.012344;-1.007599
32;-0.004211;-0.012558;-1.007492
33;-0.003326;-0.011673;-1.007889
34;-0.003967;-0.012589;-1.006805
35;-0.004745;-0.013000;-1.007996
36;-0.004211;-0.012909;-1.006897
37;-0.003159;-0.012589;-1.007462
38;-0.003662;-0.011887;-1.007538
39;-0.004272;-0.012741;-1.006256
40;-0.003647;-0.012390;-1.007797
41;-0.003952;-0.013153;-1.006348
42;-0.002991;-0.013123;-1.007614
43;-0.004227;-0.012970;-1.006851
44;-0.004333;-0.012558;-1.007462
45;-0.004471;-0.012924;-1.006638
46;-0.004318;-0.013565;-1.007339
47;-0.004120;-0.012802;-1.007309
48;-0.004272;-0.012314;-1.007965
49;-0.003586;-0.012726;-1.007309
50;-0.004257;-0.012131;-1.007385
51;-0.002960;-0.012329;-1.007324
52;-0.004486;-0.012894;-1.007233
53;-0.005051;-0.011551;-1.006958
54;-0.003555;-0.012955;-1.006683
55;-0.004547;-0.012772;-1.007645
56;-0.003601;-0.012848;-1.007751
57;-0.002853;-0.013000;-1.007034
58;-0.004074;-0.012543;-1.007828
59;-0.003448;-0.012436;-1.007248
60;-0.003571;-0.012985;-1.007355
61;-0.003830;-0.012009;-1.008026
62;-0.004410;-0.012421;-1.008484
63;-0.003998;-0.012878;-1.007385
64;-0.003723;-0.011597;-1.008286
65;-0.004242;-0.013397;-1.007248
66;-0.003021;-0.012939;-1.007629
67;-0.005051;-0.012375;-1.007523
68;-0.003815;-0.012726;-1.007767
69;-0.003983;-0.012878;-1.007736
70;-0.004105;-0.012299;-1.006256
71;-0.003693;-0.012238;-1.007507
72;-0.003830;-0.011536;-1.007446
73;-0.003723;-0.012650;-1.006073
74;-0.003525;-0.012390;-1.007782
75;-0.003754;-0.012390;-1.007111
76;-0.004166;-0.012741;-1.006454
77;-0.005127;-0.013290;-1.007141
78;-0.003815;-0.012009;-1.007584
79;-0.003769;-0.012573;-1.007874
80;-0.004303;-0.012482;-1.007660
81;-0.003754;-0.012344;-1.006760
82;-0.004211;-0.011963;-1.008072
83;-0.004501;-0.012863;-1.007187
84;-0.003464;-0.012665;-1.007095
85;-0.004227;-0.012619;-1.007126
86;-0.004120;-0.011459;-1.007980
87;-0.004120;-0.012833;-1.007416
88;-0.004395;-0.012970;-1.007446
89;-0.004135;-0.012466;-1.007278
90;-0.004135;-0.012695;-1.007355
91;-0.003174;-0.012421;-1.007248
92;-0.004639;-0.011856;-1.008148
93;-0.004105;-0.013824;-1.008423
94;-0.003571;-0.013275;-1.006882
95;-0.004181;-0.013306;-1.007767
96;-0.003937;-0.013000;-1.006271
97;-0.004135;-0.011978;-1.007202
98;-0.004120;-0.012329;-1.006943
99;-0.003754;-0.012238;-1.007690
100;-0.003876;-0.012573;-1.007568
101;-0.003586;-0.013046;-1.007935
102;-0.004364;-0.012497;-1.007629
103;-0.003922;-0.012878;-1.007324
104;-0.003494;-0.012726;-1.006790
105;-0.003418;-0.012482;-1.007172
106;-0.004028;-0.012146;-1.007080
107;-0.004623;-0.013031;-1.006836
108;-0.003555;-0.012375;-1.007935
109;-0.003952;-0.012604;-1.007431
110;-0.003571;-0.012512;-1.008270
111;-0.003479;-0.012421;-1.007782
112;-0.004044;-0.013184;-1.006622
113;-0.003906;-0.011948;-1.007980
114;-0.004333;-0.013412;-1.007599
115;-0.004150;-0.012665;-1.008057
116;-0.003311;-0.012772;-1.007843
117;-0.004684;-0.013229;-1.007812
118;-0.003342;-0.012650;-1.007263
119;-0.004486;-0.012268;-1.007721
120;-0.003876;-0.012497;-1.007278
121;-0.003677;-0.012466;-1.008072
122;-0.004425;-0.012634;-1.008087
123;-0.003586;-0.012192;-1.008286
124;-0.004395;-0.012573;-1.007629
125;-0.003204;-0.012314;-1.007401
126;-0.004013;-0.012039;-1.007416
127;-0.003723;-0.012085;-1.007843
128;-0.003754;-0.013107;-1.007904
129;-0.003540;-0.013016;-1.009491
130;-0.005188;-0.012985;-1.007950
