index;x;y;z
0;-0.003143;-0.012344;-1.008041
1;-0.004501;-0.012375;-1.007904
2;-0.004013;-0.012665;-1.006607
3;-0.002960;-0.012009;-1.008514
4;-0.003754;-0.012726;-1.007187
5;-0.004608;-0.012329;-1.008850
6;-0.003387;-0.012634;-1.007874
7;-0.003525;-0.012650;-1.007965
8;-0.003922;-0.012421;-1.007797
9;-0.003357;-0.012589;-1.007095
10;-0.004639;-0.011902;-1.007599
11;-0.004089;-0.012405;-1.007019
12;-0.003922;-0.011902;-1.008377
13;-0.003876;-0.012299;-1.007690
14;-0.003738;-0.011368;-1.007538
15;-0.004211;-0.013000;-1.009048
16;-0.003845;-0.012039;-1.007294
17;-0.003906;-0.012619;-1.008118
18;-0.003098;-0.012283;-1.008087
19;-0.004074;-0.012665;-1.007584
20;-0.003983;-0.012100;-1.008514
21;-0.004135;-0.011398;-1.006744
22;-0.003128;-0.012558;-1.008026
23;-0.004425;-0.012421;-1.007172
24;-0.004089;-0.012299;-1.007446
25;-0.003769;-0.012985;-1.007309
26;-0.003967;-0.012085;-1.007538
27;-0.004410;-0.011993;-1.009125
28;-0.003876;-0.012863;-1.006790
29;-0.003677;-0.012833;-1.008484
30;-0.003235;-0.011490;-1.007294
31;-0.003555;-0.012604;-1.007828
32;-0.004059;-0.012329;-1.008469
33;-0.003525;-0.012802;-1.008850
34;-0.004196;-0.012665;-1.008224
35;-0.004257;-0.012955;-1.007950
36;-0.003540;-0.012543;-1.007431
37;-0.004120;-0.012756;-1.007965
38;-0.003250;-0.012161;-1.007904
39;-0.004059;-0.012497;-1.007614
40;-0.003662;-0.012466;-1.008652
41;-0.003433;-0.011551;-1.008041
42;-0.004776;-0.012390;-1.008453
43;-0.004059;-0.012222;-1.007675
44;-0.004242;-0.012253;-1.008713
45;-0.004013;-0.012894;-1.007370
46;-0.003281;-0.012360;-1.007477
47;-0.003784;-0.012741;-1.008820
48;-0.003815;-0.012161;-1.007828
49;-0.003860;-0.013504;-1.007401
50;-0.004166;-0.012207;-1.007462
51;-0.003998;-0.012039;-1.007736
52;-0.003784;-0.012070;-1.008286
53;-0.003860;-0.011963;-1.007202
54;-0.003220;-0.012619;-1.007889
55;-0.004028;-0.012161;-1.007355
56;-0.003738;-0.012421;-1.008057
57;-0.003601;-0.013077;-1.008423
58;-0.003250;-0.012100;-1.007111
59;-0.003662;-0.012863;-1.009048
60;-0.003571;-0.012512;-1.007828
61;-0.003662;-0.012100;-1.008469
62;-0.003647;-0.012161;-1.007812
63;-0.003448;-0.012054;-1.008026
64;-0.004257;-0.011902;-1.007935
65;-0.002853;-0.012222;-1.007309
66;-0.003235;-0.012390;-1.008286
67;-0.003998;-0.012970;-1.007599
68;-0.003601;-0.011963;-1.006943
69;-0.004486;-0.011795;-1.008148
70;-0.003891;-0.011475;-1.008026
71;-0.003784;-0.011749;-1.008560
72;-0.004059;-0.011902;-1.008316
73;-0.004913;-0.011459;-1.007614
74;-0.004150;-0.011887;-1.008270
75;-0.004013;-0.012527;-1.007431
76;-0.003708;-0.012039;-1.008102
77;-0.003448;-0.012344;-1.007080
78;-0.003433;-0.012054;-1.007736
79;-0.003143;-0.013184;-1.007904
80;-0.003677;-0.011749;-1.007401
81;-0.004166;-0.012817;-1.008774
82;-0.004150;-0.013229;-1.007767
83;-0.003601;-0.013214;-1.008133
84;-0.003708;-0.012833;-1.008240
85;-0.003601;-0.012711;-1.007034
86;-0.003845;-0.013031;-1.008835
87;-0.003189;-0.011322;-1.008072
88;-0.003876;-0.012863;-1.008118
89;-0.004303;-0.011871;-1.007706
90;-0.003250;-0.013016;-1.007721
91;-0.003494;-0.012299;-1.007263
92;-0.003113;-0.012863;-1.008286
93;-0.003677;-0.013000;-1.008911
94;-0.003845;-0.012344;-1.007797
95;-0.004105;-0.013031;-1.006821
96;-0.004211;-0.012772;-1.008591
97;-0.003311;-0.012238;-1.007645
98;-0.004501;-0.012100;-1.010056
99;-0.003357;-0.012375;-1.007370
100;-0.003555;-0.012375;-1.008057
101;-0.003952;-0.012482;-1.008759
102;-0.003738;-0.011673;-1.007584
103;-0.003906;-0.013351;-1.008575
104;-0.003616;-0.012299;-1.007324
105;-0.003708;-0.012131;-1.007050
106;-0.004974;-0.012878;-1.008072
107;-0.003464;-0.012573;-1.007019
108;-0.004486;-0.012589;-1.008377
109;-0.003265;-0.012482;-1.008347
110;-0.003708;-0.012299;-1.008377
111;-0.003479;-0.012878;-1.008698
112;-0.003632;-0.012634;-1.007645
113;-0.003464;-0.012375;-1.007568
114;-0.003281;-0.012634;-1.007614
115;-0.003235;-0.012970;-1.008423
116;-0.004196;-0.012650;-1.008072
117;-0.003845;-0.012436;-1.007843
118;-0.003830;-0.011505;-1.007721
119;-0.003448;-0.012619;-1.007874
120;-0.003906;-0.012878;-1.008102
121;-0.003738;-0.011581;-1.008240
122;-0.003845;-0.011475;-1.008530
123;-0.003952;-0.012817;-1.007782
124;-0.003479;-0.012466;-1.007751
125;-0.003265;-0.011063;-1.007965
126;-0.004272;-0.011887;-1.008240
127;-0.003769;-0.012421;-1.007080
128;-0.004532;-0.012466;-1.006958
129;-0.003937;-0.012878;-1.008240
130;-0.004105;-0.013168;-1.006836
131;-0.004303;-0.011993;-1.007217
132;-0.002899;-0.012772;-1.007416
