index;x;y;z
0;-0.007095;-0.013702;-1.003937
1;-0.004929;-0.013062;-1.008377
2;-0.007538;-0.013870;-1.008194
3;-0.004990;-0.012817;-1.006531
4;-0.006378;-0.013168;-1.007599
5;-0.007172;-0.012619;-1.007095
6;-0.005478;-0.012680;-1.006989
7;-0.007431;-0.013016;-1.006775
8;-0.006042;-0.013260;-1.007034
9;-0.006180;-0.013367;-1.006989
10;-0.006958;-0.013916;-1.007828
11;-0.005753;-0.013824;-1.007248
12;-0.006058;-0.012741;-1.006897
13;-0.006058;-0.011780;-1.008972
14;-0.006500;-0.012955;-1.007050
15;-0.006241;-0.012558;-1.006592
16;-0.006195;-0.012955;-1.006119
17;-0.008316;-0.013412;-0.991074
18;-0.008301;-0.012482;-1.008133
19;-0.000809;-0.011276;-1.003098
20;-0.012177;-0.014313;-1.010696
21;-0.003647;-0.013275;-1.008636
22;-0.006012;-0.011795;-1.005814
23;-0.007935;-0.013794;-1.007629
24;-0.005646;-0.012268;-1.007233
25;-0.008774;-0.013351;-1.006851
26;-0.005219;-0.013229;-1.007706
27;-0.005981;-0.013428;-1.008728
28;-0.006821;-0.014359;-1.007141
29;-0.005814;-0.013351;-1.007660
30;-0.007584;-0.013626;-1.007370
31;-0.006012;-0.013504;-1.008041
32;-0.007156;-0.013840;-1.007248
33;-0.006699;-0.012955;-1.007812
34;-0.006302;-0.013565;-1.007812
35;-0.006638;-0.013306;-1.007477
36;-0.006180;-0.013824;-1.006943
37;-0.006607;-0.013809;-1.007584
38;-0.006638;-0.012863;-1.007309
39;-0.005676;-0.013092;-1.006485
40;-0.006363;-0.013489;-1.007294
41;-0.006378;-0.013000;-1.006836
42;-0.006287;-0.013885;-1.007126
43;-0.005920;-0.013336;-1.007767
44;-0.006409;-0.013290;-1.007797
45;-0.006775;-0.013672;-1.008072
46;-0.006454;-0.012497;-1.006958
47;-0.006927;-0.012909;-1.007111
48;-0.005951;-0.013306;-1.007401
49;-0.006454;-0.013885;-1.007736
50;-0.005814;-0.013550;-1.007629
51;-0.006393;-0.013092;-1.007111
52;-0.007339;-0.014297;-1.007172
53;-0.006516;-0.013474;-1.007950
54;-0.006409;-0.013077;-1.008179
55;-0.006592;-0.012970;-1.007904
56;-0.006302;-0.013550;-1.007690
57;-0.006027;-0.013626;-1.007629
58;-0.005798;-0.013351;-1.006882
59;-0.006454;-0.013809;-1.008026
60;-0.005264;-0.013107;-1.007858
61;-0.008194;-0.013443;-1.007355
62;-0.006317;-0.013840;-1.007706
63;-0.006454;-0.012329;-1.008224
64;-0.005951;-0.013458;-1.008194
65;-0.006134;-0.012695;-1.007828
66;-0.006516;-0.013000;-1.008316
67;-0.005569;-0.013016;-1.007278
68;-0.007126;-0.012863;-1.007797
69;-0.005020;-0.013931;-1.006775
70;-0.006989;-0.013687;-1.008148
71;-0.006592;-0.013382;-1.008606
72;-0.005478;-0.014206;-1.007721
73;-0.006516;-0.013290;-1.008072
74;-0.006638;-0.013504;-1.007568
75;-0.006012;-0.013779;-1.007416
76;-0.006287;-0.013062;-1.007538
77;-0.005341;-0.013794;-1.007996
78;-0.006851;-0.013321;-1.007797
79;-0.006622;-0.014862;-1.007645
80;-0.005371;-0.013519;-1.007507
81;-0.007172;-0.013718;-1.007996
82;-0.006134;-0.011917;-1.008286
83;-0.005936;-0.012848;-1.007584
84;-0.006744;-0.013214;-1.007187
85;-0.005112;-0.012985;-1.008377
86;-0.006866;-0.013046;-1.007706
87;-0.005371;-0.013672;-1.007599
88;-0.007446;-0.013321;-1.007172
89;-0.007019;-0.013351;-1.007324
90;-0.005341;-0.012268;-1.008698
91;-0.006210;-0.013504;-1.008698
92;-0.006775;-0.012863;-1.007629
93;-0.007584;-0.012634;-1.006577
94;-0.004532;-0.012604;-1.007874
95;-0.008469;-0.012939;-1.006638
96;-0.004959;-0.011826;-1.005981
97;-0.004227;-0.012665;-1.007324
98;-0.010498;-0.014603;-1.008392
99;-0.003586;-0.012970;-1.008316
100;-0.007172;-0.013672;-1.008163
101;-0.007019;-0.013702;-1.008270
102;-0.005402;-0.012787;-1.010132
103;-0.006927;-0.013046;-1.007599
104;-0.008759;-0.014404;-1.006607
105;-0.003891;-0.013580;-1.008133
106;-0.007492;-0.013474;-1.007721
107;-0.006104;-0.013168;-1.008621
108;-0.005524;-0.013306;-1.006790
109;-0.008026;-0.014404;-1.007980
110;-0.004990;-0.012695;-1.008087
111;-0.006760;-0.013077;-1.007889
112;-0.006378;-0.012527;-1.007401
113;-0.006943;-0.013046;-1.005493
114;-0.005508;-0.011200;-1.007248
115;-0.005127;-0.011154;-1.007996
116;-0.008362;-0.013214;-1.008026
117;-0.005356;-0.012802;-1.007126
118;-0.007126;-0.013794;-1.007797
119;-0.006622;-0.013016;-1.008270
120;-0.006226;-0.013214;-1.008301
121;-0.007202;-0.013107;-1.007782
122;-0.005493;-0.012604;-1.007767
123;-0.007965;-0.013229;-1.007843
124;-0.005951;-0.014023;-1.007935
125;-0.006912;-0.013702;-1.007599
126;-0.003662;-0.012253;-1.006775
127;-0.007523;-0.013763;-1.009796
