index;x;y;z
0;-0.003693;-0.010162;-1.008636
1;-0.004562;-0.011322;-1.009445
2;-0.003876;-0.011581;-1.007385
3;-0.003220;-0.011261;-1.009186
4;-0.003723;-0.010834;-1.007462
5;-0.003860;-0.011551;-1.008896
6;-0.003937;-0.010742;-1.008469
7;-0.003769;-0.010590;-1.007370
8;-0.004089;-0.011536;-1.008438
9;-0.004745;-0.010483;-1.007034
10;-0.003784;-0.011795;-1.007156
11;-0.004807;-0.011658;-1.009033
12;-0.003555;-0.011185;-1.007507
13;-0.004257;-0.010254;-1.007553
14;-0.004608;-0.011108;-1.008636
15;-0.003906;-0.011429;-1.009598
16;0.091721;0.093094;-1.042480
17;-0.016922;-0.037827;-0.999481
18;-0.030396;-0.052582;-1.316559
19;-0.109161;-0.049713;-1.253677
20;-0.188019;-0.046051;-1.001297
21;-0.526627;-0.141800;-0.693924
22;0.126968;0.081726;-1.082382
23;-0.646927;0.177536;-0.915970
24;-0.434784;-0.165817;-0.878204
25;-0.556046;0.037827;-1.228851
26;-0.390686;-0.040833;-1.210663
27;-0.316391;-0.220123;-0.889877
28;-0.348465;-0.159103;-1.153625
29;-0.021561;-0.367355;-0.788849
30;0.145325;-0.321198;-0.895340
31;0.107834;-0.010345;-0.307938
32;0.271439;-0.413330;-1.283127
33;0.162582;-0.302658;-0.314240
34;-0.071609;-0.175323;-0.980255
35;0.187607;-0.217072;-0.888641
36;0.088593;-0.157639;-0.996780
37;0.048065;-0.431015;-0.807892
38;0.063049;-0.435822;-0.936890
39;0.511368;-0.292755;-0.826859
40;0.146896;-0.365555;-0.755188
41;0.374878;-0.467255;-0.578140
42;0.448044;-0.494049;-1.049698
43;0.365662;-0.369705;-1.102615
44;0.456055;-0.484650;-0.429413
45;0.453903;-0.640808;-0.729279
46;0.250702;-0.402496;-0.801178
47;0.310547;-0.588318;-0.512558
48;0.206421;-0.569061;-0.796661
49;0.382828;-0.465179;-0.804138
50;0.113297;-0.792206;-0.740875
51;0.236862;-0.593369;-0.774658
52;0.219208;-0.727768;-0.496201
53;-0.024597;-0.798340;-0.676117
54;0.217575;-0.789108;-0.679779
55;0.060898;-0.836731;-0.485977
56;-0.035187;-0.865417;-0.711395
57;0.072998;-0.829376;-0.611969
58;-0.000214;-0.850266;-0.134811
59;-0.003052;-0.915192;-0.507217
60;0.052155;-0.887207;-0.503738
61;0.048508;-0.913284;-0.160675
62;0.059845;-0.911285;-0.324310
63;0.062271;-0.873383;-0.194992
64;-0.033081;-0.886459;-0.246277
65;0.007721;-0.867889;-0.300827
66;0.081650;-0.860809;-0.276306
67;0.034302;-0.879959;-0.297104
68;0.047897;-0.941788;-0.253403
69;-0.014130;-0.955566;-0.247864
70;-0.003281;-0.964828;-0.290848
71;0.060577;-0.926056;-0.411911
72;0.033478;-0.948288;-0.249405
73;0.041199;-0.895218;-0.312424
74;0.132172;-0.870193;-0.523804
75;0.083298;-0.914291;-0.357376
76;0.055664;-0.950455;-0.324554
77;0.035538;-0.929306;-0.414627
78;0.039551;-0.907379;-0.432648
