index;x;y;z
0;-0.007584;-0.010757;-1.006012
1;-0.004211;-0.009842;-1.009140
2;-0.004913;-0.009399;-1.008316
3;-0.006302;-0.009918;-1.009842
4;-0.003738;-0.009857;-1.008133
5;-0.006409;-0.010330;-1.009140
6;-0.005707;-0.010193;-1.009201
7;-0.003296;-0.010040;-1.009247
8;-0.006058;-0.009933;-1.009125
9;-0.005219;-0.010742;-1.009567
10;-0.004501;-0.010620;-1.009476
11;-0.006836;-0.011505;-1.008362
12;-0.004929;-0.010147;-1.013977
13;-0.004242;-0.012726;-1.036987
14;-0.018402;-0.064819;-1.027878
15;0.068039;0.032990;-1.053009
16;-0.077988;0.124115;-1.002045
17;-0.072556;0.042236;-1.533783
18;-0.118942;-0.097443;-0.560562
19;-0.266510;0.071564;-0.982513
20;0.073135;-0.640610;-0.388626
21;-0.129166;0.745407;-0.728607
22;-0.084183;-0.151733;-1.072235
23;-0.286392;0.318024;-1.576859
24;-0.213867;-0.133804;-1.129379
25;-0.198517;-0.168472;-1.197678
26;-0.040771;-0.077713;-0.997299
27;0.099091;-0.171158;-0.886963
28;0.071884;-0.268784;-0.847122
29;0.225967;-0.115692;-0.720871
30;0.548523;-0.309525;-1.074982
31;0.222977;-0.239517;-0.886398
32;0.190460;-0.148224;-0.749695
33;0.648834;-0.414825;-0.768814
34;0.350235;-0.307129;-0.992828
35;0.212296;-0.044022;-0.686966
36;0.415741;-0.733749;-1.449554
37;0.054108;-0.173523;-0.826981
38;0.276276;-0.279114;-0.899139
39;0.179459;-0.526688;-1.009186
40;-0.020264;-0.563507;-1.017975
41;0.124344;-0.396683;-0.729843
42;0.308640;-0.457153;-0.872849
43;0.325165;-0.593475;-0.873901
44;0.162018;-0.550934;-0.912994
45;0.283676;-0.632004;-0.893509
46;0.198868;-0.593506;-0.890854
47;0.166061;-0.565475;-0.628693
48;-0.006302;-0.540298;-0.752960
49;0.102432;-0.743103;-0.831024
50;0.174377;-0.701187;-0.673859
51;-0.097992;-0.585785;-0.362411
52;0.032028;-0.805161;-0.678009
53;0.168823;-0.742767;-0.660065
54;0.206253;-0.723206;-0.466995
55;0.071442;-0.753006;-0.406662
56;0.038010;-0.797836;-0.537338
57;-0.038330;-0.803482;-0.505615
58;0.030334;-0.981689;-0.257950
59;0.092407;-0.858597;-0.423462
60;0.030151;-0.917908;-0.293198
61;-0.020752;-0.978226;-0.265366
62;0.028168;-0.954727;-0.357071
63;0.028488;-0.951752;-0.281113
64;0.012115;-0.934860;-0.251022
65;-0.001053;-0.936111;-0.320831
66;0.025574;-0.906036;-0.328125
67;0.036240;-0.910278;-0.376740
68;0.009979;-0.922668;-0.382309
69;-0.010757;-0.919357;-0.314713
70;0.065887;-0.905487;-0.320328
71;0.042770;-0.932175;-0.347778
72;0.018036;-0.919403;-0.279037
73;0.022812;-0.954529;-0.228424
