index;x;y;z
0;-0.006943;-0.009644;-1.006058
1;-0.004837;-0.010910;-1.010727
2;-0.004913;-0.011444;-1.007751
3;-0.007263;-0.010910;-1.011093
4;-0.004486;-0.010132;-1.009079
5;-0.005630;-0.011261;-1.009949
6;-0.005630;-0.011642;-1.009674
7;-0.004166;-0.010269;-1.009430
8;-0.005844;-0.010635;-1.009384
9;-0.005219;-0.010880;-1.010010
10;-0.004517;-0.011032;-1.008942
11;-0.006683;-0.010651;-1.009354
12;-0.005081;-0.010437;-1.008682
13;-0.005386;-0.009720;-1.009354
14;-0.005219;-0.010925;-1.009293
15;-0.004456;-0.011032;-1.009735
16;-0.006149;-0.010818;-1.010696
17;-0.005432;-0.010193;-1.008728
18;-0.004761;-0.011505;-1.008514
19;-0.007080;-0.011078;-1.012268
20;-0.007889;-0.153275;-1.009140
21;0.141708;0.031631;-1.044479
22;-0.274353;0.071808;-1.239807
23;-0.227402;0.097809;-1.336227
24;-0.197998;-0.070236;-0.776993
25;0.045898;-0.339828;-0.404327
26;-0.488098;0.950562;-2.316391
27;-0.343369;-0.075073;-0.918533
28;-0.169891;0.208344;-0.590622
29;-0.155640;0.192490;-1.387344
30;-0.446335;0.132996;-1.155579
31;-0.335602;-0.074219;-1.174286
32;-0.122040;-0.041946;-1.115387
33;-0.103516;-0.177658;-1.074860
34;-0.019516;-0.322647;-1.095093
35;-0.102753;0.128647;-1.055313
36;0.262863;-0.433594;-0.918503
37;0.318588;-0.382797;-0.874893
38;0.121094;-0.171219;-0.595596
39;0.506012;-0.373108;-0.670776
40;0.619461;-0.308838;-0.703369
41;0.258728;-0.291656;-0.587158
42;0.505676;-0.433945;-0.925125
43;0.469727;-0.308945;-0.733246
44;0.233597;-0.027252;-0.597824
45;0.186386;-0.247940;-1.218750
46;0.128174;-0.244324;-1.071426
47;0.166519;-0.238266;-1.027023
48;0.292114;-0.485779;-1.205780
49;0.087479;-0.127853;-0.738525
50;0.283371;-0.394608;-0.523438
51;0.327682;-0.325241;-0.791901
52;0.533310;-0.736572;-1.214813
53;0.153061;-0.348892;-1.061157
54;0.163651;-0.563309;-0.706360
55;0.263489;-0.606842;-0.998215
56;-0.009018;-0.536606;-0.726334
57;0.393524;-0.765137;-0.529160
58;0.048004;-0.737122;-0.714584
59;0.116302;-0.776718;-0.581146
60;0.099014;-0.838165;-0.309174
61;0.105865;-0.786316;-0.499115
62;0.093948;-0.801590;-0.398239
63;0.085999;-0.813477;-0.398651
64;0.147980;-0.800400;-0.297836
65;-0.042664;-0.836502;-0.176483
66;0.075623;-0.875870;-0.178650
67;0.053879;-0.878036;-0.192871
68;-0.008270;-0.916977;-0.173782
69;-0.016129;-0.948257;-0.310867
70;-0.042648;-0.953583;-0.330460
71;-0.036682;-0.950287;-0.380676
72;-0.000488;-0.940628;-0.430481
73;0.004745;-0.932098;-0.403076
74;0.013565;-0.926666;-0.375153
75;0.005981;-0.916412;-0.419815
76;0.031921;-0.908707;-0.372452
77;0.007553;-0.918365;-0.335617
78;-0.001190;-0.933609;-0.372131
79;-0.014786;-0.939316;-0.345490
80;0.004639;-0.955826;-0.331467
81;0.056381;-0.910583;-0.281891
82;0.130905;-0.866364;-0.178619
83;0.140045;-0.823639;-0.195358
84;-0.022049;-0.838058;-0.523407
85;0.020248;-0.855255;-0.569565
86;0.042130;-0.886597;-0.518417
87;-0.059586;-0.818771;-0.663055
88;-0.076080;-0.848892;-0.833374
89;-0.112000;-0.866531;-0.710373
90;0.064529;-0.841949;-0.669601
91;0.139404;-0.781540;-0.635818
92;0.035629;-0.718811;-0.724319
93;0.037811;-0.723282;-0.730453
94;0.114670;-0.693237;-0.634720
95;0.051788;-0.694962;-0.832275
96;0.114349;-0.714264;-0.613876
