index;x;y;z
0;-0.008301;-0.010941;-1.007324
1;-0.001923;-0.011032;-1.009415
2;-0.007370;-0.011490;-1.009048
3;-0.006424;-0.011093;-1.009598
4;-0.002136;-0.010788;-1.009659
5;-0.007294;-0.011597;-1.009888
6;-0.004059;-0.010880;-1.009659
7;-0.003983;-0.010712;-1.009216
8;-0.006927;-0.011536;-1.010025
9;-0.003906;-0.011078;-1.008575
10;-0.005051;-0.011505;-1.008301
11;-0.006516;-0.011337;-1.010880
12;-0.004272;-0.011124;-1.009323
13;-0.005936;-0.011780;-1.009415
14;-0.004959;-0.012085;-1.009430
15;-0.003586;-0.010559;-1.008667
16;-0.006149;-0.011185;-1.011826
17;-0.004623;-0.011108;-1.009018
18;0.162888;-0.228470;-1.011414
19;-0.046310;0.102173;-0.949707
20;-0.016190;0.059311;-1.522385
21;-0.091370;-0.050995;-0.710678
22;-0.149628;-0.121765;-0.620163
23;-0.138412;0.235931;-1.105286
24;-0.235687;-0.420853;-1.112015
25;-0.483276;0.305618;-0.378555
26;-0.105194;0.015137;-1.524597
27;-0.253448;-0.056808;-1.273911
28;-0.178909;-0.141632;-1.283630
29;-0.339447;-0.108459;-1.074738
30;-0.035812;-0.362122;-1.036926
31;0.122925;-0.207733;-0.824036
32;0.064407;-0.142700;-0.925095
33;0.203766;-0.393356;-0.987534
34;0.427643;-0.180801;-0.716507
35;0.460083;-0.351059;-0.954407
36;0.200394;-0.275101;-0.669800
37;0.348022;-0.099747;-0.775284
38;0.691254;-0.273071;-1.050812
39;0.183243;-0.031998;-0.427322
40;0.055466;-0.298019;-1.117188
41;0.038239;-0.126984;-0.764969
42;0.161606;-0.290070;-0.812134
43;0.222778;-0.416687;-1.131546
44;0.142532;-0.342850;-0.931961
45;0.170731;-0.364975;-0.632996
46;0.341446;-0.449158;-1.354156
47;0.075439;-0.418365;-0.885239
48;-0.077789;-0.293106;-0.772232
49;0.693359;-1.251465;-0.648590
50;0.250183;-0.328613;-0.996628
51;0.218567;-0.632584;-0.649979
52;0.228546;-0.681534;-0.742126
53;0.253815;-0.585602;-0.666748
54;0.124741;-0.900162;-0.339233
55;0.111877;-0.772827;-0.677170
56;0.088242;-0.792465;-0.441986
57;0.107681;-0.939407;-0.305252
58;0.055664;-0.831360;-0.504745
59;0.062698;-0.825745;-0.418091
60;0.081726;-0.832962;-0.191925
61;0.038971;-0.939789;-0.292542
62;0.006851;-0.868668;-0.465256
63;0.067474;-0.848618;-0.257980
64;0.061111;-0.922104;-0.227768
65;0.003235;-0.901184;-0.362686
66;0.029221;-0.934845;-0.220459
67;0.009979;-0.947433;-0.262436
68;0.025131;-0.978668;-0.237686
69;0.015656;-0.929306;-0.388855
70;-0.011520;-0.962158;-0.304611
71;0.011185;-0.972198;-0.270737
72;0.070496;-0.934952;-0.342651
73;0.060303;-0.927170;-0.347656
74;0.054611;-0.930222;-0.281479
75;0.045425;-0.923660;-0.308029
76;0.133667;-0.936218;-0.317154
77;0.056152;-0.910065;-0.308228
