index;x;y;z
0;-0.005981;-0.011414;-1.008804
1;-0.006516;-0.012207;-1.008331
2;-0.006470;-0.012070;-1.007935
3;-0.006775;-0.012054;-1.008804
4;-0.007019;-0.012543;-1.007828
5;-0.005386;-0.012558;-1.007278
6;-0.006882;-0.011215;-1.007370
7;-0.006805;-0.013077;-1.007584
8;-0.005646;-0.012787;-1.008804
9;-0.006851;-0.012573;-1.008255
10;-0.006271;-0.012634;-1.007324
11;-0.006241;-0.012360;-1.007339
12;-0.006744;-0.013092;-1.007248
13;-0.006302;-0.012283;-1.006546
14;-0.006409;-0.012360;-1.008072
15;-0.006577;-0.012177;-1.008026
16;-0.007309;-0.013489;-1.006607
17;-0.006729;-0.012207;-1.007584
18;-0.006409;-0.012100;-1.008789
19;-0.006409;-0.012726;-1.008194
20;-0.006134;-0.012451;-1.007187
21;-0.006256;-0.012589;-1.008362
22;-0.006622;-0.011902;-1.007736
23;-0.006317;-0.012177;-1.007507
24;-0.006332;-0.012512;-1.007416
25;-0.006287;-0.012466;-1.007660
26;-0.007004;-0.012054;-1.008148
27;-0.006439;-0.011993;-1.007538
28;-0.007523;-0.012131;-1.007721
29;-0.007431;-0.013321;-1.008148
30;-0.005753;-0.012817;-1.008865
31;-0.006973;-0.012665;-1.008041
32;-0.006805;-0.012405;-1.007935
33;-0.006912;-0.012711;-1.007767
34;-0.006729;-0.013290;-1.008408
35;-0.006332;-0.012817;-1.007935
36;-0.006622;-0.012543;-1.007263
37;-0.006012;-0.011871;-1.007553
38;-0.004547;-0.011795;-1.010941
39;-0.056107;-0.052673;-1.007751
40;-0.010300;0.012726;-1.016312
41;0.044968;0.045395;-1.013397
42;-0.036652;-0.126755;-1.175354
43;-0.015656;0.029099;-1.271881
44;-0.125870;-0.008881;-1.005859
45;-0.187668;-0.026047;-0.630066
46;-0.078705;-0.077057;-0.655807
47;0.029922;-0.478622;-0.608963
48;-0.169113;0.031677;-0.970047
49;-0.239746;-0.031113;-0.896973
50;-0.196640;0.163879;-1.256866
51;-0.615768;0.091385;-1.407059
52;-0.496902;-0.007431;-1.490265
53;-0.102493;0.071732;-1.029465
