index;x;y;z
0;-0.006607;-0.010345;-1.010880
1;-0.004974;-0.009354;-1.009277
2;-0.006439;-0.010406;-1.008636
3;-0.005646;-0.009796;-1.010498
4;-0.005310;-0.009369;-1.009689
5;-0.006454;-0.009720;-1.009842
6;-0.004990;-0.010284;-1.008423
7;-0.005478;-0.010391;-1.010056
8;-0.006119;-0.010468;-1.009888
9;-0.005753;-0.009842;-1.009842
10;-0.006027;-0.010880;-1.010101
11;-0.005386;-0.010757;-1.008423
12;-0.005630;-0.010773;-1.008209
13;-0.005447;-0.009949;-1.010117
14;-0.006042;-0.010727;-1.008789
15;-0.006119;-0.010422;-1.012421
16;-0.006546;-0.009628;-1.008423
17;-0.005890;-0.011078;-1.008469
18;-0.008087;-0.011490;-1.011124
19;-0.006607;-0.011230;-1.011032
20;0.090805;0.061890;-1.077011
21;-0.011139;0.024368;-1.044739
22;-0.027374;-0.052887;-1.434311
23;-0.269211;-0.183945;-0.662567
24;-0.116074;-0.019623;-0.686905
25;-0.297699;0.025635;-1.846710
26;0.220474;0.273529;-0.827347
27;-0.087570;-0.086868;-0.682068
28;-0.192154;0.090515;-1.297409
29;-0.166290;-0.016052;-1.406570
30;-0.294510;0.109756;-1.288239
31;-0.112823;-0.299744;-0.977509
32;-0.244003;-0.066391;-1.003006
33;0.050110;-0.180161;-0.929550
34;0.419037;-0.244431;-0.941391
35;0.111053;0.126022;-0.927429
36;0.061310;-0.273911;-0.860809
37;0.176224;-0.519058;-1.421417
38;-0.074738;0.013931;-0.705719
39;-0.087479;-0.425949;-0.697281
40;-0.151230;-0.490677;-0.780106
41;-0.164719;-0.337128;-0.472534
42;0.263458;-0.562347;-0.944946
43;0.311050;-0.393402;-0.953690
44;0.088516;-0.201401;-0.934067
45;0.315109;-0.430405;-1.293594
46;0.337372;-0.363297;-0.943283
47;0.310760;-0.479050;-0.710739
48;0.375824;-0.459503;-0.722397
49;0.376404;-0.425186;-0.836044
50;0.522705;-0.514618;-0.939178
51;0.542038;-0.402985;-1.032516
52;0.084991;-0.625015;-0.745941
53;0.066971;-0.726151;-0.836151
54;0.075363;-0.612793;-0.815338
55;0.035751;-0.693909;-0.514832
56;0.048004;-0.808609;-0.473099
57;0.046677;-0.835236;-0.322495
58;-0.020279;-0.840347;-0.565887
59;0.040115;-0.836914;-0.400482
60;0.044815;-0.865250;-0.320236
61;-0.000107;-0.890961;-0.387741
62;0.029480;-0.929214;-0.385483
63;0.178391;-0.952072;-0.159515
64;0.088470;-0.887482;-0.318604
65;-0.004196;-0.868729;-0.384598
66;0.041962;-0.890182;-0.270920
67;0.089783;-0.866928;-0.345642
68;0.028748;-0.911209;-0.392761
69;-0.019394;-0.952530;-0.369232
70;0.026291;-0.943726;-0.331558
71;0.054550;-0.934662;-0.380844
72;0.034180;-0.924759;-0.418991
73;0.013809;-0.919968;-0.373077
74;0.054367;-0.965729;-0.238358
75;0.046219;-0.940277;-0.307129
76;0.019699;-0.907410;-0.359528
77;0.038559;-0.917404;-0.354080
78;0.059570;-0.938538;-0.300125
79;-0.000565;-0.916412;-0.273834
80;0.050934;-0.897614;-0.457779
81;0.076736;-0.924484;-0.339157
