index;x;y;z
0;-0.002945;-0.012680;-1.008331
1;-0.003265;-0.012573;-1.008102
2;-0.002533;-0.012924;-1.008133
3;-0.002243;-0.012787;-1.008591
4;-0.002747;-0.013351;-1.006836
5;-0.003952;-0.012726;-1.008484
6;-0.001083;-0.013275;-1.008911
7;-0.002014;-0.013962;-1.008224
8;-0.002914;-0.013367;-1.008591
9;-0.001572;-0.012711;-1.008560
10;-0.003830;-0.013580;-1.008545
11;-0.002060;-0.013641;-1.008545
12;-0.003281;-0.013885;-1.007309
13;-0.002792;-0.013138;-1.008377
14;-0.002701;-0.013153;-1.009644
15;-0.002625;-0.012619;-1.008438
16;-0.002213;-0.011566;-1.009171
17;-0.003113;-0.012085;-1.008377
18;-0.002655;-0.012833;-1.008591
19;-0.002975;-0.013306;-1.008057
20;-0.002655;-0.012497;-1.007446
21;-0.001999;-0.013367;-1.010147
22;-0.002975;-0.013580;-1.007370
23;-0.002563;-0.013412;-1.008942
24;-0.002960;-0.013214;-1.007324
25;-0.005264;-0.015060;-1.009659
26;0.065781;0.040619;-0.975891
27;-0.038788;-0.123245;-1.203674
28;-0.029053;-0.173416;-1.019043
29;-0.199081;0.004089;-0.835327
30;-0.061996;0.231079;-1.010574
31;-0.494705;0.246292;-1.526001
32;0.053162;0.003540;-0.902222
33;-0.139481;0.066330;-0.801010
34;-0.179581;0.039169;-1.092194
35;-0.510300;0.146423;-1.358826
36;-0.269058;0.237381;-0.986496
37;0.091949;-0.285950;-0.950211
38;-0.170029;-0.097992;-1.085815
39;0.134140;-0.319153;-0.820816
40;0.239868;-0.135147;-1.210159
41;0.064819;0.012741;-0.707108
42;0.302917;-0.295578;-1.120575
43;0.389740;-0.325928;-0.672333
44;0.257828;-0.195709;-0.798370
45;0.486313;-0.404694;-0.853790
46;0.281921;-0.300232;-1.025909
47;0.096130;-0.292725;-1.578674
48;-0.019897;-0.190186;-1.198486
49;0.203354;-0.157578;-0.800400
50;0.171265;-0.259918;-1.130157
51;0.252167;-0.327576;-0.924606
52;0.170578;-0.201630;-0.901276
53;0.213226;-0.571289;-0.731613
54;0.304352;0.007629;-0.856369
55;0.457153;-0.687149;-0.656082
56;0.256989;-0.593933;-0.834427
57;0.356598;-0.513931;-0.802216
58;0.257141;-0.527618;-0.730331
59;0.167511;-0.590485;-0.738312
60;0.272522;-0.602982;-0.791672
61;0.222778;-0.601959;-0.656281
62;0.097092;-0.669754;-0.750534
63;0.154419;-0.730148;-0.621078
64;0.205353;-0.825424;-0.692474
65;0.087112;-0.780121;-0.720505
66;0.151031;-0.823334;-0.435532
67;0.182022;-0.898315;-0.389374
68;0.034851;-0.857971;-0.463760
69;0.080887;-0.852585;-0.477127
70;-0.016296;-0.804230;-0.380112
71;0.088287;-0.892303;-0.268936
72;0.035080;-0.869705;-0.336456
73;-0.040573;-0.872070;-0.185135
74;0.084366;-0.877853;-0.263855
75;0.018967;-0.901321;-0.359024
76;0.044464;-0.909561;-0.238953
77;0.058868;-0.967697;-0.241364
78;0.017975;-0.960480;-0.320633
79;0.088867;-0.971146;-0.322159
80;0.059464;-0.996292;-0.187714
81;0.078873;-1.002991;-0.263611
82;0.079437;-1.005905;-0.312149
83;0.087097;-0.983643;-0.192734
84;0.042465;-0.991211;-0.176514
85;0.061661;-0.967514;-0.240570
86;0.086456;-0.940155;-0.172882
87;0.042435;-0.937119;-0.194183
88;0.046692;-0.925674;-0.200195
89;0.079193;-0.927628;-0.186951
90;0.065994;-0.939468;-0.199524
91;0.054886;-0.964188;-0.191223
92;0.063202;-0.962234;-0.214111
93;0.034851;-0.981934;-0.231339
94;0.098038;-1.001053;-0.177811
95;0.113678;-0.977707;-0.186615
