index;x;y;z
0;-0.005142;-0.011078;-1.005783
1;-0.005859;-0.011627;-1.010254
2;-0.004669;-0.010818;-1.010025
3;-0.005310;-0.010529;-1.007874
4;-0.005646;-0.011627;-1.009644
5;-0.005203;-0.010712;-1.009598
6;-0.005844;-0.010712;-1.009201
7;-0.005646;-0.011581;-1.009369
8;-0.005508;-0.010651;-1.009521
9;-0.004593;-0.009872;-1.008865
10;-0.005463;-0.010178;-1.009109
11;-0.005310;-0.010513;-1.009567
12;-0.005127;-0.010513;-1.010590
13;-0.004929;-0.011047;-1.007980
14;-0.006638;-0.011917;-1.006866
15;-0.003967;-0.009369;-1.011520
16;-0.004745;-0.010330;-1.010178
17;0.077240;-0.043533;-1.035782
18;0.021454;0.079590;-1.417343
19;-0.132034;-0.221497;-1.278992
20;-0.108810;0.064285;-0.578339
21;-0.609970;-0.217453;-0.851944
22;0.081741;0.749207;-0.817245
23;-0.419495;0.070648;-1.223328
24;-0.245163;-0.138992;-1.064621
25;-0.446014;-0.110214;-1.105972
26;-0.604309;-0.120956;-1.249893
27;-0.194214;0.082001;-1.089767
28;-0.221313;-0.412506;-1.128586
29;-0.087891;-0.256561;-1.237686
30;-0.385269;0.163177;-0.688904
31;0.310898;-0.404190;-0.733765
32;0.251236;-0.224609;-0.825867
33;0.353867;-0.009201;-0.904709
34;0.694946;-0.383575;-0.981140
35;0.160660;-0.391525;-0.894394
36;0.066666;-0.054581;-0.503540
37;0.298447;-0.320740;-1.208984
38;0.158264;-0.002945;-1.055817
39;0.035492;-0.057892;-1.243515
40;0.169571;-0.445923;-1.141373
41;0.172089;-0.254059;-0.727905
42;0.354233;-0.339539;-0.906021
43;0.359131;-0.513794;-1.024490
44;0.111435;-0.240265;-0.559616
45;0.548065;-0.385941;-0.653625
46;0.720169;-0.459213;-0.670181
47;0.341568;-0.420166;-0.723801
48;0.184662;-0.525818;-0.812073
49;0.208008;-0.496780;-1.096008
50;0.172974;-0.592392;-0.718018
51;0.196014;-0.657532;-0.497101
52;0.168747;-0.821274;-0.536606
53;0.016953;-0.833542;-0.331314
54;0.226547;-0.875214;-0.459412
55;0.102707;-0.867233;-0.575684
56;0.010925;-0.885620;-0.613693
57;0.254501;-0.913956;-0.396835
58;0.070312;-0.948563;-0.257446
59;-0.030396;-0.925583;-0.309525
60;0.105911;-0.911331;-0.339279
61;0.013474;-0.860229;-0.340561
62;0.003723;-0.914795;-0.303192
63;0.028900;-0.883392;-0.373535
64;0.003586;-0.850906;-0.545914
65;-0.079041;-0.921951;-0.310135
66;0.020218;-0.934326;-0.283066
67;-0.017654;-0.914886;-0.311707
68;-0.038910;-0.932571;-0.303955
69;0.031754;-0.950241;-0.263718
70;0.046661;-0.952499;-0.291595
71;-0.000870;-0.950409;-0.347366
72;-0.016327;-0.951447;-0.326736
73;0.053207;-0.954926;-0.306595
74;0.023117;-0.918716;-0.338699
75;0.066696;-0.908524;-0.348984
76;0.062988;-0.915329;-0.353561
77;0.031128;-0.923248;-0.331192
78;0.035934;-0.926575;-0.282715
