index;x;y;z
0;-0.008255;-0.010956;-1.007233
1;-0.002609;-0.010162;-1.009811
2;-0.007309;-0.010910;-1.009293
3;-0.005768;-0.011261;-1.009598
4;-0.003845;-0.010818;-1.009277
5;-0.006607;-0.010529;-1.008591
6;-0.004623;-0.011551;-1.008881
7;-0.005630;-0.010773;-1.009735
8;-0.005478;-0.010651;-1.009171
9;-0.004089;-0.010132;-1.009247
10;-0.006378;-0.011154;-1.007614
11;-0.006821;-0.012924;-1.006668
12;-0.002777;-0.010254;-1.004700
13;-0.006638;-0.012360;-0.998718
14;-0.009430;-0.011200;-1.016861
15;-0.001755;-0.010223;-1.005890
16;-0.007324;-0.010941;-1.006577
17;-0.006348;-0.012680;-1.005905
18;-0.006500;-0.012161;-1.012161
19;-0.000961;-0.010452;-1.006760
20;-0.006393;-0.012131;-1.021835
21;-0.003387;-0.011078;-0.995316
22;-0.006882;-0.011185;-1.015854
23;-0.004852;-0.011185;-1.007660
24;-0.005905;-0.010162;-1.027710
25;-0.001678;-0.010651;-0.998322
26;-0.007095;-0.010574;-1.009277
27;-0.006729;-0.010468;-1.013504
28;-0.003799;-0.009018;-1.005127
29;-0.003235;-0.010574;-1.023468
30;-0.006454;-0.010315;-1.005188
31;-0.005707;-0.011169;-1.015488
32;-0.004868;-0.009949;-0.984741
33;-0.005539;-0.009750;-1.015930
34;-0.008286;-0.012146;-1.009384
35;0.001099;-0.008667;-1.008789
36;-0.009155;-0.011627;-1.006195
37;-0.004532;-0.013046;-1.005875
38;-0.007523;-0.011475;-1.009277
39;-0.003098;-0.011398;-1.001419
40;-0.005783;-0.011200;-1.011627
41;-0.005341;-0.013275;-1.029846
42;-0.001602;-0.011078;-1.018524
43;-0.010147;-0.013077;-1.006500
44;-0.001587;-0.010147;-1.010406
45;-0.006226;-0.010330;-1.004608
46;-0.005859;-0.011856;-1.021362
47;-0.005234;-0.011719;-0.997818
48;-0.012253;-0.012375;-0.989044
49;-0.000992;-0.012009;-1.025101
50;-0.003464;-0.010483;-1.001556
51;-0.006912;-0.011673;-1.010010
52;-0.010071;-0.010910;-1.010574
53;-0.001068;-0.011795;-1.019928
54;0.002441;-0.010269;-1.021103
55;-0.015366;-0.011917;-1.006470
56;-0.003677;-0.008957;-1.015915
57;0.002701;-0.008163;-1.008331
58;-0.015717;-0.011749;-1.010559
59;0.001114;-0.009979;-1.009201
60;-0.006302;-0.010605;-1.008942
61;-0.010590;-0.011612;-1.010696
62;0.000809;-0.009628;-1.009445
63;-0.008591;-0.011353;-1.010071
64;-0.007660;-0.011322;-1.010620
65;-0.000092;-0.009995;-1.009781
66;-0.009323;-0.011749;-1.009003
67;-0.004684;-0.011856;-1.009735
68;-0.002808;-0.010452;-1.009323
69;-0.009109;-0.010452;-1.009354
70;-0.003510;-0.010742;-1.009735
71;-0.004333;-0.010468;-1.009537
72;-0.008667;-0.011383;-1.009399
73;-0.003342;-0.010864;-1.010361
74;-0.004898;-0.010483;-1.011093
75;-0.006882;-0.011322;-1.007736
76;-0.003998;-0.010254;-1.009293
77;-0.006042;-0.010590;-1.010345
78;-0.005890;-0.010925;-1.009262
79;-0.004791;-0.010895;-1.010376
80;-0.006073;-0.009933;-1.008942
81;-0.004105;-0.010590;-1.009460
82;-0.006226;-0.011673;-1.010834
83;-0.005341;-0.011444;-1.009857
84;-0.004807;-0.009995;-1.009247
85;-0.004745;-0.010284;-0.997971
86;-0.004395;-0.011032;-1.011719
