index;x;y;z
0;-0.006775;-0.011032;-1.011139
1;-0.004761;-0.010956;-1.008041
2;-0.006622;-0.011322;-1.009659
3;-0.003159;-0.011108;-1.010757
4;-0.004959;-0.010574;-1.006531
5;-0.007751;-0.011902;-1.010742
6;-0.001602;-0.009354;-1.007950
7;-0.010086;-0.011093;-1.026672
8;-0.000763;-0.008240;-1.023300
9;-0.001465;-0.010330;-1.009323
10;-0.013382;-0.011154;-1.008133
11;0.000381;-0.011887;-1.006149
12;-0.006821;-0.010559;-1.042892
13;-0.009811;-0.011368;-1.000717
14;0.003189;-0.008408;-1.005035
15;-0.010025;-0.012512;-1.005356
16;-0.009323;-0.010437;-1.034927
17;-0.002090;-0.007706;-0.996750
18;-0.001770;-0.009033;-1.008316
19;-0.009476;-0.012527;-1.013443
20;-0.007492;-0.011078;-1.000153
21;-0.003464;-0.009491;-1.018997
22;-0.004623;-0.010269;-1.009262
23;-0.009003;-0.010727;-1.008438
24;-0.002853;-0.010880;-1.005264
25;-0.005981;-0.011902;-1.026230
26;-0.005875;-0.011139;-0.995987
27;-0.002090;-0.010696;-0.839569
28;-0.012405;-0.011765;-1.001572
29;-0.000885;-0.008942;-1.014465
30;-0.003036;-0.010696;-1.005783
31;-0.015533;-0.013016;-1.013855
32;0.009933;-0.007599;-1.008972
33;-0.012802;-0.010971;-1.007309
34;-0.010956;-0.009674;-1.022873
35;0.006836;-0.008423;-0.996048
36;-0.008148;-0.013412;-1.022034
37;-0.014984;-0.012024;-1.010361
38;-0.001450;-0.012787;-0.974472
39;-0.004501;-0.014359;-1.011932
40;-0.005280;-0.012177;-1.006012
41;-0.008423;-0.010864;-0.994598
42;0.000778;-0.014084;-1.007568
43;-0.011780;-0.015320;-1.007797
44;-0.009399;-0.011871;-1.014236
45;0.006912;-0.008942;-1.009949
46;-0.011063;-0.010483;-1.008453
47;-0.008133;-0.011032;-1.008698
48;0.002701;-0.009613;-1.010193
49;-0.011612;-0.010818;-1.009018
50;-0.004623;-0.011032;-1.008667
51;-0.000366;-0.009354;-1.008179
52;-0.010300;-0.011505;-1.009293
53;-0.004776;-0.010620;-1.009827
54;-0.003281;-0.009933;-1.009796
55;-0.008362;-0.011551;-1.008209
56;-0.002670;-0.011169;-0.989029
57;-0.004578;-0.009598;-1.014603
58;-0.009552;-0.010040;-1.009537
59;-0.001251;-0.009720;-1.008789
60;-0.009003;-0.011276;-1.008163
61;-0.004272;-0.011841;-1.010178
62;-0.001755;-0.010361;-1.008453
63;-0.010696;-0.011414;-1.009903
64;-0.002426;-0.010895;-1.008881
65;-0.003708;-0.010880;-1.010696
66;-0.011063;-0.012146;-1.009537
67;0.000305;-0.010376;-1.010284
68;-0.007080;-0.011414;-1.009933
69;-0.008698;-0.011688;-1.009583
70;0.000946;-0.010620;-1.008682
71;-0.008575;-0.011139;-1.009476
72;-0.006226;-0.011200;-1.008713
73;-0.001740;-0.010559;-1.008484
74;-0.009018;-0.011642;-1.010559
75;-0.003784;-0.010651;-1.008514
76;-0.003647;-0.010971;-1.009979
77;-0.007645;-0.011673;-1.002182
78;-0.003220;-0.011353;-1.013702
