index;x;y;z
0;-0.004700;-0.010910;-1.008041
1;-0.006088;-0.010452;-1.009781
2;-0.004730;-0.010925;-1.009064
3;-0.003479;-0.009781;-1.007065
4;-0.006577;-0.009247;-1.009232
5;-0.006058;-0.010696;-1.008850
6;-0.002594;-0.010025;-1.009338
7;-0.006149;-0.010651;-1.050720
8;-0.003876;-0.009888;-1.004898
9;-0.004288;-0.010376;-1.000961
10;-0.011246;-0.012054;-1.011810
11;0.000824;-0.009171;-1.011856
12;-0.005600;-0.010666;-1.018265
13;-0.005524;-0.010559;-1.006012
14;-0.006866;-0.011353;-1.010788
15;-0.001572;-0.010162;-1.009003
16;-0.005753;-0.010544;-1.008774
17;-0.008194;-0.011063;-1.012405
18;-0.003708;-0.010620;-1.010986
19;-0.009125;-0.011154;-1.007385
20;-0.000580;-0.010498;-1.007385
21;-0.011017;-0.012650;-0.976044
22;-0.007309;-0.011780;-1.017227
23;-0.000870;-0.009415;-1.012482
24;-0.006607;-0.009995;-1.006577
25;-0.000366;-0.011703;-1.019852
26;-0.006882;-0.008133;-1.025787
27;-0.006668;-0.010498;-1.001984
28;-0.003448;-0.011246;-1.011124
29;-0.004791;-0.010513;-1.009384
30;-0.004730;-0.010529;-1.004028
31;-0.005417;-0.011139;-1.009018
32;-0.004044;-0.011124;-1.006531
33;-0.007278;-0.010269;-1.008102
34;-0.002747;-0.008102;-1.031494
35;-0.009262;-0.010071;-0.997894
36;-0.008743;-0.010529;-1.003128
37;0.000641;-0.009796;-1.009247
38;-0.010117;-0.009369;-1.011429
39;-0.000778;-0.010284;-1.002304
40;-0.011459;-0.013184;-0.986649
41;-0.005325;-0.011337;-1.020737
42;-0.000534;-0.011780;-1.004868
43;-0.004883;-0.012589;-1.000000
44;-0.008789;-0.012604;-1.013916
45;-0.010132;-0.009933;-1.013367
46;-0.002090;-0.012054;-1.010651
47;-0.004745;-0.008789;-1.012558
48;-0.004684;-0.007645;-1.007675
49;-0.014709;-0.009491;-1.011017
50;0.003998;-0.003738;-1.025482
51;0.006454;-0.006592;-0.957214
52;-0.016846;-0.006683;-1.017120
53;-0.008514;-0.004578;-1.013733
54;0.006516;-0.003830;-0.997742
55;-0.009964;-0.006287;-1.028152
56;-0.007034;-0.006699;-0.998734
57;-0.000839;-0.007797;-1.005936
58;-0.007812;-0.009552;-1.009216
59;-0.005829;-0.009995;-1.011551
60;-0.002747;-0.010544;-1.010117
61;-0.010391;-0.010986;-1.008011
62;-0.003632;-0.010651;-1.008316
63;-0.003845;-0.010849;-1.009781
64;-0.007935;-0.011307;-1.009308
65;-0.003860;-0.010651;-1.009644
66;-0.005112;-0.010757;-1.010605
67;-0.006790;-0.011154;-1.009247
68;-0.004425;-0.010025;-1.008987
69;-0.006226;-0.011581;-1.010132
70;-0.005646;-0.011765;-1.009109
71;-0.004807;-0.010635;-1.010101
72;-0.006668;-0.010376;-1.009811
73;-0.005600;-0.010803;-1.010162
74;-0.003845;-0.010803;-1.009460
75;-0.006042;-0.010513;-1.010178
76;-0.005890;-0.010544;-1.009369
77;-0.003937;-0.010818;-0.981308
78;-0.004425;-0.011856;-1.015137
