index;x;y;z
0;-0.007797;-0.010529;-1.002228
1;-0.003433;-0.009857;-1.011154
2;-0.006165;-0.011246;-1.007782
3;-0.004974;-0.010788;-1.008240
4;-0.001358;-0.011002;-0.979706
5;-0.009949;-0.013657;-1.021515
6;-0.004501;-0.010834;-1.006378
7;-0.000153;-0.008469;-1.008896
8;-0.012360;-0.011459;-1.008804
9;0.001129;-0.010529;-1.005539
10;-0.009628;-0.008820;-1.011887
11;-0.005936;-0.010971;-1.006348
12;-0.002609;-0.012085;-1.013351
13;-0.007233;-0.010925;-1.022980
14;-0.005157;-0.010529;-1.006058
15;-0.006546;-0.010696;-1.014282
16;-0.002151;-0.010834;-1.006775
17;-0.008011;-0.011200;-1.038879
18;-0.004974;-0.010742;-0.997299
19;-0.003784;-0.009705;-1.005600
20;-0.007080;-0.011856;-1.011429
21;-0.005325;-0.012497;-1.027969
22;-0.006470;-0.012558;-0.977615
23;-0.008057;-0.013153;-1.018021
24;-0.001205;-0.011795;-1.011795
25;-0.007462;-0.010834;-0.890900
26;-0.006302;-0.010590;-1.004333
27;-0.005356;-0.011993;-1.028961
28;0.000458;-0.010635;-0.998627
29;-0.012329;-0.012115;-1.010941
30;0.002106;-0.010590;-1.019211
31;-0.010910;-0.010513;-1.009277
32;-0.007935;-0.010803;-1.008011
33;0.002350;-0.008255;-1.002563
34;-0.006104;-0.012711;-1.059143
35;-0.011932;-0.014282;-1.003632
36;0.000427;-0.011841;-1.001953
37;-0.003540;-0.013931;-1.018738
38;-0.015182;-0.011475;-1.012924
39;0.002075;-0.008514;-1.005676
40;-0.007385;-0.010956;-1.007294
41;-0.006149;-0.010315;-1.003967
42;-0.000748;-0.011551;-1.010193
43;-0.013641;-0.011536;-1.014862
44;-0.000504;-0.011368;-1.006668
45;-0.004028;-0.012192;-1.006104
46;-0.008087;-0.013748;-1.013443
47;-0.001190;-0.010284;-1.009109
48;-0.007065;-0.010666;-1.010620
49;-0.005356;-0.010574;-1.009796
50;-0.005173;-0.010910;-1.009552
51;-0.006348;-0.011322;-1.009827
52;-0.003342;-0.010101;-1.009293
53;-0.006073;-0.012772;-1.008469
54;-0.010040;-0.011475;-1.000992
