index;x;y;z
0;-0.001190;-0.011444;-1.003983
1;-0.003159;-0.012604;-1.010773
2;-0.002930;-0.012222;-1.012436
3;-0.001770;-0.011459;-1.009216
4;-0.003387;-0.013458;-1.011230
5;-0.001862;-0.012451;-1.009781
6;-0.002975;-0.012665;-1.009674
7;-0.006805;-0.012924;-0.977524
8;0.000671;-0.011337;-1.029022
9;-0.003769;-0.013092;-1.009995
10;-0.002563;-0.011536;-1.005066
11;-0.000473;-0.011795;-1.006973
12;-0.011032;-0.014496;-0.974472
13;0.003983;-0.010559;-1.031281
14;-0.007202;-0.013336;-1.017212
15;-0.000214;-0.011520;-1.000534
16;-0.002914;-0.011948;-0.997833
17;-0.005432;-0.014221;-1.002274
18;0.002701;-0.009308;-1.000397
19;-0.008865;-0.015244;-1.016388
20;0.002975;-0.008987;-1.040131
21;-0.006851;-0.014084;-1.031448
22;0.002502;-0.010284;-0.995926
23;-0.005417;-0.014816;-1.009048
24;-0.003250;-0.013107;-1.013504
25;-0.005020;-0.012070;-0.972885
26;-0.003967;-0.013153;-1.035233
27;0.001770;-0.008438;-1.016068
28;-0.007584;-0.014145;-1.001587
29;0.006531;-0.013641;-0.931610
30;-0.004425;-0.015305;-1.022232
31;-0.000336;-0.012222;-1.020264
32;-0.004013;-0.013580;-0.997543
33;-0.004059;-0.012955;-1.009232
34;-0.003967;-0.012573;-1.005249
35;-0.001556;-0.011383;-1.026291
36;-0.004623;-0.011108;-1.016876
37;-0.001434;-0.011505;-1.000656
38;-0.004776;-0.013016;-1.007828
39;-0.000381;-0.012192;-1.024292
40;-0.005219;-0.014053;-0.989319
41;-0.002762;-0.013031;-1.013260
42;0.000000;-0.011459;-1.009689
43;-0.003998;-0.015396;-1.025314
44;0.003204;-0.011963;-0.996796
45;-0.008514;-0.015579;-1.001633
46;0.003479;-0.010208;-1.018982
47;-0.007294;-0.015198;-0.999008
48;0.002853;-0.014771;-0.918213
49;-0.003098;-0.010666;-1.010025
50;-0.005142;-0.013245;-1.018387
51;0.003708;-0.010010;-1.001648
52;-0.006332;-0.016617;-1.047379
53;0.008194;-0.008408;-1.029526
54;-0.012131;-0.015244;-0.994003
55;0.002670;-0.009872;-1.006302
56;-0.003708;-0.013901;-1.015991
57;-0.003815;-0.017014;-0.936935
58;0.000885;-0.012970;-1.017853
59;-0.009415;-0.016083;-1.015457
60;0.006760;-0.009323;-0.998535
61;-0.014191;-0.015640;-0.982864
62;0.007278;-0.006531;-1.030441
63;-0.009216;-0.012115;-1.013702
64;-0.000290;-0.010544;-0.997650
65;-0.003174;-0.011688;-1.011261
66;-0.000046;-0.014526;-1.060745
67;-0.005081;-0.016891;-1.012238
68;-0.005356;-0.015274;-0.992706
69;0.000198;-0.012039;-1.019150
70;-0.006744;-0.014572;-1.006531
71;0.003952;-0.011307;-0.993210
72;-0.006989;-0.013321;-0.996033
73;0.002686;-0.010162;-1.025101
74;-0.005005;-0.012833;-1.002640
75;-0.008041;-0.008347;-1.059021
76;0.002899;-0.009964;-1.009827
77;-0.010559;-0.015762;-1.012405
78;0.005417;-0.008652;-1.006470
79;-0.010025;-0.016968;-1.011658
80;0.005753;-0.010437;-1.049988
81;-0.006897;-0.014679;-1.001740
82;-0.007401;-0.014481;-1.000031
83;0.006210;-0.008896;-1.012024
84;-0.012512;-0.017212;-1.012970
85;0.005035;-0.010574;-0.965866
86;-0.006973;-0.015976;-1.026215
87;-0.004044;-0.013763;-1.015900
88;0.002289;-0.010849;-0.999146
89;-0.007584;-0.021194;-0.954468
90;0.003891;-0.010239;-0.998703
91;-0.007690;-0.015427;-1.017593
92;-0.001114;-0.012054;-1.007111
93;-0.001022;-0.012222;-1.008972
94;-0.004959;-0.013107;-1.010315
95;-0.000946;-0.012878;-0.964020
96;-0.004547;-0.013412;-1.019913
97;-0.002670;-0.012558;-1.018509
98;-0.001587;-0.012131;-1.001404
99;-0.004745;-0.013580;-1.009995
100;0.000076;-0.014282;-0.977478
101;-0.005997;-0.016129;-1.023605
102;-0.001328;-0.013458;-1.010559
103;-0.000900;-0.012054;-1.003845
104;-0.005707;-0.013641;-1.012299
105;0.003860;-0.011353;-1.059067
106;-0.006012;-0.015015;-0.997772
107;-0.002426;-0.012161;-0.994308
108;-0.001251;-0.012161;-1.020142
109;-0.004181;-0.013382;-1.012192
110;-0.000397;-0.010178;-1.040604
111;-0.002930;-0.012802;-1.002075
112;-0.001617;-0.010925;-1.020630
113;-0.002075;-0.011017;-1.002777
114;0.000488;-0.016403;-0.979492
115;-0.011063;-0.012024;-1.005249
116;0.001495;-0.010788;-1.026474
117;-0.003647;-0.012299;-1.011322
118;-0.002518;-0.012131;-1.002686
119;-0.000626;-0.010300;-1.010376
120;-0.006088;-0.010956;-1.007523
121;0.000977;-0.008926;-1.005096
122;-0.005981;-0.012344;-1.011383
123;-0.000549;-0.011246;-1.009232
124;-0.003281;-0.012131;-1.008591
125;-0.003510;-0.011963;-1.010178
126;-0.000549;-0.011597;-1.009491
127;-0.004700;-0.013306;-1.009720
128;-0.000580;-0.012573;-1.009552
129;-0.002884;-0.012756;-1.009979
130;-0.001801;-0.011932;-1.010559
131;-0.002090;-0.011703;-1.009598
132;-0.002884;-0.011978;-1.009628
133;-0.002258;-0.011230;-1.011139
134;-0.003418;-0.013306;-1.011017
135;-0.003006;-0.011169;-1.002029
136;-0.002136;-0.013733;-1.014252
