index;x;y;z
0;-0.007141;-0.010056;-1.011810
1;-0.005768;-0.010071;-1.008209
2;-0.005524;-0.010605;-1.008408
3;-0.005798;-0.011505;-1.010544
4;-0.004883;-0.010727;-1.007797
5;-0.003983;-0.010269;-1.011261
6;-0.006042;-0.011948;-1.012482
7;-0.005157;-0.011765;-1.006348
8;-0.007233;-0.010727;-1.013092
9;-0.003479;-0.011047;-1.005188
10;-0.007568;-0.013443;-0.998520
11;-0.006271;-0.011047;-1.031189
12;-0.000854;-0.009903;-1.000824
13;-0.009598;-0.010300;-1.010315
14;-0.004593;-0.011078;-1.014145
15;-0.004868;-0.011353;-0.984406
16;-0.004868;-0.009445;-1.011124
17;-0.008636;-0.007889;-1.006500
18;-0.004089;-0.009735;-1.010284
19;-0.006546;-0.008896;-1.012253
20;-0.004013;-0.008804;-1.007996
21;-0.007767;-0.009521;-1.006271
22;-0.007141;-0.009460;-1.012100
23;-0.002930;-0.010239;-1.006561
24;-0.001144;-0.010452;-0.996780
25;-0.013519;-0.010803;-1.022842
26;-0.000305;-0.009079;-1.008057
27;-0.005203;-0.010483;-1.004684
28;-0.005280;-0.012741;-0.997101
29;-0.006378;-0.010468;-1.018661
30;-0.006088;-0.011383;-1.010117
31;-0.002060;-0.011841;-1.006958
32;-0.007202;-0.012573;-1.009140
33;-0.007462;-0.010513;-1.008911
34;-0.002151;-0.010529;-1.012726
35;-0.009094;-0.012207;-1.004913
36;0.001022;-0.012589;-1.006821
37;-0.008698;-0.012360;-1.013229
38;-0.008087;-0.012726;-1.001266
39;-0.003738;-0.014694;-1.019379
40;-0.003830;-0.011475;-1.037918
41;-0.007263;-0.010193;-1.003189
42;-0.006516;-0.009659;-1.006775
43;-0.001373;-0.008438;-1.004318
44;-0.011322;-0.011642;-1.007767
45;0.000809;-0.011520;-1.027557
46;-0.011581;-0.011063;-1.011215
47;-0.006378;-0.010300;-1.005814
48;-0.003342;-0.011124;-1.014587
49;-0.006729;-0.010513;-0.900284
50;-0.010162;-0.011475;-0.994492
51;-0.003830;-0.008942;-1.013702
52;-0.002441;-0.009613;-1.008667
53;-0.011353;-0.011627;-1.011093
54;0.000046;-0.008987;-1.008057
55;-0.005737;-0.010941;-1.009308
56;-0.008133;-0.011047;-1.009964
57;0.000473;-0.008865;-1.009705
58;-0.008636;-0.010513;-1.009384
59;-0.006943;-0.010818;-1.010773
60;-0.001205;-0.010284;-1.009308
61;-0.009064;-0.011108;-1.009995
62;-0.005020;-0.010468;-1.010284
63;-0.003357;-0.010544;-1.009460
64;-0.008240;-0.011154;-1.009827
65;-0.003891;-0.011078;-1.009689
66;-0.005127;-0.011154;-1.010254
67;-0.007904;-0.011551;-1.009781
68;-0.002792;-0.011230;-1.009277
69;-0.005524;-0.011490;-1.009521
70;-0.006332;-0.011353;-1.009796
71;-0.004288;-0.010544;-1.009537
72;-0.007034;-0.010376;-1.010147
73;-0.003723;-0.012543;-1.031464
74;-0.006866;-0.009796;-1.006332
