index;x;y;z
0;-0.006088;-0.012787;-1.010071
1;-0.004074;-0.011841;-1.007828
2;-0.007751;-0.012878;-1.009201
3;-0.003220;-0.011612;-1.008331
4;-0.007004;-0.011810;-1.008514
5;-0.005264;-0.011581;-1.009262
6;-0.005310;-0.012177;-1.007996
7;-0.005875;-0.011734;-1.008606
8;-0.004364;-0.011200;-1.007950
9;-0.006470;-0.011719;-1.008942
10;-0.005142;-0.011261;-1.008087
11;-0.004959;-0.011520;-1.008850
12;-0.005997;-0.011490;-1.009308
13;-0.005676;-0.011353;-1.010391
14;-0.005295;-0.011276;-1.008865
15;-0.006561;-0.012695;-1.010391
16;-0.004700;-0.011353;-1.008255
17;-0.005859;-0.011780;-1.007950
18;-0.005173;-0.011459;-1.007339
19;-0.004349;-0.011337;-1.008621
20;-0.005920;-0.012558;-1.007629
21;-0.004440;-0.011826;-1.008850
22;-0.004807;-0.012024;-1.008453
23;-0.005890;-0.011627;-1.008530
24;-0.005753;-0.011337;-1.008987
25;-0.004959;-0.012253;-1.009201
26;-0.005341;-0.012131;-1.008453
27;-0.005219;-0.012299;-1.007645
28;-0.005310;-0.011627;-1.008652
29;-0.005844;-0.012177;-1.008026
30;-0.004776;-0.011627;-1.009247
31;-0.005798;-0.012085;-1.009140
32;-0.004776;-0.011932;-1.008850
33;-0.005707;-0.012558;-1.007507
34;-0.005371;-0.012146;-1.008865
35;-0.004868;-0.012131;-1.008926
36;-0.005692;-0.011948;-1.009140
37;-0.005386;-0.011475;-1.009247
38;-0.006317;-0.011810;-1.008286
39;-0.004730;-0.011902;-1.008560
40;-0.005554;-0.011520;-1.009613
41;-0.005600;-0.012329;-1.008301
42;-0.005890;-0.012360;-1.008896
43;-0.004639;-0.011200;-1.009109
44;-0.004379;-0.011551;-1.001633
45;-0.006912;-0.011078;-1.017044
46;-0.004456;-0.012054;-1.010666
47;-0.005661;-0.011963;-1.005814
48;-0.005478;-0.011871;-1.007843
49;-0.005051;-0.011703;-0.997177
50;-0.006226;-0.011917;-1.020126
51;-0.003403;-0.011642;-1.010239
52;-0.007690;-0.011429;-1.005600
53;-0.004288;-0.011978;-1.007050
54;-0.005920;-0.011444;-0.988144
55;-0.007339;-0.012146;-1.022202
56;-0.003189;-0.011169;-1.011856
57;-0.007202;-0.012222;-1.005325
58;-0.004761;-0.011566;-1.006760
59;-0.004837;-0.011566;-1.009537
60;-0.005981;-0.010941;-1.009933
61;-0.004929;-0.011810;-1.008759
62;-0.005814;-0.012085;-1.008911
63;-0.004974;-0.011871;-1.008957
64;-0.005707;-0.011719;-1.007904
65;-0.005280;-0.012054;-1.007950
66;-0.005707;-0.011856;-1.009338
67;-0.005508;-0.011139;-1.008408
68;-0.005722;-0.011520;-1.009644
69;-0.005203;-0.011307;-1.009720
70;-0.004425;-0.011902;-0.991882
71;-0.006546;-0.011658;-1.017120
72;-0.004517;-0.011612;-1.012421
73;-0.005844;-0.011398;-1.006577
74;-0.005249;-0.011566;-1.008163
75;-0.004761;-0.011642;-1.008743
76;-0.005814;-0.011017;-1.004959
77;-0.003998;-0.012192;-1.010239
78;-0.006500;-0.012375;-1.011429
79;-0.004776;-0.011871;-1.008820
80;-0.003662;-0.011734;-0.981995
81;-0.007111;-0.012253;-1.015503
82;-0.004425;-0.011047;-1.012817
83;-0.004364;-0.011414;-1.008392
84;-0.006302;-0.011719;-1.006683
85;-0.004807;-0.011978;-1.008209
86;-0.005463;-0.011917;-1.009705
87;-0.005157;-0.011810;-1.009048
88;-0.005630;-0.012238;-1.008621
89;-0.005600;-0.010788;-1.008957
90;-0.005630;-0.011856;-1.008514
91;-0.005005;-0.011047;-1.008423
