index;x;y;z
0;0.044434;-0.679611;-0.750671
1;0.054413;-0.665878;-0.735016
2;0.055344;-0.641724;-0.789825
3;0.035141;-0.645172;-0.757431
4;0.005508;-0.676224;-0.732986
5;-0.007782;-0.679443;-0.741074
6;-0.018677;-0.656052;-0.791733
7;-0.051758;-0.658386;-0.744690
8;-0.056824;-0.666611;-0.650299
9;-0.027466;-0.672943;-0.640411
10;-0.016891;-0.696686;-0.737885
11;-0.073715;-0.732269;-0.795868
12;-0.086975;-0.760071;-0.719742
13;-0.028778;-0.747925;-0.652451
14;-0.017014;-0.720581;-0.644638
15;0.005127;-0.683441;-0.672638
16;-0.010223;-0.696274;-0.716675
17;-0.005386;-0.704636;-0.738800
18;0.001663;-0.727249;-0.797729
19;0.064240;-0.824173;-0.790268
20;0.035370;-0.820679;-0.745468
21;0.100555;-0.776077;-0.803558
22;0.125046;-0.680237;-0.861099
23;0.090637;-0.633621;-0.884888
24;0.094574;-0.640869;-0.740784
25;0.071167;-0.621078;-0.647247
26;0.062042;-0.568954;-0.665588
27;0.076385;-0.563980;-0.703186
28;0.037811;-0.610931;-0.703796
29;0.056610;-0.613602;-0.712387
30;0.048172;-0.606018;-0.735672
31;0.016174;-0.596512;-0.753845
32;-0.004700;-0.627380;-0.740128
33;-0.015518;-0.659134;-0.737701
34;0.015900;-0.631607;-0.820831
35;-0.009766;-0.642044;-0.903198
36;0.022766;-0.772552;-0.733185
37;-0.036209;-0.625870;-0.648804
38;-0.012466;-0.498108;-0.945938
39;-0.032288;-0.522644;-1.052643
40;-0.018570;-0.606369;-0.736893
41;-0.033279;-0.599213;-0.647751
42;0.019867;-0.530640;-0.843246
43;0.010422;-0.554062;-0.810883
44;0.046219;-0.589600;-0.681076
45;0.042557;-0.618011;-0.663544
46;-0.008682;-0.644012;-0.721741
47;-0.037796;-0.640594;-0.734833
48;-0.010422;-0.630661;-0.785263
49;0.004837;-0.663086;-0.761841
50;0.008621;-0.721573;-0.764755
51;-0.009415;-0.703781;-0.812912
52;0.037415;-0.688583;-0.881393
53;0.118484;-0.758499;-0.826385
54;0.015625;-0.725037;-0.920685
55;-0.004761;-0.609406;-1.082764
56;0.010147;-0.509583;-1.036713
57;0.092941;-0.546814;-0.793304
58;0.096756;-0.609421;-0.642532
59;0.030167;-0.551331;-0.751434
60;0.044495;-0.434402;-0.958130
61;-0.001678;-0.406525;-0.950699
62;-0.061096;-0.458572;-0.835495
63;-0.007202;-0.499878;-0.757919
64;0.043503;-0.523178;-0.705902
65;0.035736;-0.549408;-0.690338
66;-0.005875;-0.576370;-0.766663
67;-0.026993;-0.583130;-0.789841
68;-0.042068;-0.566437;-0.788925
69;-0.036057;-0.558487;-0.844330
70;0.075989;-0.655746;-0.858383
71;0.044540;-0.685898;-0.738358
72;-0.116287;-0.615723;-0.930008
73;-0.115250;-0.512497;-1.180466
74;-0.089996;-0.493835;-1.011963
75;-0.152588;-0.569778;-0.654327
76;-0.091965;-0.571732;-0.639618
77;0.034073;-0.442978;-0.920578
78;-0.001633;-0.435059;-0.978760
79;-0.028595;-0.519073;-0.809235
80;0.014633;-0.579605;-0.746017
81;-0.055664;-0.607040;-0.749893
82;-0.101883;-0.588852;-0.797394
83;-0.058212;-0.561707;-0.816544
84;-0.009521;-0.592178;-0.745697
85;0.020889;-0.654007;-0.735291
86;0.040726;-0.653015;-0.806213
87;0.082840;-0.668930;-0.858871
88;0.069443;-0.681808;-0.859390
89;-0.031830;-0.647125;-1.030411
90;0.030899;-0.516647;-1.156860
91;0.006348;-0.438583;-1.097290
92;0.044525;-0.498520;-0.862610
93;0.034882;-0.559967;-0.604706
94;0.021484;-0.552841;-0.623001
95;0.058380;-0.469543;-0.762726
96;0.029495;-0.412445;-0.914948
97;-0.004730;-0.420746;-0.903183
98;0.019180;-0.436325;-0.864136
99;0.039124;-0.470703;-0.899124
100;-0.035553;-0.513809;-0.900589
101;-0.012711;-0.522263;-0.868179
102;-0.000336;-0.531570;-0.864334
103;0.012100;-0.507172;-0.905594
104;-0.011169;-0.481125;-0.955902
105;-0.019211;-0.552277;-0.904556
106;-0.017792;-0.584641;-0.847733
107;-0.009064;-0.522858;-0.856476
108;-0.029694;-0.493607;-0.913803
109;-0.125870;-0.533844;-0.951675
110;-0.077820;-0.554626;-0.901871
111;-0.019714;-0.486938;-0.827560
112;-0.013245;-0.468613;-0.826569
113;0.026611;-0.454941;-0.788269
114;0.024994;-0.476379;-0.759308
115;-0.016769;-0.509552;-0.779099
116;0.026855;-0.524094;-0.825363
117;0.114410;-0.560059;-0.758774
118;0.070602;-0.516769;-0.894211
