index;x;y;z
0;0.060974;-0.337799;-0.950928
1;-0.000122;-0.364929;-0.973679
2;-0.004272;-0.366928;-0.953506
3;0.020523;-0.400314;-0.903122
4;0.002380;-0.433655;-0.860062
5;-0.049789;-0.446014;-0.881592
6;-0.013809;-0.415543;-0.946381
7;0.021500;-0.440994;-0.925873
8;-0.011826;-0.479355;-0.863083
9;-0.017105;-0.500763;-0.870789
10;-0.001770;-0.496124;-0.882706
11;-0.006729;-0.508591;-0.874390
12;-0.008331;-0.498978;-0.819717
13;-0.014252;-0.505142;-0.835312
14;-0.013657;-0.508850;-0.869553
15;-0.002518;-0.519638;-0.889603
16;-0.017990;-0.538696;-0.871658
17;-0.007812;-0.536987;-0.876526
18;0.015228;-0.516846;-0.925522
19;0.035934;-0.489777;-0.943573
20;0.094620;-0.571320;-0.897476
21;0.015762;-0.583542;-0.881287
22;-0.071869;-0.489014;-1.000870
23;0.024094;-0.471085;-0.973587
24;0.074219;-0.480713;-0.875244
25;0.024658;-0.477692;-0.907120
26;0.028641;-0.490829;-0.833084
27;0.059982;-0.510406;-0.734406
28;0.118149;-0.503189;-0.734177
29;0.141068;-0.454559;-0.795197
30;0.074387;-0.439026;-0.893829
31;0.054306;-0.479385;-0.904968
32;0.053452;-0.509171;-0.838821
33;0.072067;-0.527802;-0.806366
34;0.029526;-0.553406;-0.799896
35;-0.001938;-0.557968;-0.814087
36;0.010880;-0.526016;-0.850754
37;0.001633;-0.514496;-0.896042
38;-0.045746;-0.486282;-0.920822
39;-0.056305;-0.486588;-0.926880
40;0.027695;-0.608749;-0.840500
41;-0.019135;-0.592377;-0.761078
42;-0.028046;-0.499435;-0.837921
43;-0.026062;-0.421188;-0.997253
44;-0.032211;-0.457382;-0.949829
45;-0.073563;-0.514389;-0.810852
46;-0.062195;-0.453079;-0.780136
47;-0.034927;-0.398148;-0.865524
48;-0.037109;-0.425720;-0.881592
49;-0.002960;-0.467041;-0.856674
50;-0.008591;-0.527603;-0.830963
51;-0.051361;-0.552673;-0.839661
52;-0.041275;-0.503616;-0.912659
53;-0.003845;-0.467789;-0.903152
54;-0.043350;-0.523544;-0.847794
55;-0.033188;-0.575714;-0.827087
56;-0.010635;-0.559219;-0.861160
57;0.017761;-0.508331;-0.911224
58;0.012985;-0.495438;-0.939804
59;0.091187;-0.533981;-0.927048
60;0.079224;-0.599915;-0.887726
61;-0.017990;-0.549988;-0.957596
62;-0.010056;-0.405533;-1.135269
63;0.039474;-0.427597;-0.942856
64;0.033401;-0.546127;-0.685608
65;0.051682;-0.512787;-0.678055
66;0.058914;-0.388611;-0.862152
67;-0.006546;-0.354172;-1.023239
68;0.003952;-0.370850;-0.991531
69;0.027954;-0.410248;-0.848572
70;0.035690;-0.442856;-0.799271
71;0.000732;-0.477081;-0.834976
72;0.001190;-0.511017;-0.839554
73;-0.034317;-0.527267;-0.856827
74;-0.029892;-0.506210;-0.917236
75;-0.029907;-0.456543;-0.958176
76;-0.020920;-0.472183;-0.958984
77;0.018402;-0.579437;-0.882996
78;-0.015991;-0.538712;-0.857300
79;0.005478;-0.435226;-1.031769
80;-0.084351;-0.413254;-1.103699
81;-0.145996;-0.459488;-0.928268
82;-0.065887;-0.474533;-0.711731
83;0.005508;-0.408524;-0.762192
84;0.005936;-0.384583;-0.913849
85;-0.020401;-0.413330;-0.921158
86;0.009018;-0.456100;-0.836380
87;-0.005371;-0.513870;-0.775238
88;0.002838;-0.517609;-0.778061
89;0.010895;-0.493759;-0.833511
90;0.001877;-0.495560;-0.862457
91;-0.008820;-0.516861;-0.880768
92;-0.019501;-0.541870;-0.857544
93;-0.003311;-0.500534;-0.879852
94;0.064484;-0.454880;-0.957123
95;0.116974;-0.539581;-0.913727
96;0.043472;-0.560577;-0.889938
97;-0.013153;-0.415283;-1.024216
98;0.060638;-0.328873;-1.029266
99;0.057068;-0.408615;-0.905151
100;0.059052;-0.481003;-0.856018
101;0.096329;-0.428833;-0.885086
