index;x;y;z
0;0.153702;-0.375412;-0.927917
1;0.138535;-0.400574;-0.921722
2;0.141373;-0.391678;-0.913483
3;0.091843;-0.413391;-0.900330
4;0.090759;-0.426651;-0.856415
5;0.092575;-0.465622;-0.863541
6;0.118347;-0.492264;-0.873886
7;0.055496;-0.450974;-0.902344
8;0.116562;-0.518265;-0.908905
9;0.078842;-0.423782;-0.878799
10;0.347305;-0.729919;-0.782166
11;0.190399;-0.412750;-1.077072
12;0.206161;-0.396179;-0.818619
13;0.189987;-0.563232;-0.755173
14;0.098511;-0.526932;-0.954269
15;0.094681;-0.486481;-0.821960
16;0.050522;-0.612274;-0.819702
17;0.010956;-0.596710;-0.805405
18;0.032303;-0.589798;-0.885483
19;0.145676;-0.558701;-0.822678
20;0.057022;-0.587372;-0.862610
21;0.021515;-0.606445;-0.836319
22;0.067276;-0.611343;-0.821762
23;0.122559;-0.593964;-0.855072
24;0.083298;-0.606339;-0.859329
25;0.077957;-0.627365;-0.815018
26;0.075668;-0.627670;-0.790344
27;0.060760;-0.626633;-0.785950
28;0.055511;-0.648788;-0.770996
29;0.058258;-0.616425;-0.752335
30;0.057816;-0.584229;-0.726944
31;0.052872;-0.567581;-0.770432
32;0.027359;-0.578247;-0.854523
33;-0.035141;-0.586014;-0.766663
34;-0.051315;-0.573380;-0.717468
35;-0.019363;-0.548691;-0.744888
36;-0.031189;-0.538544;-0.844955
37;-0.049850;-0.541702;-0.823563
38;-0.084335;-0.556671;-0.813721
39;-0.091827;-0.583710;-0.815247
40;-0.100891;-0.621887;-0.809967
41;-0.096390;-0.647614;-0.734879
42;-0.075134;-0.641815;-0.728287
43;-0.049118;-0.620453;-0.751251
44;0.002731;-0.585312;-0.834641
45;-0.010696;-0.583878;-0.853378
46;-0.018478;-0.619797;-0.799988
47;-0.022354;-0.635422;-0.789597
48;-0.020233;-0.645950;-0.779617
49;-0.059433;-0.649948;-0.777100
50;-0.057648;-0.640762;-0.794632
51;-0.020538;-0.626419;-0.790482
52;0.027618;-0.666534;-0.772980
53;0.094894;-0.770782;-0.697220
54;0.046753;-0.720261;-0.710434
55;0.019455;-0.547836;-1.059418
56;-0.053329;-0.510239;-1.069672
57;0.005173;-0.601944;-0.697510
58;0.124588;-0.642609;-0.576584
59;0.161148;-0.591476;-0.703613
60;0.111923;-0.517853;-0.813782
61;0.046005;-0.487656;-0.896042
62;0.040268;-0.509003;-0.874725
63;0.040787;-0.511353;-0.812210
64;0.077850;-0.544998;-0.786911
65;0.067657;-0.584946;-0.749084
66;0.054489;-0.609695;-0.775345
67;0.086990;-0.611420;-0.781448
68;0.134232;-0.599426;-0.805161
69;0.142853;-0.589142;-0.849869
70;0.127823;-0.588989;-0.833496
71;0.137390;-0.606705;-0.791779
72;0.163269;-0.605286;-0.803177
73;0.131760;-0.612823;-0.798065
74;0.101105;-0.633896;-0.747650
75;0.096893;-0.632034;-0.743881
76;0.069122;-0.623596;-0.777634
77;0.041336;-0.632217;-0.796799
78;0.020401;-0.679474;-0.809158
79;0.089722;-0.770859;-0.775696
80;0.106918;-0.704514;-0.711624
81;0.033524;-0.612061;-0.853394
82;-0.042526;-0.606171;-0.892471
83;-0.038467;-0.585312;-0.774673
84;-0.017059;-0.526276;-0.749359
85;-0.007050;-0.531113;-0.764877
86;-0.021439;-0.545914;-0.794815
87;-0.109680;-0.529007;-0.841614
88;-0.111969;-0.507187;-0.886810
89;-0.043259;-0.513657;-0.911636
90;-0.044434;-0.562912;-0.794189
91;-0.065903;-0.611435;-0.728943
92;-0.057587;-0.611816;-0.751007
93;-0.056046;-0.590332;-0.809250
94;-0.067383;-0.571365;-0.871765
95;-0.047226;-0.571121;-0.803391
96;-0.030212;-0.559357;-0.821518
97;-0.025024;-0.534851;-0.856583
98;-0.024506;-0.516968;-0.857269
99;-0.052902;-0.450912;-1.024216
100;-0.095383;-0.384155;-1.059082
101;-0.071350;-0.378387;-1.013748
102;0.074890;-0.437119;-0.971924
103;0.074280;-0.508728;-0.843842
104;-0.011047;-0.423935;-0.934189
105;0.028336;-0.416962;-1.034195
106;0.045212;-0.463257;-0.874924
107;0.079178;-0.432693;-0.811523
108;0.066971;-0.390152;-0.874878
109;0.069809;-0.420883;-0.852585
110;0.036865;-0.421021;-0.848175
111;0.065582;-0.412491;-0.880890
112;0.116989;-0.467789;-0.820084
113;0.138092;-0.493668;-0.814789
114;0.107788;-0.455719;-0.870529
115;0.066010;-0.445450;-0.932434
116;0.080276;-0.454407;-0.971893
117;0.075623;-0.472717;-0.920624
118;0.101715;-0.489120;-0.832779
119;0.112427;-0.477356;-0.856949
120;0.139847;-0.487427;-0.905029
121;0.149033;-0.460785;-0.927124
122;0.119095;-0.415573;-0.899597
123;0.162277;-0.451263;-0.841125
124;0.150055;-0.467819;-0.801697
125;0.131577;-0.477951;-0.805634
