index;x;y;z
0;0.054993;-0.801636;-0.658264
1;-0.014984;-0.781998;-0.618927
2;-0.019623;-0.761932;-0.600174
3;0.007095;-0.754425;-0.561386
4;0.023407;-0.769470;-0.546860
5;-0.010986;-0.794418;-0.570984
6;-0.011124;-0.819107;-0.589233
7;0.003128;-0.837296;-0.599640
8;-0.040085;-0.853439;-0.576385
9;-0.046738;-0.838745;-0.572662
10;-0.003204;-0.807541;-0.570892
11;0.012497;-0.809128;-0.567429
12;0.025482;-0.808472;-0.606400
13;-0.025497;-0.822510;-0.605331
14;0.002502;-0.817947;-0.591263
15;0.036545;-0.810181;-0.615723
16;0.046204;-0.817780;-0.635513
17;0.090942;-0.856903;-0.607300
18;0.031235;-0.876556;-0.531799
19;-0.029755;-0.827515;-0.568344
20;0.018219;-0.753082;-0.687759
21;0.069077;-0.757294;-0.742630
22;0.049622;-0.752182;-0.660812
23;0.032104;-0.750168;-0.632996
24;0.068848;-0.763412;-0.554779
25;0.086578;-0.760132;-0.470673
26;0.119064;-0.708618;-0.577957
27;0.094147;-0.699005;-0.692703
28;0.141373;-0.714905;-0.695389
29;0.118988;-0.740448;-0.594696
30;0.096725;-0.756119;-0.592560
31;0.072571;-0.768951;-0.639847
32;0.043320;-0.768082;-0.653214
33;0.013504;-0.758163;-0.688965
34;-0.014999;-0.776489;-0.666031
35;0.041901;-0.793610;-0.635651
36;0.018143;-0.791016;-0.735291
37;-0.047562;-0.784500;-0.849396
38;-0.017166;-0.804413;-0.616119
39;-0.001221;-0.805191;-0.458267
40;-0.081345;-0.680634;-0.764481
41;-0.173340;-0.593674;-1.030411
42;-0.047607;-0.604568;-0.816467
43;0.027130;-0.622406;-0.602478
44;0.017853;-0.618820;-0.677979
45;0.006424;-0.638275;-0.772736
46;0.026047;-0.680099;-0.715118
47;0.049774;-0.714249;-0.666092
48;-0.012100;-0.735855;-0.613922
49;0.000702;-0.739807;-0.622543
50;0.014664;-0.706863;-0.693115
51;-0.031265;-0.714706;-0.731277
52;-0.032166;-0.770981;-0.659866
53;-0.023819;-0.814178;-0.647812
54;-0.018509;-0.786377;-0.788681
55;0.005936;-0.772430;-0.872940
56;0.056152;-0.911346;-0.732666
57;-0.064606;-0.895950;-0.642578
58;-0.097580;-0.700729;-0.850708
59;0.011185;-0.641785;-0.868103
60;0.088165;-0.680099;-0.578873
61;0.108627;-0.678299;-0.480927
62;0.077682;-0.595261;-0.649017
63;-0.013046;-0.548920;-0.850037
64;0.022308;-0.530457;-0.898575
65;0.017914;-0.576385;-0.686020
66;0.036591;-0.621811;-0.622116
67;0.030823;-0.652115;-0.641815
68;0.004074;-0.678833;-0.710144
69;-0.011353;-0.722321;-0.700867
70;-0.017120;-0.741592;-0.668198
71;0.031158;-0.729401;-0.736115
72;0.066254;-0.749435;-0.824844
73;0.113251;-0.858032;-0.774536
74;-0.005890;-0.858673;-0.700562
75;-0.082565;-0.747559;-0.940216
76;-0.108002;-0.607513;-1.074295
77;-0.053833;-0.609070;-0.844116
78;-0.084793;-0.646103;-0.600113
79;-0.079636;-0.600220;-0.712128
80;-0.051254;-0.581070;-0.786011
81;-0.010574;-0.613647;-0.655792
82;0.071945;-0.630325;-0.611496
83;0.041977;-0.666168;-0.547607
84;0.027237;-0.690094;-0.570847
85;0.009598;-0.686111;-0.625809
86;-0.034775;-0.706894;-0.699142
87;-0.016830;-0.762466;-0.716156
88;0.007935;-0.802094;-0.649551
89;-0.014282;-0.790390;-0.716354
90;0.016220;-0.744064;-0.802063
91;0.137833;-0.865311;-0.747467
92;-0.015869;-0.818085;-0.749023
93;-0.000595;-0.666641;-1.058929
94;0.080872;-0.564148;-1.065521
95;0.098038;-0.646713;-0.723465
96;0.095139;-0.717712;-0.471909
97;0.067535;-0.639877;-0.614655
98;0.056122;-0.563248;-0.764252
99;0.010925;-0.568726;-0.830551
100;0.018066;-0.590225;-0.782196
101;0.017258;-0.638336;-0.690994
102;0.049057;-0.640854;-0.730560
103;0.057526;-0.643524;-0.753113
104;0.034500;-0.654510;-0.758972
105;0.028854;-0.646576;-0.796753
106;0.003922;-0.664322;-0.890793
107;0.036346;-0.718246;-0.762634
108;0.055359;-0.746124;-0.660873
109;0.057617;-0.692856;-0.689178
110;-0.025742;-0.667252;-0.848343
111;-0.101669;-0.693970;-0.887421
112;-0.045670;-0.676239;-0.789246
