index;x;y;z
0;0.027664;-0.618011;-0.796738
1;0.045853;-0.594162;-0.779648
2;0.022629;-0.560638;-0.785431
3;-0.020386;-0.585007;-0.789963
4;-0.039612;-0.634064;-0.725845
5;-0.034958;-0.668625;-0.695145
6;-0.001892;-0.668167;-0.774658
7;0.014999;-0.679398;-0.834351
8;0.013504;-0.680893;-0.815872
9;0.007233;-0.673126;-0.723648
10;0.007736;-0.644363;-0.709946
11;0.000137;-0.625809;-0.774292
12;-0.000122;-0.637131;-0.766266
13;0.036285;-0.654068;-0.787430
14;0.070404;-0.673782;-0.887192
15;0.140488;-0.748413;-0.945541
16;0.058472;-0.804413;-0.796188
17;0.060944;-0.719818;-0.817993
18;0.153107;-0.580460;-1.014099
19;0.099136;-0.553253;-0.958374
20;0.050034;-0.609604;-0.736176
21;0.012939;-0.576447;-0.645981
22;0.039307;-0.485458;-0.744797
23;0.015579;-0.499741;-0.780304
24;-0.005417;-0.523041;-0.739639
25;0.055130;-0.526855;-0.698715
26;0.075974;-0.564590;-0.619949
27;0.046082;-0.618668;-0.601944
28;0.042099;-0.639786;-0.687714
29;-0.011902;-0.676407;-0.709747
30;-0.071365;-0.649048;-0.713165
31;-0.056946;-0.564224;-0.898514
32;-0.049728;-0.586426;-1.023956
33;0.007034;-0.716660;-0.784637
34;-0.045288;-0.605103;-0.791138
35;-0.018402;-0.474884;-1.091736
36;0.012909;-0.511292;-1.063858
37;-0.039688;-0.591934;-0.711700
38;-0.028564;-0.569366;-0.756348
39;-0.039703;-0.572693;-0.855225
40;-0.056122;-0.641922;-0.766846
41;0.018173;-0.641632;-0.694107
42;0.022400;-0.613129;-0.746307
43;-0.048264;-0.615326;-0.753815
44;-0.058640;-0.618866;-0.706467
45;0.013855;-0.647034;-0.682114
46;0.038101;-0.682068;-0.705765
47;-0.026917;-0.691864;-0.842209
48;0.001221;-0.682037;-0.923279
49;0.065201;-0.682404;-0.966843
50;0.057068;-0.804672;-0.941727
51;-0.100418;-0.800217;-0.911591
52;-0.086899;-0.573212;-1.023453
53;0.087753;-0.407684;-0.972824
54;0.115173;-0.493591;-0.708099
55;0.014252;-0.590714;-0.537384
56;0.025528;-0.515839;-0.661880
57;0.024796;-0.465942;-0.870193
58;-0.023270;-0.472931;-0.962982
59;-0.016724;-0.497757;-0.833374
60;0.038910;-0.518265;-0.677643
61;-0.019897;-0.537689;-0.685226
62;-0.029236;-0.531784;-0.751205
63;-0.029221;-0.543701;-0.716507
64;-0.063202;-0.576202;-0.733246
65;-0.030823;-0.590820;-0.772705
66;-0.057831;-0.622681;-0.834656
67;-0.053741;-0.662781;-0.911972
68;0.092697;-0.718643;-0.834473
69;0.101715;-0.617203;-0.891815
70;-0.031754;-0.464798;-1.200806
71;-0.113770;-0.458847;-1.086670
72;-0.062027;-0.555038;-0.697800
73;-0.059494;-0.576065;-0.637024
74;-0.095261;-0.508057;-0.870255
75;-0.063705;-0.494888;-0.975754
76;0.026276;-0.520584;-0.828323
77;0.085587;-0.577591;-0.712189
78;0.003784;-0.599930;-0.718750
79;-0.066437;-0.575439;-0.825943
80;-0.105240;-0.573486;-0.849808
81;-0.043900;-0.597672;-0.706635
82;0.030914;-0.650558;-0.676880
83;0.041077;-0.688217;-0.799026
84;0.060196;-0.666916;-0.850967
85;0.190552;-0.716339;-0.893051
86;0.032349;-0.734146;-0.985001
87;-0.069427;-0.633987;-1.158585
88;-0.128494;-0.462814;-1.114944
89;0.027435;-0.443192;-0.867096
90;0.085510;-0.522171;-0.650909
91;0.080719;-0.509384;-0.705994
92;0.014420;-0.468048;-0.875381
93;-0.056488;-0.480576;-0.865295
94;-0.021027;-0.478088;-0.857513
95;0.019226;-0.484665;-0.841568
96;-0.005981;-0.494202;-0.806549
97;0.004395;-0.509613;-0.760803
98;0.061050;-0.536133;-0.727142
99;0.064331;-0.544769;-0.795639
100;0.034256;-0.557495;-0.844193
101;0.045303;-0.526794;-0.869186
102;0.061371;-0.522659;-0.900162
103;0.022339;-0.586548;-0.895798
104;0.021759;-0.678772;-0.784317
105;-0.060745;-0.608490;-0.811630
106;0.050293;-0.516479;-0.958969
107;-0.022110;-0.518799;-0.891556
108;-0.014130;-0.490402;-0.851227
