index;x;y;z
0;0.027527;-0.743088;-0.520508
1;0.052185;-0.735428;-0.654144
2;0.056534;-0.734558;-0.750610
3;0.056488;-0.763519;-0.661118
4;0.091171;-0.795547;-0.734268
5;0.136719;-0.829773;-0.800629
6;0.015839;-0.810944;-0.691284
7;0.122635;-0.743927;-0.764130
8;0.200409;-0.688187;-0.858902
9;0.133759;-0.642212;-0.846542
10;0.082336;-0.626068;-0.736847
11;0.083588;-0.612534;-0.592468
12;0.083466;-0.577072;-0.575867
13;0.077194;-0.559402;-0.725266
14;0.087708;-0.607162;-0.728958
15;0.070587;-0.651520;-0.641541
16;0.094742;-0.654999;-0.640594
17;0.086960;-0.674072;-0.665894
18;0.028763;-0.700485;-0.707184
19;-0.027557;-0.724854;-0.663986
20;0.018921;-0.695099;-0.639145
21;0.019791;-0.666290;-0.743576
22;-0.049774;-0.637619;-0.854156
23;-0.079346;-0.666214;-0.809036
24;-0.030090;-0.786179;-0.717377
25;-0.107086;-0.811966;-0.566238
26;-0.090759;-0.674454;-0.904190
27;-0.068298;-0.608871;-1.152237
28;-0.093399;-0.648285;-0.835709
29;-0.005646;-0.652954;-0.581161
30;0.018921;-0.605591;-0.775284
31;-0.055786;-0.645981;-0.859131
32;0.027954;-0.677948;-0.755035
33;0.068619;-0.692490;-0.646866
34;-0.020203;-0.686340;-0.587311
35;-0.074677;-0.657578;-0.634979
36;-0.024872;-0.643219;-0.644119
37;-0.002991;-0.668411;-0.651337
38;0.005341;-0.716980;-0.696594
39;-0.030289;-0.762512;-0.743073
40;-0.002197;-0.769592;-0.779877
41;0.028030;-0.737595;-0.886520
42;0.085632;-0.838455;-0.868790
43;-0.044098;-0.820679;-0.803955
44;-0.095001;-0.651749;-1.052109
45;0.048813;-0.520660;-1.060516
46;0.078613;-0.599945;-0.700333
47;0.006195;-0.640945;-0.577530
48;0.020386;-0.557236;-0.737961
49;-0.004486;-0.502014;-0.863129
50;-0.049728;-0.517776;-0.828110
51;-0.021698;-0.541412;-0.704346
52;-0.002472;-0.540131;-0.677124
53;-0.021927;-0.557541;-0.669632
54;-0.034393;-0.597839;-0.620316
55;0.016922;-0.634537;-0.660065
56;0.079132;-0.641418;-0.736221
57;-0.000748;-0.686295;-0.748703
58;-0.022690;-0.711670;-0.810226
59;-0.077209;-0.743011;-0.901657
60;-0.014847;-0.846405;-0.808853
61;0.004364;-0.850006;-0.696198
62;-0.018951;-0.649643;-0.938721
63;-0.129852;-0.502670;-1.244446
64;-0.154541;-0.525436;-0.897827
65;-0.078583;-0.606110;-0.507492
66;-0.041534;-0.568069;-0.594833
67;-0.085312;-0.569412;-0.799133
68;-0.050781;-0.615906;-0.716263
69;0.052460;-0.635864;-0.647964
70;0.054977;-0.630585;-0.720810
71;-0.067062;-0.637527;-0.786606
72;-0.050156;-0.623047;-0.782196
73;-0.020889;-0.635773;-0.707336
74;-0.033905;-0.672043;-0.667999
75;-0.021042;-0.689911;-0.726212
76;-0.044189;-0.676437;-0.789917
77;0.004791;-0.662064;-0.779236
78;0.042206;-0.680344;-0.820190
79;0.067368;-0.769455;-0.838379
80;-0.001770;-0.781311;-0.880219
81;0.001953;-0.636078;-1.036758
82;0.077637;-0.545532;-0.984314
83;0.121246;-0.581970;-0.786865
84;0.029633;-0.579285;-0.640045
85;0.039642;-0.528885;-0.773041
86;0.038086;-0.475235;-0.900208
87;-0.051895;-0.535873;-0.859116
88;0.014328;-0.562012;-0.729553
89;0.029770;-0.583557;-0.686249
90;-0.025574;-0.596085;-0.722916
91;-0.015182;-0.594177;-0.730835
92;0.000076;-0.604233;-0.764572
93;0.007675;-0.585434;-0.794647
94;-0.047470;-0.597137;-0.800110
95;0.067947;-0.609100;-0.877121
96;-0.005890;-0.579285;-0.899216
97;-0.132416;-0.629196;-0.943649
