index;x;y;z
0;0.032089;-0.674683;-0.788177
1;0.042191;-0.622162;-0.700790
2;-0.003769;-0.611191;-0.766525
3;-0.037643;-0.640121;-0.779343
4;-0.016083;-0.645508;-0.701172
5;-0.064819;-0.665054;-0.724426
6;-0.071762;-0.703110;-0.749374
7;-0.023865;-0.705017;-0.795258
8;-0.061813;-0.714172;-0.743652
9;-0.018463;-0.688339;-0.711823
10;0.014496;-0.655014;-0.684097
11;-0.036621;-0.647476;-0.669495
12;0.000595;-0.638046;-0.696045
13;0.001221;-0.643555;-0.724915
14;-0.014343;-0.677139;-0.751328
15;0.012390;-0.712402;-0.830841
16;0.113983;-0.764664;-0.917648
17;0.070602;-0.813889;-0.860794
18;-0.035172;-0.760086;-0.864014
19;0.143509;-0.615692;-0.979553
20;0.112854;-0.549927;-0.934875
21;0.036362;-0.593750;-0.820221
22;0.065231;-0.609848;-0.685730
23;0.072372;-0.549042;-0.679947
24;0.052841;-0.536514;-0.730972
25;0.051880;-0.554474;-0.737473
26;0.058090;-0.555679;-0.706955
27;0.107391;-0.559555;-0.673523
28;0.059158;-0.588165;-0.681793
29;0.011841;-0.612396;-0.724731
30;0.025681;-0.606323;-0.750168
31;-0.018265;-0.615417;-0.748169
32;-0.050323;-0.623749;-0.831253
33;-0.136078;-0.637894;-0.941498
34;0.007156;-0.704468;-0.931946
35;0.024094;-0.633591;-0.801895
36;-0.123596;-0.566116;-0.950760
37;-0.220261;-0.540390;-1.047928
38;-0.069107;-0.584808;-0.781235
39;-0.019852;-0.571899;-0.619537
40;-0.056396;-0.521744;-0.792847
41;-0.013351;-0.510345;-0.907440
42;0.075821;-0.562500;-0.740540
43;0.077866;-0.629303;-0.603027
44;0.049423;-0.639328;-0.664291
45;0.022308;-0.606705;-0.756409
46;0.028168;-0.611755;-0.718048
47;0.066559;-0.657028;-0.730667
48;0.010162;-0.720795;-0.740997
49;-0.002838;-0.744370;-0.763702
50;0.038589;-0.698029;-0.878571
51;0.098343;-0.691971;-0.951828
52;0.044662;-0.752869;-0.893738
53;-0.060059;-0.715073;-1.018280
54;-0.126389;-0.448944;-1.142868
55;-0.024933;-0.404648;-0.938858
56;0.060883;-0.554886;-0.550842
57;0.072998;-0.623795;-0.542053
58;0.002228;-0.468506;-0.856201
59;-0.050415;-0.408310;-1.106812
60;-0.049484;-0.454834;-0.954758
61;0.007523;-0.519089;-0.759613
62;-0.011353;-0.563782;-0.630005
63;-0.008240;-0.567383;-0.691681
64;0.000336;-0.585236;-0.757889
65;-0.014511;-0.604828;-0.734238
66;0.013885;-0.585602;-0.720993
67;0.060013;-0.565582;-0.802933
68;0.028244;-0.575119;-0.916763
69;-0.004456;-0.660934;-0.974579
70;0.029312;-0.745819;-0.801102
71;-0.022171;-0.676376;-0.846207
72;-0.099976;-0.475204;-1.207123
73;-0.115051;-0.420486;-1.155273
74;-0.078308;-0.505035;-0.681427
75;-0.007782;-0.520691;-0.573685
76;-0.037384;-0.480820;-0.842621
77;-0.087097;-0.488815;-0.889328
78;-0.016495;-0.532867;-0.724609
79;0.005051;-0.578751;-0.685272
80;-0.046783;-0.602371;-0.703644
81;-0.136414;-0.605072;-0.762329
82;-0.079651;-0.580826;-0.782684
83;-0.006088;-0.606461;-0.748871
84;-0.030655;-0.679230;-0.738205
85;-0.060715;-0.686600;-0.843338
86;-0.013016;-0.674072;-0.920868
87;0.112808;-0.777496;-0.942459
88;-0.049881;-0.781738;-0.940643
89;-0.129318;-0.608063;-1.091782
90;0.026642;-0.406815;-1.122559
91;0.122406;-0.466888;-0.734299
92;0.063934;-0.565201;-0.478516
93;0.044327;-0.489685;-0.668427
94;0.001221;-0.427658;-0.911728
95;-0.031540;-0.465576;-0.929703
96;-0.039169;-0.528107;-0.819305
97;0.003311;-0.555405;-0.777573
98;0.032394;-0.530609;-0.775360
99;0.039429;-0.539169;-0.833954
100;0.077454;-0.558670;-0.842896
101;0.084625;-0.585495;-0.819000
102;0.037399;-0.571487;-0.826584
103;-0.007080;-0.557861;-0.879105
104;0.043015;-0.640701;-0.902664
105;0.010269;-0.685837;-0.782333
106;-0.059799;-0.563644;-0.913437
107;-0.105713;-0.479996;-1.020462
108;-0.094315;-0.512726;-0.881653
109;-0.064240;-0.590012;-0.757553
110;-0.061996;-0.617493;-0.765884
111;-0.079376;-0.543274;-0.896439
112;-0.032501;-0.501877;-0.912018
113;0.013672;-0.529083;-0.841476
114;0.001907;-0.560074;-0.801834
115;-0.044113;-0.576645;-0.790009
116;-0.012924;-0.511322;-0.762878
117;0.081299;-0.487915;-0.762360
118;0.166519;-0.520844;-0.773514
119;0.038559;-0.566925;-0.818054
