index;x;y;z
0;0.112045;-0.674850;-0.755753
1;0.083069;-0.658508;-0.807388
2;0.058884;-0.670380;-0.750443
3;0.062943;-0.682419;-0.696686
4;0.085175;-0.669037;-0.716339
5;0.085709;-0.659760;-0.753586
6;0.062241;-0.679291;-0.753708
7;0.043320;-0.685349;-0.735046
8;0.049774;-0.689682;-0.721008
9;0.050720;-0.711441;-0.711166
10;0.046005;-0.693604;-0.734131
11;0.014709;-0.680801;-0.765945
12;-0.031555;-0.699692;-0.734802
13;-0.032562;-0.704163;-0.686661
14;-0.007416;-0.701965;-0.665207
15;0.014969;-0.699646;-0.649490
16;-0.000427;-0.716873;-0.662033
17;0.022156;-0.719925;-0.661087
18;0.082870;-0.726761;-0.668518
19;0.067764;-0.754425;-0.700897
20;0.067993;-0.780518;-0.745071
21;0.105301;-0.867523;-0.785324
22;-0.004944;-0.876389;-0.795303
23;0.075745;-0.819275;-0.842865
24;0.162506;-0.750977;-0.903152
25;0.084488;-0.709747;-0.908676
26;0.046783;-0.736801;-0.679718
27;0.128906;-0.681030;-0.498016
28;0.189362;-0.633118;-0.581680
29;0.149826;-0.610336;-0.675964
30;0.095276;-0.631393;-0.682571
31;0.085922;-0.618362;-0.669662
32;0.033691;-0.643585;-0.611313
33;0.045242;-0.666321;-0.559906
34;0.089523;-0.655106;-0.536606
35;0.060104;-0.698898;-0.571838
36;0.045731;-0.744461;-0.550919
37;0.037430;-0.801712;-0.523026
38;0.048477;-0.813568;-0.608322
39;0.004684;-0.803070;-0.748367
40;0.058472;-0.785934;-0.743698
41;0.075470;-0.795975;-0.559891
42;0.009796;-0.750305;-0.701767
43;-0.098312;-0.634460;-1.009171
44;-0.060501;-0.630249;-0.999207
45;-0.078918;-0.651169;-0.740631
46;-0.048843;-0.673660;-0.700684
47;0.016312;-0.705521;-0.689255
48;0.045288;-0.728836;-0.613998
49;0.073837;-0.715302;-0.588409
50;0.064484;-0.722137;-0.602249
51;0.060226;-0.741043;-0.549393
52;0.069229;-0.719589;-0.564011
53;0.075500;-0.722153;-0.605606
54;0.105194;-0.752197;-0.578842
55;0.098129;-0.767120;-0.629852
56;0.125916;-0.803436;-0.668427
57;0.091660;-0.859360;-0.721481
58;0.063934;-0.882126;-0.858200
59;0.045975;-0.901123;-0.863663
60;0.043961;-0.911102;-0.797775
61;0.049484;-0.824905;-0.841873
62;0.070068;-0.683868;-0.877274
63;0.142410;-0.658859;-0.796951
64;0.103516;-0.706024;-0.594498
65;0.048233;-0.701279;-0.648895
66;0.042480;-0.657059;-0.787323
67;0.019867;-0.609131;-0.784454
68;-0.000107;-0.598877;-0.705048
69;0.041672;-0.623306;-0.565689
70;0.067535;-0.655014;-0.536697
71;0.048126;-0.660233;-0.568954
72;0.041489;-0.693085;-0.556702
73;0.033340;-0.735123;-0.529633
74;0.017578;-0.750748;-0.500015
75;0.052719;-0.733627;-0.585571
76;0.046692;-0.759293;-0.659470
77;0.003296;-0.861664;-0.638077
78;0.043381;-0.942139;-0.605392
79;0.098846;-0.818512;-0.707535
80;0.137939;-0.779510;-0.830368
81;-0.006271;-0.742325;-0.879379
82;-0.065918;-0.684616;-0.904999
83;-0.121582;-0.680710;-0.768524
84;-0.077805;-0.635910;-0.636566
85;0.050827;-0.618118;-0.652206
86;0.014572;-0.684174;-0.683411
87;0.010986;-0.703094;-0.731140
88;0.018250;-0.725113;-0.667252
89;-0.014587;-0.755402;-0.575272
90;-0.005585;-0.726715;-0.622360
91;0.012665;-0.696869;-0.664551
92;-0.001862;-0.730286;-0.661102
93;0.023041;-0.747574;-0.631775
94;0.038040;-0.743362;-0.639542
95;0.026337;-0.722809;-0.709686
96;0.109375;-0.766724;-0.758804
97;0.110214;-0.793274;-0.706467
98;0.032455;-0.786774;-0.754456
99;0.018158;-0.724991;-0.855743
100;0.068832;-0.647736;-0.830109
101;0.116547;-0.611877;-0.775635
102;0.103027;-0.621658;-0.706467
103;0.107635;-0.671066;-0.638702
104;0.105774;-0.682404;-0.631775
105;0.157837;-0.602371;-0.761765
106;0.096146;-0.556595;-0.874786
107;0.110916;-0.581085;-0.821884
