index;x;y;z
0;0.068420;-0.541122;-0.838852
1;0.100998;-0.512268;-0.775909
2;0.075302;-0.468216;-0.860016
3;0.039612;-0.473175;-0.872726
4;0.069336;-0.478683;-0.838120
5;0.074509;-0.482162;-0.845917
6;0.020721;-0.483368;-0.885483
7;0.038681;-0.490051;-0.892151
8;0.037323;-0.489517;-0.895538
9;0.029694;-0.511032;-0.868057
10;-0.016235;-0.548523;-0.850998
11;-0.037354;-0.546936;-0.864990
12;0.008072;-0.527786;-0.864548
13;0.053024;-0.514282;-0.834045
14;0.072571;-0.512039;-0.815948
15;0.072983;-0.513077;-0.801270
16;0.039017;-0.517853;-0.825684
17;0.052811;-0.518494;-0.867096
18;0.031174;-0.512955;-0.873978
19;-0.006912;-0.518341;-0.837799
20;0.002579;-0.522995;-0.813370
21;0.014374;-0.524658;-0.804642
22;0.026825;-0.528259;-0.793167
23;0.059280;-0.524033;-0.810944
24;0.084000;-0.522202;-0.852524
25;0.106232;-0.554138;-0.892044
26;0.138367;-0.612076;-0.877533
27;0.103470;-0.579346;-0.930344
28;0.045975;-0.445007;-1.162399
29;0.034409;-0.382660;-1.187561
30;0.080307;-0.391479;-0.925095
31;0.125900;-0.407516;-0.736450
32;0.112106;-0.423782;-0.743149
33;0.053955;-0.451294;-0.739456
34;0.118073;-0.501434;-0.669830
35;0.186462;-0.500778;-0.721390
36;0.153397;-0.462509;-0.917267
37;0.139023;-0.447662;-0.995377
38;0.192673;-0.468262;-0.865417
39;0.222519;-0.499557;-0.799805
40;0.168716;-0.523865;-0.840179
41;0.142456;-0.515976;-0.966919
42;0.136963;-0.510300;-1.024460
43;0.108841;-0.510712;-1.005356
44;0.050293;-0.513870;-0.953522
45;-0.001526;-0.518539;-0.925507
46;0.022018;-0.517227;-0.896927
47;0.040298;-0.487076;-0.888290
48;0.008698;-0.448120;-0.942993
49;-0.052521;-0.445663;-0.981506
50;-0.091293;-0.472137;-0.994339
51;-0.104187;-0.530411;-0.924072
52;-0.130310;-0.516541;-0.907501
53;-0.119461;-0.428360;-1.011322
54;-0.049713;-0.378372;-0.959671
55;-0.039398;-0.364395;-0.850906
56;-0.105972;-0.393860;-0.752060
57;-0.156631;-0.444641;-0.657883
58;-0.068542;-0.464905;-0.713928
59;-0.044586;-0.372238;-0.941025
60;-0.107407;-0.322372;-1.090744
61;-0.088226;-0.366180;-0.915543
62;-0.060883;-0.414780;-0.685120
63;-0.109604;-0.477127;-0.645432
64;-0.114197;-0.534164;-0.668320
65;-0.062637;-0.555862;-0.713669
66;-0.001083;-0.565369;-0.801071
67;0.037918;-0.582504;-0.920395
68;0.045410;-0.593811;-0.980820
69;0.041916;-0.611237;-1.019775
70;0.057892;-0.596069;-1.083008
71;0.084366;-0.571075;-1.083405
72;0.124313;-0.599579;-1.003815
73;0.199249;-0.650101;-0.894974
74;0.171829;-0.593872;-1.078522
75;0.056839;-0.366669;-1.398788
76;0.077286;-0.284439;-1.166626
77;0.069916;-0.295853;-0.737381
78;0.075546;-0.334320;-0.459930
79;0.125427;-0.411926;-0.407974
80;0.176010;-0.471985;-0.535324
81;0.142609;-0.430969;-0.771500
82;0.083786;-0.377914;-1.039993
83;0.097763;-0.343201;-1.074539
84;0.156021;-0.393036;-0.875031
85;0.085114;-0.440994;-0.734711
86;0.004761;-0.509308;-0.674393
87;-0.005096;-0.562485;-0.723969
88;0.003433;-0.592178;-0.812073
89;-0.022903;-0.590012;-1.005295
90;-0.040955;-0.556808;-1.116501
91;0.010635;-0.531158;-1.053543
92;0.028305;-0.525513;-0.955948
93;-0.009720;-0.522324;-0.930527
94;-0.010254;-0.533752;-0.921570
95;0.034576;-0.585114;-0.866898
96;-0.025528;-0.575089;-1.003265
97;-0.060287;-0.450500;-1.135941
98;0.001846;-0.413345;-0.982483
99;0.002274;-0.414825;-0.779099
100;-0.055527;-0.413803;-0.731918
101;-0.048401;-0.422150;-0.753342
102;0.028427;-0.413559;-0.787170
103;0.022919;-0.384567;-0.930893
104;-0.055542;-0.334793;-1.090714
105;-0.024918;-0.341736;-0.957977
106;-0.021011;-0.390717;-0.717575
107;-0.057465;-0.456192;-0.578125
108;-0.050201;-0.513046;-0.587616
109;-0.024368;-0.536102;-0.653931
110;-0.002365;-0.548569;-0.761932
111;0.010056;-0.577896;-0.840683
112;0.021790;-0.595139;-0.949692
113;0.040833;-0.601471;-1.061661
114;0.089966;-0.614288;-1.072479
115;0.123795;-0.613052;-1.071716
116;0.117508;-0.603912;-1.061417
117;0.133881;-0.598236;-1.033310
118;0.207138;-0.637680;-0.936203
119;0.224686;-0.698166;-0.924332
120;0.090240;-0.548553;-1.320984
121;0.049133;-0.345398;-1.386230
122;0.088135;-0.343979;-0.939850
123;0.044678;-0.387161;-0.615234
124;-0.000092;-0.388489;-0.550201
125;-0.031799;-0.427902;-0.656662
126;0.043320;-0.474808;-0.724167
127;0.085739;-0.486069;-0.797974
128;0.036652;-0.471176;-0.936096
129;0.001038;-0.449097;-0.995743
130;0.074570;-0.470749;-0.868729
131;0.095551;-0.489899;-0.768997
132;0.046036;-0.552963;-0.725677
133;0.022720;-0.603592;-0.737640
134;0.081467;-0.624710;-0.787781
135;0.084915;-0.603973;-0.802368
136;0.066040;-0.560120;-0.890869
137;0.044479;-0.561646;-0.943192
138;0.090744;-0.561676;-0.905869
139;0.084763;-0.569016;-0.836075
140;0.086670;-0.557220;-0.846176
141;0.062744;-0.574341;-0.839691
142;0.090302;-0.581696;-0.759048
143;0.135330;-0.562241;-0.734283
144;0.070206;-0.551147;-0.791992
145;0.052155;-0.552429;-0.876724
146;0.042130;-0.563080;-0.818649
147;0.046432;-0.568558;-0.733612
148;0.049454;-0.578384;-0.723694
149;0.038345;-0.585510;-0.721451
150;0.054367;-0.586746;-0.749924
151;0.064957;-0.588638;-0.773315
152;0.064316;-0.594955;-0.767181
153;0.049820;-0.599701;-0.781708
154;0.061050;-0.596710;-0.807632
155;0.048889;-0.604416;-0.817673
156;0.050980;-0.593765;-0.813873
157;0.055771;-0.597610;-0.809204
158;0.075836;-0.602020;-0.810272
159;0.093658;-0.600372;-0.813019
160;0.046066;-0.615265;-0.796036
161;0.049774;-0.607758;-0.800171
162;0.079590;-0.604095;-0.796677
163;0.070435;-0.610992;-0.785019
164;0.052704;-0.612350;-0.815887
165;0.084900;-0.607620;-0.824173
166;0.087265;-0.616180;-0.775848
167;0.066452;-0.612747;-0.760040
168;0.064911;-0.621490;-0.760513
169;0.120010;-0.598038;-0.832016
170;0.119858;-0.588608;-0.835464
